variant_key,file,total_points,-15C,-7C,+2C,+7C,+12C,TOL
AERMEC_S_p_A__BHP_040_060_W_Outdoor_Air_Water_1::BHP 040 + BHP 060 W,AERMEC_S_p_A__BHP_040_060_W_Outdoor_Air_Water_1.json,4,0,1,1,1,1,0
AERMEC_S_p_A__BHP_040_060_W_Outdoor_Air_Water_1::BHP 060 + BHP 060 W,AERMEC_S_p_A__BHP_040_060_W_Outdoor_Air_Water_1.json,4,0,1,1,1,1,0
AERMEC_S_p_A__BHP_080_100_W_Outdoor_Air_Water_2::BHP 080 + BHP 100 W,AERMEC_S_p_A__BHP_080_100_W_Outdoor_Air_Water_2.json,4,0,1,1,1,1,0
AERMEC_S_p_A__BHP_080_100_W_Outdoor_Air_Water_2::BHP 100 + BHP 100 W,AERMEC_S_p_A__BHP_080_100_W_Outdoor_Air_Water_2.json,4,0,1,1,1,1,0
AERMEC_S_p_A__HMI040___DHWT300_Outdoor_Air_Water_3::HMI040 / DHWT300S,AERMEC_S_p_A__HMI040___DHWT300_Outdoor_Air_Water_3.json,4,0,1,1,1,1,0
AERMEC_S_p_A__HMI060___DHWT300_Outdoor_Air_Water_4::HMI060 / DHWT300S,AERMEC_S_p_A__HMI060___DHWT300_Outdoor_Air_Water_4.json,4,0,1,1,1,1,0
AERMEC_S_p_A__HMI080___DHWT300_Outdoor_Air_Water_5::HMI080 / DHWT300S,AERMEC_S_p_A__HMI080___DHWT300_Outdoor_Air_Water_5.json,4,0,1,1,1,1,0
AERMEC_S_p_A__HMI100___DHWT300_Outdoor_Air_Water_6::HMI100 / DHWT300X,AERMEC_S_p_A__HMI100___DHWT300_Outdoor_Air_Water_6.json,4,0,1,1,1,1,0
AERMEC_S_p_A__HMI100___DHWT300_Outdoor_Air_Water_6::HMI100T / DHWT300XT,AERMEC_S_p_A__HMI100___DHWT300_Outdoor_Air_Water_6.json,4,0,1,1,1,1,0
AERMEC_S_p_A__HMI120___DHWT300_Outdoor_Air_Water_7::HMI120 / DHWT300X,AERMEC_S_p_A__HMI120___DHWT300_Outdoor_Air_Water_7.json,4,0,1,1,1,1,0
AERMEC_S_p_A__HMI120___DHWT300_Outdoor_Air_Water_7::HMI120T / DHWT300XT,AERMEC_S_p_A__HMI120___DHWT300_Outdoor_Air_Water_7.json,4,0,1,1,1,1,0
AERMEC_S_p_A__HMI140___DHWT300_Outdoor_Air_Water_8::HMI140 / DHWT300X,AERMEC_S_p_A__HMI140___DHWT300_Outdoor_Air_Water_8.json,4,0,1,1,1,1,0
AERMEC_S_p_A__HMI140___DHWT300_Outdoor_Air_Water_8::HMI140T / DHWT300XT,AERMEC_S_p_A__HMI140___DHWT300_Outdoor_Air_Water_8.json,4,0,1,1,1,1,0
AERMEC_S_p_A__HMI160___DHWT300_Outdoor_Air_Water_9::HMI160 / DHWT300X,AERMEC_S_p_A__HMI160___DHWT300_Outdoor_Air_Water_9.json,4,0,1,1,1,1,0
AERMEC_S_p_A__HMI160___DHWT300_Outdoor_Air_Water_9::HMI160T / DHWT300XT,AERMEC_S_p_A__HMI160___DHWT300_Outdoor_Air_Water_9.json,4,0,1,1,1,1,0
