"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"1","title","BDHX-260R-04T35","0","0","0","1","0"
"1","application","2","0","0","0","1","0"
"1","indoor","0","0","0","0","1","0"
"1","outdoor","1","0","0","0","1","0"
"1","coolingMode7c12c","0","0","0","0","1","0"
"1","coolingMode18c23c","0","0","0","0","1","0"
"1","colderClimate","0","0","0","0","1","0"
"1","warmerClimate","0","0","0","0","1","0"
"1","reversibility","1","0","0","0","1","0"
"1","colderForHeating","1","0","0","0","1","0"
"1","warmerForHeating","1","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","0","0","0","0","1","0"
"1","additionalOutdoorAir","0","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","3","0","0","0","1","0"
"1","offPeakProduct","0","0","0","0","1","0"
"1","EN14511_2_001","26.00","4","10","0","2","0"
"1","EN14511_2_001","26.00","5","10","0","2","0"
"1","EN14511_2_002","5.45","4","10","0","2","0"
"1","EN14511_2_002","7.85","5","10","0","2","0"
"1","EN14511_2_003","4.77","4","10","0","2","0"
"1","EN14511_2_003","3.31","5","10","0","2","0"
"1","EN14511_4_003","2","0","10","0","2","0"
"1","EN14511_4_004","2","0","10","0","2","0"
"1","EN14511_4_005","2","0","10","0","2","0"
"1","EN14511_4_006","2","0","10","0","2","0"
"1","EN12102_1_002","69","4","1","0","2","0"
"1","EN12102_1_002","69","5","1","0","2","0"
"1","EN12102_1_002","69","4","2","0","2","0"
"1","EN12102_1_002","69","5","2","0","2","0"
"1","EN12102_1_002","69","4","3","0","2","0"
"1","EN12102_1_002","69","5","3","0","2","0"
"1","EN14825_001","259.80","4","1","0","2","0"
"1","EN14825_001","194.80","5","1","0","2","0"
"1","EN14825_001","155","4","2","0","2","0"
"1","EN14825_001","126","5","2","0","2","0"
"1","EN14825_001","194.9","4","3","0","2","0"
"1","EN14825_001","150.7","5","3","0","2","0"
"1","EN14825_002","26.00","4","1","0","2","0"
"1","EN14825_002","26.00","5","1","0","2","0"
"1","EN14825_002","25.0","4","2","0","2","0"
"1","EN14825_002","25.0","5","2","0","2","0"
"1","EN14825_002","26.0","4","3","0","2","0"
"1","EN14825_002","26.0","5","3","0","2","0"
"1","EN14825_003","6.57","4","1","0","2","0"
"1","EN14825_003","4.94","5","1","0","2","0"
"1","EN14825_003","3.95","4","2","0","2","0"
"1","EN14825_003","3.23","5","2","0","2","0"
"1","EN14825_003","4.95","4","3","0","2","0"
"1","EN14825_003","3.84","5","3","0","2","0"
"1","EN14825_004","7.00","4","1","0","2","0"
"1","EN14825_004","7.00","5","1","0","2","0"
"1","EN14825_004","-15.00","4","2","0","2","0"
"1","EN14825_004","-15.00","5","2","0","2","0"
"1","EN14825_004","-7","4","3","0","2","0"
"1","EN14825_004","-7","5","3","0","2","0"
"1","EN14825_005","2.00","4","1","0","2","0"
"1","EN14825_005","2.00","5","1","0","2","0"
"1","EN14825_005","-22.00","4","2","0","2","0"
"1","EN14825_005","-22.00","5","2","0","2","0"
"1","EN14825_005","-10.00","4","3","0","2","0"
"1","EN14825_005","-10.00","5","3","0","2","0"
"1","EN14825_008","14.98","4","2","0","2","0"
"1","EN14825_008","15.14","5","2","0","2","0"
"1","EN14825_008","23.41","4","3","0","2","0"
"1","EN14825_008","23.26","5","3","0","2","0"
"1","EN14825_009","3.40","4","2","0","2","0"
"1","EN14825_009","2.64","5","2","0","2","0"
"1","EN14825_009","3.03","4","3","0","2","0"
