"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"1","title","Auriga-P 4M","0","0","0","1","0"
"1","application","2","0","0","0","1","0"
"1","indoor","0","0","0","0","1","0"
"1","outdoor","1","0","0","0","1","0"
"1","coolingMode7c12c","0","0","0","0","1","0"
"1","coolingMode18c23c","0","0","0","0","1","0"
"1","colderClimate","0","0","0","0","1","0"
"1","warmerClimate","0","0","0","0","1","0"
"1","reversibility","1","0","0","0","1","0"
"1","colderForHeating","0","0","0","0","1","0"
"1","warmerForHeating","0","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","0","0","0","0","1","0"
"1","additionalOutdoorAir","0","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","1","0","0","0","1","0"
"1","offPeakProduct","0","0","0","0","1","0"
"1","EN14511_2_001","4.40","4","10","0","2","0"
"1","EN14511_2_001","4.40","5","10","0","2","0"
"1","EN14511_2_002","0.85","4","10","0","2","0"
"1","EN14511_2_002","1.36","5","10","0","2","0"
"1","EN14511_2_003","5.17","4","10","0","2","0"
"1","EN14511_2_003","3.24","5","10","0","2","0"
"1","EN14511_4_003","2","0","10","0","2","0"
"1","EN14511_4_004","2","0","10","0","2","0"
"1","EN14511_4_005","2","0","10","0","2","0"
"1","EN14511_4_006","2","0","10","0","2","0"
"1","EN12102_1_002","48","4","1","0","2","0"
"1","EN12102_1_002","48","5","1","0","2","0"
"1","EN14825_001","210.4","4","3","0","2","0"
"1","EN14825_001","156.7","5","3","0","2","0"
"1","EN14825_002","5.30","4","3","0","2","0"
"1","EN14825_002","4.90","5","3","0","2","0"
"1","EN14825_003","5.34","4","3","0","2","0"
"1","EN14825_003","3.99","5","3","0","2","0"
"1","EN14825_004","-7.00","4","3","0","2","0"
"1","EN14825_004","-7.00","5","3","0","2","0"
"1","EN14825_005","-10.00","4","3","0","2","0"
"1","EN14825_005","-10.00","5","3","0","2","0"
"1","EN14825_008","4.64","4","3","0","2","0"
"1","EN14825_008","4.42","5","3","0","2","0"
"1","EN14825_009","3.40","4","3","0","2","0"
"1","EN14825_009","2.59","5","3","0","2","0"
"1","EN14825_047","1.00","4","3","0","2","0"
"1","EN14825_047","1.00","5","3","0","2","0"
"1","EN14825_010","2.89","4","3","0","2","0"
"1","EN14825_010","2.72","5","3","0","2","0"
"1","EN14825_011","5.29","4","3","0","2","0"
"1","EN14825_011","3.94","5","3","0","2","0"
"1","EN14825_048","1.00","4","3","0","2","0"
"1","EN14825_048","1.00","5","3","0","2","0"
"1","EN14825_012","2.73","4","3","0","2","0"
"1","EN14825_012","2.55","5","3","0","2","0"
"1","EN14825_013","6.74","4","3","0","2","0"
"1","EN14825_013","4.94","5","3","0","2","0"
"1","EN14825_049","0.98","4","3","0","2","0"
"1","EN14825_049","1.00","5","3","0","2","0"
"1","EN14825_014","3.14","4","3","0","2","0"
"1","EN14825_014","3.01","5","3","0","2","0"
"1","EN14825_015","8.54","4","3","0","2","0"
"1","EN14825_015","6.44","5","3","0","2","0"
"1","EN14825_050","0.97","4","3","0","2","0"
"1","EN14825_050","0.98","5","3","0","2","0"
"1","EN14825_016","4.64","4","3","0","2","0"
"1","EN14825_016","4.42","5","3","0","2","0"
"1","EN14825_017","3.40","4","3","0","2","0"
"1","EN14825_017","2.59","5","3","0","2","0"
"1","EN14825_018","5.30","4","3","0","2","0"
"1","EN14825_018","4.80","5","3","0","2","0"
"1","EN14825_019","3.01","4","3","0","2","0"
"1","EN14825_019","2.27","5","3","0","2","0"
"1","EN14825_022","75.00","4","3","0","2","0"
"1","EN14825_022","75.00","5","3","0","2","0"
"1","EN14825_023","8.70","4","3","0","2","0"
"1","EN14825_023","8.70","5","3","0","2","0"
"1","EN14825_024","10.00","4","3","0","2","0"
"1","EN14825_024","10.00","5","3","0","2","0"
"1","EN14825_025","8.70","4","3","0","2","0"
"1","EN14825_025","8.70","5","3","0","2","0"
"1","EN14825_026","0.00","4","3","0","2","0"
"1","EN14825_026","0.00","5","3","0","2","0"
"1","EN14825_027","1","4","3","0","2","0"
"1","EN14825_027","1","5","3","0","2","0"
"1","EN14825_028","0.00","4","3","0","2","0"
"1","EN14825_028","0.10","5","3","0","2","0"
"1","EN14825_029","2052","4","3","0","2","0"
"1","EN14825_029","2535","5","3","0","2","0"
"2","title","Auriga-P 6M","0","0","0","1","0"
"2","application","2","0","0","0","1","0"
"2","indoor","0","0","0","0","1","0"
"2","outdoor","1","0","0","0","1","0"
"2","coolingMode7c12c","0","0","0","0","1","0"
"2","coolingMode18c23c","0","0","0","0","1","0"
"2","colderClimate","0","0","0","0","1","0"
"2","warmerClimate","0","0","0","0","1","0"
"2","reversibility","1","0","0","0","1","0"
"2","colderForHeating","0","0","0","0","1","0"
"2","warmerForHeating","0","0","0","0","1","0"
"2","en145112Certification","0","0","0","0","1","0"
"2","heatSource","0","0","0","0","1","0"
"2","additionalOutdoorAir","0","0","0","0","1","0"
"2","additionalExhaustAir","0","0","0","0","1","0"
"2","additionalIndoorAir","0","0","0","0","1","0"
"2","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"2","powerSupply","1","0","0","0","1","0"
"2","offPeakProduct","0","0","0","0","1","0"
"2","EN14511_2_001","6.26","4","10","0","2","0"
"2","EN14511_2_001","6.10","5","10","0","2","0"
"2","EN14511_2_002","1.28","4","10","0","2","0"
"2","EN14511_2_002","1.91","5","10","0","2","0"
"2","EN14511_2_003","4.89","4","10","0","2","0"
"2","EN14511_2_003","3.20","5","10","0","2","0"
"2","EN14511_4_003","2","0","10","0","2","0"
"2","EN14511_4_004","2","0","10","0","2","0"
"2","EN14511_4_005","2","0","10","0","2","0"
"2","EN14511_4_006","2","0","10","0","2","0"
"2","EN12102_1_002","48","4","1","0","2","0"
"2","EN12102_1_002","48","5","1","0","2","0"
"2","EN14825_001","205.8","4","3","0","2","0"
"2","EN14825_001","152.9","5","3","0","2","0"
"2","EN14825_002","6.40","4","3","0","2","0"
"2","EN14825_002","6.10","5","3","0","2","0"
"2","EN14825_003","5.22","4","3","0","2","0"
"2","EN14825_003","3.90","5","3","0","2","0"
"2","EN14825_004","-7.00","4","3","0","2","0"
"2","EN14825_004","-7.00","5","3","0","2","0"
"2","EN14825_005","-10.00","4","3","0","2","0"
"2","EN14825_005","-10.00","5","3","0","2","0"
"2","EN14825_008","5.63","4","3","0","2","0"
"2","EN14825_008","5.40","5","3","0","2","0"
"2","EN14825_009","3.04","4","3","0","2","0"
"2","EN14825_009","2.40","5","3","0","2","0"
"2","EN14825_047","1.00","4","3","0","2","0"
"2","EN14825_047","1.00","5","3","0","2","0"
"2","EN14825_010","3.70","4","3","0","2","0"
"2","EN14825_010","3.13","5","3","0","2","0"
"2","EN14825_011","5.20","4","3","0","2","0"
"2","EN14825_011","3.79","5","3","0","2","0"
"2","EN14825_048","1.00","4","3","0","2","0"
"2","EN14825_048","1.00","5","3","0","2","0"
"2","EN14825_012","2.74","4","3","0","2","0"
"2","EN14825_012","2.58","5","3","0","2","0"
"2","EN14825_013","6.95","4","3","0","2","0"
"2","EN14825_013","5.15","5","3","0","2","0"
"2","EN14825_049","0.98","4","3","0","2","0"
"2","EN14825_049","1.00","5","3","0","2","0"
"2","EN14825_014","3.14","4","3","0","2","0"
"2","EN14825_014","3.02","5","3","0","2","0"
"2","EN14825_015","8.64","4","3","0","2","0"
"2","EN14825_015","6.53","5","3","0","2","0"
"2","EN14825_050","0.97","4","3","0","2","0"
"2","EN14825_050","0.98","5","3","0","2","0"
"2","EN14825_016","5.63","4","3","0","2","0"
"2","EN14825_016","5.40","5","3","0","2","0"
"2","EN14825_017","3.04","4","3","0","2","0"
"2","EN14825_017","2.40","5","3","0","2","0"
"2","EN14825_018","5.76","4","3","0","2","0"
"2","EN14825_018","5.37","5","3","0","2","0"
"2","EN14825_019","3.00","4","3","0","2","0"
"2","EN14825_019","2.25","5","3","0","2","0"
"2","EN14825_022","75.00","4","3","0","2","0"
"2","EN14825_022","75.00","5","3","0","2","0"
"2","EN14825_023","8.70","4","3","0","2","0"
"2","EN14825_023","8.70","5","3","0","2","0"
"2","EN14825_024","10.00","4","3","0","2","0"
"2","EN14825_024","10.00","5","3","0","2","0"
"2","EN14825_025","8.70","4","3","0","2","0"
"2","EN14825_025","8.70","5","3","0","2","0"
"2","EN14825_026","0.00","4","3","0","2","0"
"2","EN14825_026","0.00","5","3","0","2","0"
"2","EN14825_027","1","4","3","0","2","0"
"2","EN14825_027","1","5","3","0","2","0"
"2","EN14825_028","0.64","4","3","0","2","0"
"2","EN14825_028","0.73","5","3","0","2","0"
"2","EN14825_029","2533","4","3","0","2","0"
"2","EN14825_029","3233","5","3","0","2","0"
"","Refrigerant","R290","0","0","0","0"
"","Mass of Refrigerant","0,700 kg","0","0","0","0"
"","Date","04.04.2025","0","0","0","0"
"","Manufacturer"," BAXI S.p.A.","0","0","0","0"
"","Modelname","Auriga-P 4/6","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
