"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","Luna Hybrid 28 Alya 10","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","1","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","0","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","1","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","9.79","4","10","0","2","0"
"","EN14511_2_001","9.17","5","10","0","2","0"
"","EN14511_2_002","2.01","4","10","0","2","0"
"","EN14511_2_002","3.06","5","10","0","2","0"
"","EN14511_2_003","4.88","4","10","0","2","0"
"","EN14511_2_003","3.00","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_001","38","5","3","0","2","0"
"","EN12102_1_002","54","5","3","0","2","0"
"","EN14825_001","191","4","3","0","2","0"
"","EN14825_001","131","5","3","0","2","0"
"","EN14825_002","8.36","4","3","0","2","0"
"","EN14825_002","7.12","5","3","0","2","0"
"","EN14825_003","4.84","4","3","0","2","0"
"","EN14825_003","3.35","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","7.40","4","3","0","2","0"
"","EN14825_008","6.38","5","3","0","2","0"
"","EN14825_009","2.90","4","3","0","2","0"
"","EN14825_009","2.04","5","3","0","2","0"
"","EN14825_047","0.998","4","3","0","2","0"
"","EN14825_047","0.998","5","3","0","2","0"
"","EN14825_010","4.49","4","3","0","2","0"
"","EN14825_010","3.79","5","3","0","2","0"
"","EN14825_011","4.74","4","3","0","2","0"
"","EN14825_011","3.29","5","3","0","2","0"
"","EN14825_048","0.995","4","3","0","2","0"
"","EN14825_048","0.996","5","3","0","2","0"
"","EN14825_012","3.07","4","3","0","2","0"
"","EN14825_012","2.67","5","3","0","2","0"
"","EN14825_013","6.72","4","3","0","2","0"
"","EN14825_013","4.40","5","3","0","2","0"
"","EN14825_049","0.990","4","3","0","2","0"
"","EN14825_049","0.991","5","3","0","2","0"
"","EN14825_014","1.69","4","3","0","2","0"
"","EN14825_014","1.71","5","3","0","2","0"
"","EN14825_015","8.65","4","3","0","2","0"
"","EN14825_015","5.86","5","3","0","2","0"
"","EN14825_050","0.979","4","3","0","2","0"
"","EN14825_050","0.981","5","3","0","2","0"
"","EN14825_016","7.40","4","3","0","2","0"
"","EN14825_016","6.38","5","3","0","2","0"
"","EN14825_017","2.90","4","3","0","2","0"
"","EN14825_017","2.04","5","3","0","2","0"
"","EN14825_018","8.36","4","3","0","2","0"
"","EN14825_018","7.12","5","3","0","2","0"
"","EN14825_019","2.32","4","3","0","2","0"
"","EN14825_019","2.15","5","3","0","2","0"
"","EN14825_022","65","4","3","0","2","0"
"","EN14825_022","65","5","3","0","2","0"
"","EN14825_023","15","4","3","0","2","0"
"","EN14825_023","15","5","3","0","2","0"
"","EN14825_024","5","4","3","0","2","0"
"","EN14825_024","5","5","3","0","2","0"
"","EN14825_025","15","4","3","0","2","0"
"","EN14825_025","15","5","3","0","2","0"
"","EN14825_026","0","4","3","0","2","0"
"","EN14825_026","0","5","3","0","2","0"
"","EN14825_027","2","4","3","0","2","0"
"","EN14825_027","2","5","3","0","2","0"
"","EN14825_028","0.00","4","3","0","2","0"
"","EN14825_028","0.00","5","3","0","2","0"
"","EN14825_029","3570","4","3","0","2","0"
"","EN14825_029","4447","5","3","0","2","0"
"","title","Luna Hybrid 28 Alya 8","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","1","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","0","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","1","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","8.46","4","10","0","2","0"
"","EN14511_2_001","6.96","5","10","0","2","0"
"","EN14511_2_002","1.65","4","10","0","2","0"
"","EN14511_2_002","2.37","5","10","0","2","0"
"","EN14511_2_003","5.14","4","10","0","2","0"
"","EN14511_2_003","2.94","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_001","38","5","3","0","2","0"
"","EN12102_1_002","54","5","3","0","2","0"
"","EN14825_001","193","4","3","0","2","0"
"","EN14825_001","129","5","3","0","2","0"
"","EN14825_002","7.68","4","3","0","2","0"
"","EN14825_002","6.27","5","3","0","2","0"
"","EN14825_003","4.90","4","3","0","2","0"
"","EN14825_003","3.29","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","6.79","4","3","0","2","0"
"","EN14825_008","5.55","5","3","0","2","0"
"","EN14825_009","3.03","4","3","0","2","0"
"","EN14825_009","2.04","5","3","0","2","0"
"","EN14825_047","0.998","4","3","0","2","0"
"","EN14825_047","0.998","5","3","0","2","0"
"","EN14825_010","4.41","4","3","0","2","0"
"","EN14825_010","3.60","5","3","0","2","0"
"","EN14825_011","4.84","4","3","0","2","0"
"","EN14825_011","3.24","5","3","0","2","0"
"","EN14825_048","0.995","4","3","0","2","0"
"","EN14825_048","0.996","5","3","0","2","0"
"","EN14825_012","3.03","4","3","0","2","0"
"","EN14825_012","2.46","5","3","0","2","0"
"","EN14825_013","6.53","4","3","0","2","0"
"","EN14825_013","4.35","5","3","0","2","0"
"","EN14825_049","0.990","4","3","0","2","0"
"","EN14825_049","0.991","5","3","0","2","0"
"","EN14825_014","1.71","4","3","0","2","0"
"","EN14825_014","1.58","5","3","0","2","0"
"","EN14825_015","8.80","4","3","0","2","0"
"","EN14825_015","5.50","5","3","0","2","0"
"","EN14825_050","0.979","4","3","0","2","0"
"","EN14825_050","0.981","5","3","0","2","0"
"","EN14825_016","6.79","4","3","0","2","0"
"","EN14825_016","5.55","5","3","0","2","0"
"","EN14825_017","3.03","4","3","0","2","0"
"","EN14825_017","2.04","5","3","0","2","0"
"","EN14825_018","7.63","4","3","0","2","0"
"","EN14825_018","6.04","5","3","0","2","0"
"","EN14825_019","2.33","4","3","0","2","0"
"","EN14825_019","2.12","5","3","0","2","0"
"","EN14825_022","65","4","3","0","2","0"
"","EN14825_022","65","5","3","0","2","0"
"","EN14825_023","15","4","3","0","2","0"
"","EN14825_023","15","5","3","0","2","0"
"","EN14825_024","5","4","3","0","2","0"
"","EN14825_024","5","5","3","0","2","0"
"","EN14825_025","15","4","3","0","2","0"
"","EN14825_025","15","5","3","0","2","0"
"","EN14825_026","0","4","3","0","2","0"
"","EN14825_026","0","5","3","0","2","0"
"","EN14825_027","2","4","3","0","2","0"
"","EN14825_027","2","5","3","0","2","0"
"","EN14825_028","0.05","4","3","0","2","0"
"","EN14825_028","0.23","5","3","0","2","0"
"","EN14825_029","3237","4","3","0","2","0"
"","EN14825_029","3931","5","3","0","2","0"
"","Refrigerant","R32","0","0","0","0"
"","Mass of Refrigerant","1,650 kg","0","0","0","0"
"","Date","17.02.2025","0","0","0","0"
"","Manufacturer"," BAXI S.p.A.","0","0","0","0"
