"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"19","title","CS5800iAW 4 ORE-S","0","0","0","1","0"
"19","application","2","0","0","0","1","0"
"19","indoor","1","0","0","0","1","0"
"19","outdoor","1","0","0","0","1","0"
"19","coolingMode7c12c","0","0","0","0","1","0"
"19","coolingMode18c23c","0","0","0","0","1","0"
"19","colderClimate","1","0","0","0","1","0"
"19","warmerClimate","1","0","0","0","1","0"
"19","reversibility","1","0","0","0","1","0"
"19","colderForHeating","0","0","0","0","1","0"
"19","warmerForHeating","0","0","0","0","1","0"
"19","en145112Certification","0","0","0","0","1","0"
"19","heatSource","1","0","0","0","1","0"
"19","additionalOutdoorAir","0","0","0","0","1","0"
"19","additionalExhaustAir","0","0","0","0","1","0"
"19","additionalIndoorAir","0","0","0","0","1","0"
"19","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"19","powerSupply","3","0","0","0","1","0"
"19","offPeakProduct","2","0","0","0","1","0"
"19","EN14511_4_001","2","0","10","0","2","0"
"19","EN14511_4_002","2","0","10","0","2","0"
"19","EN14511_2_001","2.84","4","10","0","2","0"
"19","EN14511_2_001","2.02","5","10","0","2","0"
"19","EN14511_2_002","0.59","4","10","0","2","0"
"19","EN14511_2_002","0.79","5","10","0","2","0"
"19","EN14511_2_003","4.85","4","10","0","2","0"
"19","EN14511_2_003","2.55","5","10","0","2","0"
"19","EN14511_4_003","2","0","10","0","2","0"
"19","EN14511_4_004","2","0","10","0","2","0"
"19","EN14511_4_005","2","0","10","0","2","0"
"19","EN14511_4_006","2","0","10","0","2","0"
"19","EN12102_1_001","31","4","1","0","2","0"
"19","EN12102_1_001","31","5","1","0","2","0"
"19","EN12102_1_001","31","4","2","0","2","0"
"19","EN12102_1_001","31","5","2","0","2","0"
"19","EN12102_1_001","31","4","3","0","2","0"
"19","EN12102_1_001","31","5","3","0","2","0"
"19","EN12102_1_002","40","4","1","0","2","0"
"19","EN12102_1_002","40","5","1","0","2","0"
"19","EN12102_1_002","40","4","2","0","2","0"
"19","EN12102_1_002","40","5","2","0","2","0"
"19","EN12102_1_002","40","4","3","0","2","0"
"19","EN12102_1_002","40","5","3","0","2","0"
"19","EN14825_001","210","4","1","0","2","0"
"19","EN14825_001","143","5","1","0","2","0"
"19","EN14825_001","158","4","2","0","2","0"
"19","EN14825_001","109","5","2","0","2","0"
"19","EN14825_001","180","4","3","0","2","0"
"19","EN14825_001","130","5","3","0","2","0"
"19","EN14825_002","4.3","4","1","0","2","0"
"19","EN14825_002","3.8","5","1","0","2","0"
"19","EN14825_002","3.8","4","2","0","2","0"
"19","EN14825_002","3.2","5","2","0","2","0"
"19","EN14825_002","4.4","4","3","0","2","0"
"19","EN14825_002","4","5","3","0","2","0"
"19","EN14825_003","5.33","4","1","0","2","0"
"19","EN14825_003","3.66","5","1","0","2","0"
"19","EN14825_003","4.03","4","2","0","2","0"
"19","EN14825_003","2.81","5","2","0","2","0"
"19","EN14825_003","4.58","4","3","0","2","0"
"19","EN14825_003","3.32","5","3","0","2","0"
"19","EN14825_004","2","4","1","0","2","0"
"19","EN14825_004","2","5","1","0","2","0"
"19","EN14825_004","-15","4","2","0","2","0"
"19","EN14825_004","-15","5","2","0","2","0"
"19","EN14825_004","-7","4","3","0","2","0"
"19","EN14825_004","-7","5","3","0","2","0"
"19","EN14825_005","2","4","1","0","2","0"
"19","EN14825_005","2","5","1","0","2","0"
"19","EN14825_005","-22","4","2","0","2","0"
