"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"1","title","Compress 7000 LW 54","0","0","0","1","0"
"1","application","2","0","0","0","1","0"
"1","indoor","1","0","0","0","1","0"
"1","outdoor","0","0","0","0","1","0"
"1","coolingMode7c12c","0","0","0","0","1","0"
"1","coolingMode18c23c","0","0","0","0","1","0"
"1","colderClimate","0","0","0","0","1","0"
"1","warmerClimate","0","0","0","0","1","0"
"1","reversibility","0","0","0","0","1","0"
"1","colderForHeating","0","0","0","0","1","0"
"1","warmerForHeating","0","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","0","0","0","0","1","0"
"1","additionalOutdoorAir","0","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","3","0","0","0","1","0"
"1","offPeakProduct","2","0","0","0","1","0"
"1","EN14511_4_001","2","0","10","0","2","0"
"1","EN14511_4_002","2","0","10","0","2","0"
"1","EN14511_2_001","54.81","4","10","0","2","0"
"1","EN14511_2_001","57.25","5","10","0","2","0"
"1","EN14511_2_002","11.97","4","10","0","2","0"
"1","EN14511_2_002","18.29","5","10","0","2","0"
"1","EN14511_2_003","4.58","4","10","0","2","0"
"1","EN14511_2_003","3.13","5","10","0","2","0"
"1","EN14511_4_003","2","0","10","0","2","0"
"1","EN14511_4_004","2","0","10","0","2","0"
"1","EN14511_4_005","2","0","10","0","2","0"
"1","EN14511_4_006","2","0","10","0","2","0"
"1","EN12102_1_001","67","4","1","0","2","0"
"1","EN12102_1_001","67","5","1","0","2","0"
"1","EN12102_1_001","67","4","2","0","2","0"
"1","EN12102_1_001","67","5","2","0","2","0"
"1","EN12102_1_001","67","4","3","0","2","0"
"1","EN12102_1_001","67","5","3","0","2","0"
"1","EN14825_001","210","4","1","0","2","0"
"1","EN14825_001","162","5","1","0","2","0"
"1","EN14825_001","213","4","2","0","2","0"
"1","EN14825_001","166","5","2","0","2","0"
"1","EN14825_001","203","4","3","0","2","0"
"1","EN14825_001","155","5","3","0","2","0"
"1","EN14825_002","44.00","4","1","0","2","0"
"1","EN14825_002","45.00","5","1","0","2","0"
"1","EN14825_002","47.00","4","2","0","2","0"
"1","EN14825_002","48.00","5","2","0","2","0"
"1","EN14825_002","54.81","4","3","0","2","0"
"1","EN14825_002","57.25","5","3","0","2","0"
"1","EN14825_003","5.45","4","1","0","2","0"
"1","EN14825_003","4.25","5","1","0","2","0"
"1","EN14825_003","5.54","4","2","0","2","0"
"1","EN14825_003","4.35","5","2","0","2","0"
"1","EN14825_003","5.27","4","3","0","2","0"
"1","EN14825_003","4.08","5","3","0","2","0"
"1","EN14825_004","2","4","1","0","2","0"
"1","EN14825_004","2","5","1","0","2","0"
"1","EN14825_004","-22","4","2","0","2","0"
"1","EN14825_004","-22","5","2","0","2","0"
"1","EN14825_004","-10","4","3","0","2","0"
"1","EN14825_004","-10","5","3","0","2","0"
"1","EN14825_005","2","4","1","0","2","0"
"1","EN14825_005","2","5","1","0","2","0"
"1","EN14825_005","-22","4","2","0","2","0"
"1","EN14825_005","-22","5","2","0","2","0"
"1","EN14825_005","-10","4","3","0","2","0"
"1","EN14825_005","-10","5","3","0","2","0"
"1","EN14825_008","28.75","4","2","0","2","0"
"1","EN14825_008","29.13","5","2","0","2","0"
"1","EN14825_008","48.49","4","3","0","2","0"
"1","EN14825_008","50.64","5","3","0","2","0"
"1","EN14825_009","5.52","4","2","0","2","0"
"1","EN14825_009","4.17","5","2","0","2","0"
"1","EN14825_009","4.76","4","3","0","2","0"
"1","EN14825_009","3.39","5","3","0","2","0"
"1","EN14825_047","1.00","4","2","0","2","0"
"1","EN14825_047","1.00","5","2","0","2","0"
"1","EN14825_047","1.00","4","3","0","2","0"
"1","EN14825_047","1.00","5","3","0","2","0"
"1","EN14825_010","44.00","4","1","0","2","0"
"1","EN14825_010","45","5","1","0","2","0"
"1","EN14825_010","28.71","4","2","0","2","0"
"1","EN14825_010","28.93","5","2","0","2","0"
"1","EN14825_010","28.75","4","3","0","2","0"
"1","EN14825_010","29.03","5","3","0","2","0"
"1","EN14825_011","4.72","4","1","0","2","0"
"1","EN14825_011","3.23","5","1","0","2","0"
"1","EN14825_011","5.64","4","2","0","2","0"
"1","EN14825_011","4.54","5","2","0","2","0"
"1","EN14825_011","5.52","4","3","0","2","0"
"1","EN14825_011","4.36","5","3","0","2","0"
"1","EN14825_048","1.00","4","1","0","2","0"
"1","EN14825_048","1.00","5","1","0","2","0"
"1","EN14825_048","1.00","4","2","0","2","0"
"1","EN14825_048","1.00","5","2","0","2","0"
"1","EN14825_048","1.00","4","3","0","2","0"
"1","EN14825_048","1.00","5","3","0","2","0"
"1","EN14825_012","28.78","4","1","0","2","0"
"1","EN14825_012","29.25","5","1","0","2","0"
"1","EN14825_012","28.68","4","2","0","2","0"
"1","EN14825_012","28.77","5","2","0","2","0"
"1","EN14825_012","28.70","4","3","0","2","0"
"1","EN14825_012","28.85","5","3","0","2","0"
"1","EN14825_013","5.4","4","1","0","2","0"
"1","EN14825_013","3.98","5","1","0","2","0"
"1","EN14825_013","5.75","4","2","0","2","0"
"1","EN14825_013","4.86","5","2","0","2","0"
"1","EN14825_013","5.68","4","3","0","2","0"
"1","EN14825_013","4.7","5","3","0","2","0"
"1","EN14825_049","1.00","4","1","0","2","0"
"1","EN14825_049","1.00","5","1","0","2","0"
"1","EN14825_049","1.00","4","2","0","2","0"
"1","EN14825_049","1.00","5","2","0","2","0"
"1","EN14825_049","1.00","4","3","0","2","0"
"1","EN14825_049","1.00","5","3","0","2","0"
"1","EN14825_014","28.71","4","1","0","2","0"
"1","EN14825_014","28.85","5","1","0","2","0"
"1","EN14825_014","28.68","4","2","0","2","0"
