"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"CTC EcoAir 720M","title","CTC EcoAir 720M","0","0","0","1","0"
"CTC EcoAir 720M","application","2","0","0","0","1","0"
"CTC EcoAir 720M","indoor","0","0","0","0","1","0"
"CTC EcoAir 720M","outdoor","1","0","0","0","1","0"
"CTC EcoAir 720M","coolingMode7c12c","0","0","0","0","1","0"
"CTC EcoAir 720M","coolingMode18c23c","0","0","0","0","1","0"
"CTC EcoAir 720M","colderClimate","0","0","0","0","1","0"
"CTC EcoAir 720M","warmerClimate","0","0","0","0","1","0"
"CTC EcoAir 720M","reversibility","1","0","0","0","1","0"
"CTC EcoAir 720M","colderForHeating","1","0","0","0","1","0"
"CTC EcoAir 720M","warmerForHeating","0","0","0","0","1","0"
"CTC EcoAir 720M","en145112Certification","0","0","0","0","1","0"
"CTC EcoAir 720M","heatSource","0","0","0","0","1","0"
"CTC EcoAir 720M","additionalOutdoorAir","0","0","0","0","1","0"
"CTC EcoAir 720M","additionalExhaustAir","0","0","0","0","1","0"
"CTC EcoAir 720M","additionalIndoorAir","0","0","0","0","1","0"
"CTC EcoAir 720M","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"CTC EcoAir 720M","powerSupply","3","0","0","0","1","0"
"CTC EcoAir 720M","offPeakProduct","0","0","0","0","1","0"
"CTC EcoAir 720M","EN14511_2_001","10.78","4","10","0","2","0"
"CTC EcoAir 720M","EN14511_2_001","10.09","5","10","0","2","0"
"CTC EcoAir 720M","EN14511_2_002","2.14","4","10","0","2","0"
"CTC EcoAir 720M","EN14511_2_002","2.98","5","10","0","2","0"
"CTC EcoAir 720M","EN14511_2_003","5.04","4","10","0","2","0"
"CTC EcoAir 720M","EN14511_2_003","3.39","5","10","0","2","0"
"CTC EcoAir 720M","EN14511_4_003","2","0","10","0","2","0"
"CTC EcoAir 720M","EN14511_4_004","2","0","10","0","2","0"
"CTC EcoAir 720M","EN14511_4_005","2","0","10","0","2","0"
"CTC EcoAir 720M","EN14511_4_006","2","0","10","0","2","0"
"CTC EcoAir 720M","EN12102_1_002","54","4","1","0","2","0"
"CTC EcoAir 720M","EN12102_1_002","54","5","1","0","2","0"
"CTC EcoAir 720M","EN12102_1_002","54","4","2","0","2","0"
"CTC EcoAir 720M","EN12102_1_002","54","5","2","0","2","0"
"CTC EcoAir 720M","EN12102_1_002","54","4","3","0","2","0"
"CTC EcoAir 720M","EN12102_1_002","54","5","3","0","2","0"
"CTC EcoAir 720M","EN14825_001","250","4","1","0","2","0"
"CTC EcoAir 720M","EN14825_001","188","5","1","0","2","0"
"CTC EcoAir 720M","EN14825_001","164","4","2","0","2","0"
"CTC EcoAir 720M","EN14825_001","134","5","2","0","2","0"
"CTC EcoAir 720M","EN14825_001","211","4","3","0","2","0"
"CTC EcoAir 720M","EN14825_001","161","5","3","0","2","0"
"CTC EcoAir 720M","EN14825_002","15.20","4","1","0","2","0"
"CTC EcoAir 720M","EN14825_002","15.60","5","1","0","2","0"
"CTC EcoAir 720M","EN14825_002","15.50","4","2","0","2","0"
"CTC EcoAir 720M","EN14825_002","15.00","5","2","0","2","0"
"CTC EcoAir 720M","EN14825_002","11.60","4","3","0","2","0"
"CTC EcoAir 720M","EN14825_002","12.20","5","3","0","2","0"
"CTC EcoAir 720M","EN14825_003","6.33","4","1","0","2","0"
"CTC EcoAir 720M","EN14825_003","4.76","5","1","0","2","0"
"CTC EcoAir 720M","EN14825_003","4.20","4","2","0","2","0"
"CTC EcoAir 720M","EN14825_003","3.42","5","2","0","2","0"
"CTC EcoAir 720M","EN14825_003","5.35","4","3","0","2","0"
"CTC EcoAir 720M","EN14825_003","4.09","5","3","0","2","0"
"CTC EcoAir 720M","EN14825_004","2","4","1","0","2","0"
"CTC EcoAir 720M","EN14825_004","2","5","1","0","2","0"
"CTC EcoAir 720M","EN14825_004","-15","4","2","0","2","0"
