"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"WiSAN-YEE1 45.4 EN","title","WiSAN-YEE1 45.4 EN","0","0","0","1","0"
"WiSAN-YEE1 45.4 EN","application","2","0","0","0","1","0"
"WiSAN-YEE1 45.4 EN","indoor","0","0","0","0","1","0"
"WiSAN-YEE1 45.4 EN","outdoor","1","0","0","0","1","0"
"WiSAN-YEE1 45.4 EN","coolingMode7c12c","0","0","0","0","1","0"
"WiSAN-YEE1 45.4 EN","coolingMode18c23c","0","0","0","0","1","0"
"WiSAN-YEE1 45.4 EN","colderClimate","0","0","0","0","1","0"
"WiSAN-YEE1 45.4 EN","warmerClimate","0","0","0","0","1","0"
"WiSAN-YEE1 45.4 EN","reversibility","1","0","0","0","1","0"
"WiSAN-YEE1 45.4 EN","colderForHeating","0","0","0","0","1","0"
"WiSAN-YEE1 45.4 EN","warmerForHeating","0","0","0","0","1","0"
"WiSAN-YEE1 45.4 EN","en145112Certification","0","0","0","0","1","0"
"WiSAN-YEE1 45.4 EN","heatSource","0","0","0","0","1","0"
"WiSAN-YEE1 45.4 EN","additionalOutdoorAir","0","0","0","0","1","0"
"WiSAN-YEE1 45.4 EN","additionalExhaustAir","0","0","0","0","1","0"
"WiSAN-YEE1 45.4 EN","additionalIndoorAir","0","0","0","0","1","0"
"WiSAN-YEE1 45.4 EN","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"WiSAN-YEE1 45.4 EN","powerSupply","3","0","0","0","1","0"
"WiSAN-YEE1 45.4 EN","offPeakProduct","0","0","0","0","1","0"
"WiSAN-YEE1 45.4 EN","EN14511_2_001","120.00","4","10","0","2","0"
"WiSAN-YEE1 45.4 EN","EN14511_2_001","95.60","5","10","0","2","0"
"WiSAN-YEE1 45.4 EN","EN14511_2_002","32.40","4","10","0","2","0"
"WiSAN-YEE1 45.4 EN","EN14511_2_002","47.00","5","10","0","2","0"
"WiSAN-YEE1 45.4 EN","EN14511_2_003","3.71","4","10","0","2","0"
"WiSAN-YEE1 45.4 EN","EN14511_2_003","2.03","5","10","0","2","0"
"WiSAN-YEE1 45.4 EN","EN12102_1_002","85","4","3","0","2","0"
"WiSAN-YEE1 45.4 EN","EN12102_1_002","85","5","3","0","2","0"
"WiSAN-YEE1 45.4 EN","EN14825_001","163","4","3","0","2","0"
"WiSAN-YEE1 45.4 EN","EN14825_001","116","5","3","0","2","0"
"WiSAN-YEE1 45.4 EN","EN14825_002","92.10","4","3","0","2","0"
"WiSAN-YEE1 45.4 EN","EN14825_002","77.49","5","3","0","2","0"
"WiSAN-YEE1 45.4 EN","EN14825_003","4.16","4","3","0","2","0"
"WiSAN-YEE1 45.4 EN","EN14825_003","2.97","5","3","0","2","0"
"WiSAN-YEE1 45.4 EN","EN14825_004","-7","4","3","0","2","0"
"WiSAN-YEE1 45.4 EN","EN14825_004","-7","5","3","0","2","0"
"WiSAN-YEE1 45.4 EN","EN14825_005","-10","4","3","0","2","0"
"WiSAN-YEE1 45.4 EN","EN14825_005","-10","5","3","0","2","0"
"WiSAN-YEE1 45.4 EN","EN14825_008","81.50","4","3","0","2","0"
"WiSAN-YEE1 45.4 EN","EN14825_008","68.55","5","3","0","2","0"
"WiSAN-YEE1 45.4 EN","EN14825_009","2.68","4","3","0","2","0"
"WiSAN-YEE1 45.4 EN","EN14825_009","1.80","5","3","0","2","0"
"WiSAN-YEE1 45.4 EN","EN14825_047","0.960","4","3","0","2","0"
