"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"WiSAN-YEE1 75.4 EN","title","WiSAN-YEE1 75.4 EN","0","0","0","1","0"
"WiSAN-YEE1 75.4 EN","application","2","0","0","0","1","0"
"WiSAN-YEE1 75.4 EN","indoor","0","0","0","0","1","0"
"WiSAN-YEE1 75.4 EN","outdoor","1","0","0","0","1","0"
"WiSAN-YEE1 75.4 EN","coolingMode7c12c","0","0","0","0","1","0"
"WiSAN-YEE1 75.4 EN","coolingMode18c23c","0","0","0","0","1","0"
"WiSAN-YEE1 75.4 EN","colderClimate","0","0","0","0","1","0"
"WiSAN-YEE1 75.4 EN","warmerClimate","0","0","0","0","1","0"
"WiSAN-YEE1 75.4 EN","reversibility","1","0","0","0","1","0"
"WiSAN-YEE1 75.4 EN","colderForHeating","0","0","0","0","1","0"
"WiSAN-YEE1 75.4 EN","warmerForHeating","0","0","0","0","1","0"
"WiSAN-YEE1 75.4 EN","en145112Certification","0","0","0","0","1","0"
"WiSAN-YEE1 75.4 EN","heatSource","0","0","0","0","1","0"
"WiSAN-YEE1 75.4 EN","additionalOutdoorAir","0","0","0","0","1","0"
"WiSAN-YEE1 75.4 EN","additionalExhaustAir","0","0","0","0","1","0"
"WiSAN-YEE1 75.4 EN","additionalIndoorAir","0","0","0","0","1","0"
"WiSAN-YEE1 75.4 EN","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"WiSAN-YEE1 75.4 EN","powerSupply","3","0","0","0","1","0"
"WiSAN-YEE1 75.4 EN","offPeakProduct","0","0","0","0","1","0"
"WiSAN-YEE1 75.4 EN","EN14511_2_001","208.00","4","10","0","2","0"
"WiSAN-YEE1 75.4 EN","EN14511_2_001","195.00","5","10","0","2","0"
"WiSAN-YEE1 75.4 EN","EN14511_2_002","54.80","4","10","0","2","0"
"WiSAN-YEE1 75.4 EN","EN14511_2_002","67.80","5","10","0","2","0"
"WiSAN-YEE1 75.4 EN","EN14511_2_003","3.80","4","10","0","2","0"
"WiSAN-YEE1 75.4 EN","EN14511_2_003","2.88","5","10","0","2","0"
"WiSAN-YEE1 75.4 EN","EN12102_1_002","89","4","3","0","2","0"
"WiSAN-YEE1 75.4 EN","EN12102_1_002","89","5","3","0","2","0"
"WiSAN-YEE1 75.4 EN","EN14825_001","166","4","3","0","2","0"
"WiSAN-YEE1 75.4 EN","EN14825_001","117","5","3","0","2","0"
"WiSAN-YEE1 75.4 EN","EN14825_002","161.00","4","3","0","2","0"
"WiSAN-YEE1 75.4 EN","EN14825_002","140.81","5","3","0","2","0"
"WiSAN-YEE1 75.4 EN","EN14825_003","4.22","4","3","0","2","0"
"WiSAN-YEE1 75.4 EN","EN14825_003","2.99","5","3","0","2","0"
"WiSAN-YEE1 75.4 EN","EN14825_004","-7","4","3","0","2","0"
"WiSAN-YEE1 75.4 EN","EN14825_004","-7","5","3","0","2","0"
"WiSAN-YEE1 75.4 EN","EN14825_005","-10","4","3","0","2","0"
"WiSAN-YEE1 75.4 EN","EN14825_005","-10","5","3","0","2","0"
"WiSAN-YEE1 75.4 EN","EN14825_008","142.00","4","3","0","2","0"
"WiSAN-YEE1 75.4 EN","EN14825_008","124.56","5","3","0","2","0"
"WiSAN-YEE1 75.4 EN","EN14825_009","2.48","4","3","0","2","0"
"WiSAN-YEE1 75.4 EN","EN14825_009","1.85","5","3","0","2","0"
"WiSAN-YEE1 75.4 EN","EN14825_047","0.960","4","3","0","2","0"
"WiSAN-YEE1 75.4 EN","EN14825_047","0.96","5","3","0","2","0"
"WiSAN-YEE1 75.4 EN","EN14825_010","83.00","4","3","0","2","0"
"WiSAN-YEE1 75.4 EN","EN14825_010","75.93","5","3","0","2","0"
"WiSAN-YEE1 75.4 EN","EN14825_011","4.43","4","3","0","2","0"
"WiSAN-YEE1 75.4 EN","EN14825_011","3.19","5","3","0","2","0"
"WiSAN-YEE1 75.4 EN","EN14825_048","0.960","4","3","0","2","0"
"WiSAN-YEE1 75.4 EN","EN14825_048","0.96","5","3","0","2","0"
"WiSAN-YEE1 75.4 EN","EN14825_012","54.00","4","3","0","2","0"
"WiSAN-YEE1 75.4 EN","EN14825_012","50.00","5","3","0","2","0"
"WiSAN-YEE1 75.4 EN","EN14825_013","5.21","4","3","0","2","0"
"WiSAN-YEE1 75.4 EN","EN14825_013","3.27","5","3","0","2","0"
"WiSAN-YEE1 75.4 EN","EN14825_049","0.960","4","3","0","2","0"
"WiSAN-YEE1 75.4 EN","EN14825_049","0.96","5","3","0","2","0"
"WiSAN-YEE1 75.4 EN","EN14825_014","39.00","4","3","0","2","0"
"WiSAN-YEE1 75.4 EN","EN14825_014","40.86","5","3","0","2","0"
"WiSAN-YEE1 75.4 EN","EN14825_015","5.95","4","3","0","2","0"
