"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"1","title","ERGA04EV7 / EHBH04E6V","0","0","0","1","0"
"1","application","2","0","0","0","1","0"
"1","indoor","1","0","0","0","1","0"
"1","outdoor","1","0","0","0","1","0"
"1","coolingMode7c12c","0","0","0","0","1","0"
"1","coolingMode18c23c","0","0","0","0","1","0"
"1","colderClimate","0","0","0","0","1","0"
"1","warmerClimate","0","0","0","0","1","0"
"1","reversibility","0","0","0","0","1","0"
"1","colderForHeating","0","0","0","0","1","0"
"1","warmerForHeating","0","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","0","0","0","0","1","0"
"1","additionalOutdoorAir","0","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","1","0","0","0","1","0"
"1","offPeakProduct","0","0","0","0","1","0"
"1","EN14511_2_001","4.36","4","10","0","2","0"
"1","EN14511_2_001","4.90","5","10","0","2","0"
"1","EN14511_2_002","1.36","6","4","0","2","0"
"1","EN14511_2_002","0.83","4","10","0","2","0"
"1","EN14511_2_002","1.85","5","10","0","2","0"
"1","EN14511_2_003","5.23","4","10","0","2","0"
"1","EN14511_2_003","2.65","5","10","0","2","0"
"1","EN14511_2_005","4.52","6","4","0","2","0"
"1","EN14511_2_007","3.32","6","4","0","2","0"
"1","EN14511_4_003","2","0","10","0","2","0"
"1","EN14511_4_004","2","0","10","0","2","0"
"1","EN14511_4_005","2","0","10","0","2","0"
"1","EN14511_4_006","2","0","10","0","2","0"
"1","EN12102_1_001","42","4","3","0","2","0"
"1","EN12102_1_001","42","5","3","0","2","0"
"1","EN12102_1_002","58","4","3","0","2","0"
"1","EN12102_1_002","58","5","3","0","2","0"
"1","EN14825_001","192","4","3","0","2","0"
"1","EN14825_001","127","5","3","0","2","0"
"1","EN14825_002","6.0","4","3","0","2","0"
"1","EN14825_002","6.0","5","3","0","2","0"
"1","EN14825_003","4.88","4","3","0","2","0"
"1","EN14825_003","3.26","5","3","0","2","0"
"1","EN14825_004","-7","4","3","0","2","0"
"1","EN14825_004","-7","5","3","0","2","0"
"1","EN14825_005","-10","4","3","0","2","0"
"1","EN14825_005","-10","5","3","0","2","0"
"1","EN14825_008","6.2","4","3","0","2","0"
"1","EN14825_008","5.3","5","3","0","2","0"
"1","EN14825_009","3.23","4","3","0","2","0"
"1","EN14825_009","1.97","5","3","0","2","0"
"1","EN14825_047","1.00","4","3","0","2","0"
"1","EN14825_047","1.0","5","3","0","2","0"
"1","EN14825_010","3.7","4","3","0","2","0"
"1","EN14825_010","3.3","5","3","0","2","0"
"1","EN14825_011","4.94","4","3","0","2","0"
"1","EN14825_011","3.23","5","3","0","2","0"
"1","EN14825_048","1.0","4","3","0","2","0"
"1","EN14825_048","1.0","5","3","0","2","0"
"1","EN14825_012","3.2","4","3","0","2","0"
"1","EN14825_012","3.0","5","3","0","2","0"
"1","EN14825_013","6.19","4","3","0","2","0"
"1","EN14825_013","4.40","5","3","0","2","0"
"1","EN14825_049","1.0","4","3","0","2","0"
"1","EN14825_049","1.0","5","3","0","2","0"
"1","EN14825_014","3.3","4","3","0","2","0"
"1","EN14825_014","3.3","5","3","0","2","0"
"1","EN14825_015","7.78","4","3","0","2","0"
"1","EN14825_015","6.10","5","3","0","2","0"
"1","EN14825_050","1.0","4","3","0","2","0"
"1","EN14825_050","1.0","5","3","0","2","0"
"1","EN14825_016","6.2","4","3","0","2","0"
"1","EN14825_016","5.3","5","3","0","2","0"
"1","EN14825_017","3.23","4","3","0","2","0"
"1","EN14825_017","1.97","5","3","0","2","0"
"1","EN14825_018","5.2","4","3","0","2","0"
"1","EN14825_018","4.0","5","3","0","2","0"
"1","EN14825_019","2.56","4","3","0","2","0"
"1","EN14825_019","1.37","5","3","0","2","0"
"1","EN14825_030","4.50","6","4","0","2","0"
"1","EN14825_031","5.66","6","4","0","2","0"
"1","EN14825_032","4.52","6","4","0","2","0"
"1","EN14825_033","3.32","6","4","0","2","0"
"1","EN14825_034","3.14","6","4","0","2","0"
"1","EN14825_035","5.11","6","4","0","2","0"
"1","EN14825_053","1.0","6","4","0","2","0"
"1","EN14825_036","2.43","6","4","0","2","0"
"1","EN14825_037","6.69","6","4","0","2","0"
"1","EN14825_054","1.0","6","4","0","2","0"
"1","EN14825_038","2.50","6","4","0","2","0"
"1","EN14825_039","8.24","6","4","0","2","0"
"1","EN14825_055","1.0","6","4","0","2","0"
"1","EN14825_022","35","4","3","0","2","0"
"1","EN14825_022","55","5","3","0","2","0"
"1","EN14825_023","10","4","3","0","2","0"
"1","EN14825_023","10","5","3","0","2","0"
"1","EN14825_023","10","6","4","0","2","0"
"1","EN14825_024","10","4","3","0","2","0"
"1","EN14825_024","10","5","3","0","2","0"
"1","EN14825_024","10","6","4","0","2","0"
"1","EN14825_025","10","4","3","0","2","0"
"1","EN14825_025","10","5","3","0","2","0"
"1","EN14825_025","10","6","4","0","2","0"
"1","EN14825_026","0","4","3","0","2","0"
"1","EN14825_026","0","5","3","0","2","0"
"1","EN14825_026","0","6","4","0","2","0"
"1","EN14825_027","1","4","3","0","2","0"
"1","EN14825_027","1","5","3","0","2","0"
"1","EN14825_028","0.8","4","3","0","2","0"
"1","EN14825_028","2.0","5","3","0","2","0"
"1","EN14825_029","2538","4","3","0","2","0"
"1","EN14825_029","3806","5","3","0","2","0"
"1","EN14825_041","480","6","4","0","2","0"
"2","title","ERGA04EV7 / EHBX04E6V","0","0","0","1","0"
"2","application","2","0","0","0","1","0"
"2","indoor","1","0","0","0","1","0"
"2","outdoor","1","0","0","0","1","0"
"2","coolingMode7c12c","1","0","0","0","1","0"
"2","coolingMode18c23c","0","0","0","0","1","0"
"2","colderClimate","0","0","0","0","1","0"
"2","warmerClimate","0","0","0","0","1","0"
"2","reversibility","1","0","0","0","1","0"
"2","colderForHeating","0","0","0","0","1","0"
"2","warmerForHeating","0","0","0","0","1","0"
"2","en145112Certification","0","0","0","0","1","0"
"2","heatSource","0","0","0","0","1","0"
"2","additionalOutdoorAir","0","0","0","0","1","0"
"2","additionalExhaustAir","0","0","0","0","1","0"
"2","additionalIndoorAir","0","0","0","0","1","0"
"2","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"2","powerSupply","1","0","0","0","1","0"
"2","offPeakProduct","0","0","0","0","1","0"
"2","EN14511_2_001","4.36","4","10","0","2","0"
"2","EN14511_2_001","4.90","5","10","0","2","0"
"2","EN14511_2_002","1.36","6","4","0","2","0"
"2","EN14511_2_002","0.83","4","10","0","2","0"
"2","EN14511_2_002","1.85","5","10","0","2","0"
"2","EN14511_2_003","5.23","4","10","0","2","0"
"2","EN14511_2_003","2.65","5","10","0","2","0"
"2","EN14511_2_005","4.52","6","4","0","2","0"
"2","EN14511_2_007","3.32","6","4","0","2","0"
"2","EN14511_4_003","2","0","10","0","2","0"
"2","EN14511_4_004","2","0","10","0","2","0"
"2","EN14511_4_005","2","0","10","0","2","0"
"2","EN14511_4_006","2","0","10","0","2","0"
"2","EN12102_1_001","42","4","3","0","2","0"
"2","EN12102_1_001","42","5","3","0","2","0"
"2","EN12102_1_002","58","4","3","0","2","0"
"2","EN12102_1_002","58","5","3","0","2","0"
"2","EN14825_001","195","4","3","0","2","0"
"2","EN14825_001","129","5","3","0","2","0"
"2","EN14825_002","6.0","4","3","0","2","0"
"2","EN14825_002","6.0","5","3","0","2","0"
"2","EN14825_003","4.96","4","3","0","2","0"
"2","EN14825_003","3.29","5","3","0","2","0"
"2","EN14825_004","-7","4","3","0","2","0"
"2","EN14825_004","-7","5","3","0","2","0"
"2","EN14825_005","-10","4","3","0","2","0"
"2","EN14825_005","-10","5","3","0","2","0"
"2","EN14825_008","6.2","4","3","0","2","0"
"2","EN14825_008","5.3","5","3","0","2","0"
"2","EN14825_009","3.23","4","3","0","2","0"
"2","EN14825_009","1.97","5","3","0","2","0"
"2","EN14825_047","1.00","4","3","0","2","0"
"2","EN14825_047","1.0","5","3","0","2","0"
"2","EN14825_010","3.7","4","3","0","2","0"
"2","EN14825_010","3.3","5","3","0","2","0"
