"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"1","title","EPSK08AW1 / EPSX(B)10P30A","0","0","0","1","0"
"1","application","4","0","0","0","1","0"
"1","indoor","1","0","0","0","1","0"
"1","outdoor","1","0","0","0","1","0"
"1","coolingMode7c12c","1","0","0","0","1","0"
"1","coolingMode18c23c","0","0","0","0","1","0"
"1","colderClimate","0","0","0","0","1","0"
"1","warmerClimate","0","0","0","0","1","0"
"1","reversibility","1","0","0","0","1","0"
"1","colderForHeating","0","0","0","0","1","0"
"1","warmerForHeating","0","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","1","0","0","0","1","0"
"1","additionalOutdoorAir","0","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","3","0","0","0","1","0"
"1","offPeakProduct","0","0","0","0","1","0"
"1","EN14511_2_001","7.62","4","10","0","2","0"
"1","EN14511_2_001","7.85","5","10","0","2","0"
"1","EN14511_2_002","1.85","6","4","0","2","0"
"1","EN14511_2_002","1.52","4","10","0","2","0"
"1","EN14511_2_002","2.3","5","10","0","2","0"
"1","EN14511_2_003","5.01","4","10","0","2","0"
"1","EN14511_2_003","3.42","5","10","0","2","0"
"1","EN14511_2_005","6.89","6","4","0","2","0"
"1","EN14511_2_007","3.73","6","4","0","2","0"
"1","EN14511_4_003","2","0","10","0","2","0"
"1","EN14511_4_004","2","0","10","0","2","0"
"1","EN14511_4_005","2","0","10","0","2","0"
"1","EN14511_4_006","2","0","10","0","2","0"
"1","EN12102_1_001","49","4","3","0","2","0"
"1","EN12102_1_001","49","5","3","0","2","0"
"1","EN12102_1_002","45","4","3","0","2","0"
"1","EN12102_1_002","45","5","3","0","2","0"
"1","EN14825_001","202","4","3","0","2","0"
"1","EN14825_001","155","5","3","0","2","0"
"1","EN14825_002","7.50","4","3","0","2","0"
"1","EN14825_002","7.50","5","3","0","2","0"
"1","EN14825_003","5.14","4","3","0","2","0"
"1","EN14825_003","3.96","5","3","0","2","0"
"1","EN14825_004","-10","4","3","0","2","0"
"1","EN14825_004","-7","5","3","0","2","0"
"1","EN14825_005","-10","4","3","0","2","0"
"1","EN14825_005","-10","5","3","0","2","0"
"1","EN14825_008","6.70","4","3","0","2","0"
"1","EN14825_008","6.60","5","3","0","2","0"
"1","EN14825_009","3.40","4","3","0","2","0"
"1","EN14825_009","2.64","5","3","0","2","0"
"1","EN14825_047","1.000","5","3","0","2","0"
"1","EN14825_010","4.00","4","3","0","2","0"
"1","EN14825_010","4.10","5","3","0","2","0"
"1","EN14825_011","5.06","4","3","0","2","0"
"1","EN14825_011","3.92","5","3","0","2","0"
"1","EN14825_048","1.000","4","3","0","2","0"
"1","EN14825_048","1.000","5","3","0","2","0"
