"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","Indoor unit: HPCWT-350L，Outdoor unit: HP-12KW-R290-S1","0","0","0","1","0"
"","application","4","0","0","0","1","0"
"","indoor","1","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","1","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN14825_001","186","4","3","0","2","0"
"","EN14825_001","142","5","3","0","2","0"
"","EN14825_002","9.42","4","3","0","2","0"
"","EN14825_002","8.60","5","3","0","2","0"
"","EN14825_003","4.73","4","3","0","2","0"
"","EN14825_003","3.62","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","8.33","4","3","0","2","0"
"","EN14825_008","7.60","5","3","0","2","0"
"","EN14825_009","3.10","4","3","0","2","0"
"","EN14825_009","2.31","5","3","0","2","0"
"","EN14825_047","0.900","4","3","0","2","0"
"","EN14825_047","0.900","5","3","0","2","0"
"","EN14825_010","5.05","4","3","0","2","0"
"","EN14825_010","4.82","5","3","0","2","0"
"","EN14825_011","4.79","4","3","0","2","0"
"","EN14825_011","3.65","5","3","0","2","0"
"","EN14825_048","0.900","4","3","0","2","0"
"","EN14825_048","0.900","5","3","0","2","0"
"","EN14825_012","4.42","4","3","0","2","0"
"","EN14825_012","4.19","5","3","0","2","0"
"","EN14825_013","6.21","4","3","0","2","0"
"","EN14825_013","4.72","5","3","0","2","0"
"","EN14825_049","0.900","4","3","0","2","0"
"","EN14825_049","0.900","5","3","0","2","0"
"","EN14825_014","5.17","4","3","0","2","0"
"","EN14825_014","4.95","5","3","0","2","0"
"","EN14825_015","8.06","4","3","0","2","0"
"","EN14825_015","6.28","5","3","0","2","0"
"","EN14825_050","0.900","4","3","0","2","0"
"","EN14825_050","0.900","5","3","0","2","0"
"","EN14825_016","8.33","4","3","0","2","0"
"","EN14825_016","7.60","5","3","0","2","0"
"","EN14825_017","3.10","4","3","0","2","0"
"","EN14825_017","2.31","5","3","0","2","0"
"","EN14825_018","7.53","4","3","0","2","0"
"","EN14825_018","7.18","5","3","0","2","0"
"","EN14825_019","2.81","4","3","0","2","0"
"","EN14825_019","2.06","5","3","0","2","0"
"","EN14825_021","0.900","4","3","0","2","0"
"","EN14825_021","0.900","5","3","0","2","0"
"","EN14825_022","75","4","3","0","2","0"
"","EN14825_022","75","5","3","0","2","0"
"","EN14825_023","12","4","3","0","2","0"
"","EN14825_023","12","5","3","0","2","0"
"","EN14825_024","21","4","3","0","2","0"
"","EN14825_024","21","5","3","0","2","0"
"","EN14825_025","12","4","3","0","2","0"
"","EN14825_025","12","5","3","0","2","0"
"","EN14825_026","26","4","3","0","2","0"
"","EN14825_026","26","5","3","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","1.88","4","3","0","2","0"
"","EN14825_028","1.41","5","3","0","2","0"
"","EN14825_029","4115","4","3","0","2","0"
"","EN14825_029","4911","5","3","0","2","0"
"","EN16147_001","L","0","3","0","2","0"
"","EN16147_002","115","0","3","0","2","0"
"","EN16147_003","2.88","0","3","0","2","0"
"","EN16147_004","1:59:42","0","3","0","2","0"
"","EN16147_005","35.0","0","3","0","2","0"
"","EN16147_006","44.8","0","3","0","2","0"
"","EN16147_007","227","0","3","0","2","0"
"","Refrigerant","R290","0","0","0","0"
"","Mass of Refrigerant","0,900 kg","0","0","0","0"
"","Date","24.12.2024","0","0","0","0"
"","Manufacturer"," Dream Maker Technologie GmbH","0","0","0","0"
"","Modelname","Dream Maker Smart Heat Pump-R290-12-C","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
