"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"HYBRID REVOLUTION 30 EXR","title","HYBRID REVOLUTION 30 EXR","0","0","0","1","0"
"HYBRID REVOLUTION 30 EXR","application","2","0","0","0","1","0"
"HYBRID REVOLUTION 30 EXR","indoor","1","0","0","0","1","0"
"HYBRID REVOLUTION 30 EXR","outdoor","0","0","0","0","1","0"
"HYBRID REVOLUTION 30 EXR","coolingMode7c12c","1","0","0","0","1","0"
"HYBRID REVOLUTION 30 EXR","coolingMode18c23c","0","0","0","0","1","0"
"HYBRID REVOLUTION 30 EXR","colderClimate","0","0","0","0","1","0"
"HYBRID REVOLUTION 30 EXR","warmerClimate","0","0","0","0","1","0"
"HYBRID REVOLUTION 30 EXR","reversibility","0","0","0","0","1","0"
"HYBRID REVOLUTION 30 EXR","colderForHeating","0","0","0","0","1","0"
"HYBRID REVOLUTION 30 EXR","warmerForHeating","0","0","0","0","1","0"
"HYBRID REVOLUTION 30 EXR","en145112Certification","0","0","0","0","1","0"
"HYBRID REVOLUTION 30 EXR","heatSource","0","0","0","0","1","0"
"HYBRID REVOLUTION 30 EXR","additionalOutdoorAir","0","0","0","0","1","0"
"HYBRID REVOLUTION 30 EXR","additionalExhaustAir","0","0","0","0","1","0"
"HYBRID REVOLUTION 30 EXR","additionalIndoorAir","0","0","0","0","1","0"
"HYBRID REVOLUTION 30 EXR","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"HYBRID REVOLUTION 30 EXR","powerSupply","0","0","0","0","1","0"
"HYBRID REVOLUTION 30 EXR","offPeakProduct","0","0","0","0","1","0"
"HYBRID REVOLUTION 30 EXR","EN14511_2_001","2.24","4","10","0","2","0"
"HYBRID REVOLUTION 30 EXR","EN14511_2_001","2.25","5","10","0","2","0"
"HYBRID REVOLUTION 30 EXR","EN14511_2_002","0.51","4","10","0","2","0"
"HYBRID REVOLUTION 30 EXR","EN14511_2_002","0.81","5","10","0","2","0"
"HYBRID REVOLUTION 30 EXR","EN14511_2_003","4.38","4","10","0","2","0"
"HYBRID REVOLUTION 30 EXR","EN14511_2_003","2.78","5","10","0","2","0"
"HYBRID REVOLUTION 30 EXR","EN14511_4_003","2","0","10","0","2","0"
"HYBRID REVOLUTION 30 EXR","EN14511_4_004","2","0","10","0","2","0"
"HYBRID REVOLUTION 30 EXR","EN14511_4_005","2","0","10","0","2","0"
"HYBRID REVOLUTION 30 EXR","EN14511_4_006","2","0","10","0","2","0"
"HYBRID REVOLUTION 30 EXR","EN12102_1_001","42","4","3","0","2","0"
