"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"1","title","MMTC R32 026","0","0","0","1","0"
"1","application","2","0","0","0","1","0"
"1","indoor","0","0","0","0","1","0"
"1","outdoor","1","0","0","0","1","0"
"1","coolingMode7c12c","1","0","0","0","1","0"
"1","coolingMode18c23c","1","0","0","0","1","0"
"1","colderClimate","0","0","0","0","1","0"
"1","warmerClimate","0","0","0","0","1","0"
"1","reversibility","1","0","0","0","1","0"
"1","colderForHeating","0","0","0","0","1","0"
"1","warmerForHeating","0","0","0","0","1","0"
"1","en145112Certification","0","0","0","0","1","0"
"1","heatSource","0","0","0","0","1","0"
"1","additionalOutdoorAir","0","0","0","0","1","0"
"1","additionalExhaustAir","0","0","0","0","1","0"
"1","additionalIndoorAir","0","0","0","0","1","0"
"1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"1","powerSupply","3","0","0","0","1","0"
"1","offPeakProduct","0","0","0","0","1","0"
1","0"
"1","offPeakProduct","2","0","0","0","1","0"
"1","EN12102_2_001","40","0","1","0","2","0"
"1","EN12102_2_001","40","0","2","0","2","0"
"1","EN12102_2_001","40","0","3","0","2","0"
"1","EN12102_2_002","58","0","1","0","2","0"
"1","EN12102_2_002","58","0","2","0","2","0"
"1","EN12102_2_002","58","0","3","0","2","0"
"1","EN16147_001","M","0","1","0","2","0"
"1","EN16147_001","M","0","2","0","2","0"
"1","EN16147_001","M","0","3","0","2","0"
"1","EN16147_002","140","0","1","0","2","0"
"1","EN16147_002","80","0","2","0","2","0"
"1","EN16147_002","110","0","3","0","2","0"
"1","EN16147_003","3.20","0","1","0","2","0"
"1","EN16147_003","1.95","0","2","0","2","0"
"1","EN16147_003","2.65","0","3","0","2","0"
"1","EN16147_004","1:34","0","1","0","2","0"
"1","EN16147_004","2:39","0","2","0","2","0"
"1","EN16147_004","1:54","0","3","0","2","0"
"1","EN16147_005","24.0","0","1","0","2","0"
"1","EN16147_005","30.0","0","2","0","2","0"
"1","EN16147_005","25.0","0","3","0","2","0"
"1","EN16147_006","52.0","0","1","0","2","0"
"1","EN16147_006","52.0","0","2","0","2","0"
"1","EN16147_006","52.0","0","3","0","2","0"
"1","EN16147_007","110","0","1","0","2","0"
"1","EN16147_007","110","0","2","0","2","0"
"1","EN16147_007","108","0","3","0","2","0"
"1","EN16147_008","2","0","5","0","2","0"
"1","EN16147_009","2","0","5","0","2","0"
"1","EN16147_010","2","0","5","0","2","0"
"","Refrigerant","R32","0","0","0","0"
"","Mass of Refrigerant","1,500 kg","0","0","0","0"
"","Date","27.03.2025","0","0","0","0"
"","Manufacturer"," GD Midea Air-Conditioning Equipment Co., Ltd.","0","0","0","0"
"","Modelname","Multi-split heat pump water heater-100L-A","0","0","0","0"
"","Type","Heat Pump for Domestic Hot Water (DHW)","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
