"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","M4OA-27HFN8-Q(HRU)+ PBSX-100(30)/DN8-A","0","0","0","1","0"
"","application","0","0","0","0","1","0"
"","indoor","1","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","1","0","0","0","1","0"
"","warmerClimate","1","0","0","0","1","0"
"","reversibility","0","0","0","0","1","0"
"","colderForHeating","1","0","0","0","1","0"
"","warmerForHeating","1","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","1","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","1","0","0","0","1","0"
"","offPeakProduct","2","0","0","0","1","0"
"","EN12102_2_001","42","0","1","0","2","0"
"","EN12102_2_001","42","0","2","0","2","0"
"","EN12102_2_001","42","0","3","0","2","0"
"","EN12102_2_002","64","0","1","0","2","0"
"","EN12102_2_002","64","0","2","0","2","0"
"","EN12102_2_002","64","0","3","0","2","0"
"","EN16147_001","M","0","1","0","2","0"
"","EN16147_001","M","0","2","0","2","0"
"","EN16147_001","M","0","3","0","2","0"
"","EN16147_002","105","0","1","0","2","0"
"","EN16147_002","47","0","2","0","2","0"
"","EN16147_002","108","0","3","0","2","0"
"","EN16147_003","2.51","0","1","0","2","0"
"","EN16147_003","1.10","0","2","0","2","0"
"","EN16147_003","2.61","0","3","0","2","0"
"","EN16147_004","1:32","0","1","0","2","0"
"","EN16147_004","1:55","0","2","0","2","0"
"","EN16147_004","1:29","0","3","0","2","0"
"","EN16147_005","24.0","0","1","0","2","0"
"","EN16147_005","35.0","0","2","0","2","0"
"","EN16147_005","23.0","0","3","0","2","0"
"","EN16147_006","52.0","0","1","0","2","0"
"","EN16147_006","52.0","0","2","0","2","0"
"","EN16147_006","52.0","0","3","0","2","0"
"","EN16147_007","73","0","1","0","2","0"
"","EN16147_007","115","0","2","0","2","0"
"","EN16147_007","108","0","3","0","2","0"
"","EN16147_008","2","0","5","0","2","0"
"","EN16147_009","2","0","5","0","2","0"
"","EN16147_010","2","0","5","0","2","0"
"","Refrigerant","R32","0","0","0","0"
"","Mass of Refrigerant","1,800 kg","0","0","0","0"
"","Date","17.03.2025","0","0","0","0"
"","Manufacturer"," GD Midea Air-Conditioning Equipment Co., Ltd.","0","0","0","0"
"","Modelname","Split Type Air-source Heat Pump Water Heater -100L","0","0","0","0"
"","Type","Heat Pump for Domestic Hot Water (DHW)","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
