"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"MDV-V100WHN8(At) + SMK-D160N8(At)","title","MDV-V100WHN8(At) + SMK-D160N8(At)","0","0","0","1","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","application","2","0","0","0","1","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","indoor","1","0","0","0","1","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","outdoor","1","0","0","0","1","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","coolingMode7c12c","0","0","0","0","1","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","coolingMode18c23c","0","0","0","0","1","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","colderClimate","0","0","0","0","1","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","warmerClimate","0","0","0","0","1","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","reversibility","1","0","0","0","1","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","colderForHeating","0","0","0","0","1","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","warmerForHeating","0","0","0","0","1","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","en145112Certification","0","0","0","0","1","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","heatSource","0","0","0","0","1","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","additionalOutdoorAir","0","0","0","0","1","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","additionalExhaustAir","0","0","0","0","1","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","additionalIndoorAir","0","0","0","0","1","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","powerSupply","1","0","0","0","1","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","offPeakProduct","0","0","0","0","1","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14511_2_001","9.00","4","10","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14511_2_001","8.50","5","10","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14511_2_002","2.14","4","10","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14511_2_002","3.54","5","10","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14511_2_003","4.20","4","10","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14511_2_003","2.40","5","10","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14511_4_003","2","0","10","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14511_4_004","2","0","10","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14511_4_005","2","0","10","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14511_4_006","2","0","10","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN12102_1_001","43.00 ","4","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN12102_1_001","43.00 ","5","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN12102_1_002","68","4","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN12102_1_002","68","5","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_001","151","4","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_001","112","5","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_002","9.2","4","3","0","2","0"
"MDV-V100WHN8(At) + SMK-D160N8(At)","EN14825_002","7.6","5","3","0","2","0"
