"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","title","MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","0","0","0","1","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","application","3","0","0","0","1","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","indoor","1","0","0","0","1","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","outdoor","1","0","0","0","1","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","coolingMode7c12c","0","0","0","0","1","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","coolingMode18c23c","0","0","0","0","1","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","colderClimate","0","0","0","0","1","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","warmerClimate","0","0","0","0","1","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","reversibility","1","0","0","0","1","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","colderForHeating","0","0","0","0","1","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","warmerForHeating","0","0","0","0","1","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","en145112Certification","0","0","0","0","1","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","heatSource","0","0","0","0","1","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","additionalOutdoorAir","0","0","0","0","1","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","additionalExhaustAir","0","0","0","0","1","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","additionalIndoorAir","0","0","0","0","1","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","powerSupply","1","0","0","0","1","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","offPeakProduct","0","0","0","0","1","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14511_2_001","12.3","4","10","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14511_2_001","11.5","5","10","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14511_2_002","3.15","4","10","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14511_2_002","4.69","5","10","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14511_2_003","3.9","4","10","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14511_2_003","2.45","5","10","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14511_4_003","2","0","10","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14511_4_004","2","0","10","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14511_4_005","2","0","10","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14511_4_006","2","0","10","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN12102_1_001","43","4","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN12102_1_001","43","5","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN12102_1_002","70","4","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN12102_1_002","70","5","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_001","151","4","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_001","112","5","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_002","11","4","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_002","11","5","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_003","3.85","4","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_003","2.88","5","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_004","-7","4","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_004","-7","5","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_005","-10","4","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_005","-10","5","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_008","9.32","4","3","0","2","0"
"MDV-V120WHN8(At) + SMKT-D160/240CGN8(At)","EN14825_008","9.22","5","3","0","2","0"
