"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","title","MHA-V12WD2N8*-C-B+HB-A160C****GN8*-C","0","0","0","1","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","application","2","0","0","0","1","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","indoor","1","0","0","0","1","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","outdoor","1","0","0","0","1","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","coolingMode7c12c","0","0","0","0","1","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","coolingMode18c23c","0","0","0","0","1","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","colderClimate","0","0","0","0","1","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","warmerClimate","0","0","0","0","1","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","reversibility","1","0","0","0","1","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","colderForHeating","1","0","0","0","1","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","warmerForHeating","1","0","0","0","1","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","en145112Certification","0","0","0","0","1","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","heatSource","0","0","0","0","1","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","additionalOutdoorAir","0","0","0","0","1","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","additionalExhaustAir","0","0","0","0","1","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","additionalIndoorAir","0","0","0","0","1","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","powerSupply","1","0","0","0","1","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","offPeakProduct","0","0","0","0","1","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14511_2_001","12.10","4","10","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14511_2_001","12.10","5","10","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14511_2_002","2.52","4","10","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14511_2_002","4.03","5","10","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14511_2_003","4.80","4","10","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14511_2_003","3.00","5","10","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14511_4_003","2","0","10","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14511_4_004","2","0","10","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14511_4_005","2","0","10","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14511_4_006","2","0","10","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN12102_1_001","43.00 ","4","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN12102_1_001","43.00 ","5","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN12102_1_001","43.00 ","4","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN12102_1_001","43.00 ","5","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN12102_1_001","43.00 ","4","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN12102_1_001","43.00 ","5","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN12102_1_002","69","4","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN12102_1_002","69","5","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN12102_1_002","69","4","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN12102_1_002","69","5","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN12102_1_002","69","4","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN12102_1_002","69","5","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_001","237.00","4","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_001","168.00","5","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_001","162","4","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_001","121","5","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_001","190","4","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_001","138","5","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_002","12.1","4","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_002","12.1","5","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_002","12.3","4","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_002","11.2","5","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_002","12.4","4","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_002","12.3","5","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_003","6.00","4","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_003","4.28","5","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_003","4.13","4","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_003","3.10","5","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_003","4.83","4","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_003","3.53","5","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_004","7.00","4","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_004","7.00","5","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_004","-15.00","4","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_004","-15.00","5","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_004","-7","4","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_004","-7","5","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_005","2.00","4","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_005","2.00","5","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_005","-22.00","4","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_005","-22.00","5","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_005","-10.00","4","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_005","-10.00","5","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_008","7.82","4","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_008","6.91","5","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_008","11.06","4","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_008","10.92","5","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_009","3.57","4","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_009","2.69","5","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_009","3.02","4","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_009","2.17","5","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_047","0.90","4","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_047","0.90","5","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_047","0.90","4","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_047","0.90","5","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_010","11.97","4","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_010","11.94","5","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_010","4.53","4","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_010","4.31","5","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_010","6.91","4","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_010","6.83","5","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_011","3.69","4","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_011","2.50","5","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_011","4.96","4","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_011","3.91","5","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_011","4.74","4","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_011","3.53","5","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_048","0.90","4","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_048","0.90","5","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_048","0.90","4","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_048","0.90","5","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_048","0.90","4","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_048","0.90","5","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_012","7.82","4","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_012","7.77","5","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_012","4.94","4","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_012","4.93","5","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_012","5.09","4","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_012","4.76","5","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_013","5.88","4","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_013","3.86","5","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_013","6.59","4","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_013","5.10","5","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_013","6.54","4","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_013","4.74","5","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_049","0.90","4","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_049","0.90","5","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_049","0.90","4","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_049","0.90","5","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_049","0.90","4","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_049","0.90","5","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_014","5.34","4","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_014","5.22","5","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_014","5.45","4","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_014","5.84","5","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_014","5.82","4","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_014","5.43","5","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_015","7.09","4","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_015","5.43","5","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_015","7.43","4","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_015","6.49","5","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_015","8.20","4","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_015","5.85","5","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_050","0.90","4","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_050","0.90","5","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_050","0.90","4","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_050","0.90","5","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_050","0.90","4","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_050","0.90","5","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_016","9.14","4","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_016","9.14","5","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_016","10.04","4","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_016","9.14","5","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_016","11.06","4","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_016","10.92","5","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_017","1.74","4","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_017","1.74","5","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_017","2.61","4","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_017","1.74","5","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_017","3.02","4","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_017","2.17","5","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_018","11.97","4","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_018","11.94","5","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_018","8.22","4","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_018","4.42","5","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_018","11.87","4","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_018","9.31","5","3","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_019","3.69","4","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_019","2.50","5","1","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_019","1.99","4","2","0","2","0"
"MHA-V12WD2N8*-C-B+HB-A60C****GN8*-C","EN14825_019","1.10","5","2","0","2","0"
