"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","title","MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","0","0","0","1","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","application","2","0","0","0","1","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","indoor","1","0","0","0","1","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","outdoor","1","0","0","0","1","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","coolingMode7c12c","0","0","0","0","1","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","coolingMode18c23c","0","0","0","0","1","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","colderClimate","0","0","0","0","1","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","warmerClimate","0","0","0","0","1","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","reversibility","1","0","0","0","1","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","colderForHeating","1","0","0","0","1","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","warmerForHeating","1","0","0","0","1","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","en145112Certification","0","0","0","0","1","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","heatSource","0","0","0","0","1","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","additionalOutdoorAir","0","0","0","0","1","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","additionalExhaustAir","0","0","0","0","1","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","additionalIndoorAir","0","0","0","0","1","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","powerSupply","1","0","0","0","1","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","offPeakProduct","0","0","0","0","1","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14511_2_001","9.10","4","10","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14511_2_001","9.10","5","10","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14511_2_002","2.00","4","10","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14511_2_002","3.08","5","10","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14511_2_003","4.55","4","10","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14511_2_003","2.95","5","10","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14511_4_003","2","0","10","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14511_4_004","2","0","10","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14511_4_005","2","0","10","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14511_4_006","2","0","10","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN12102_1_001","43.00 ","4","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN12102_1_001","43.00 ","5","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN12102_1_001","43.00 ","4","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN12102_1_001","43.00 ","5","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN12102_1_001","43.00 ","4","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN12102_1_001","43.00 ","5","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN12102_1_002","65","4","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN12102_1_002","65","5","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN12102_1_002","65","4","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN12102_1_002","65","5","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN12102_1_002","65","4","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN12102_1_002","65","5","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_001","266.00","4","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_001","175.00","5","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_001","162","4","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_001","114","5","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_001","191","4","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_001","139","5","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_002","9.2","4","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_002","9.3","5","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_002","8.1","4","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_002","7.2","5","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_002","9.2","4","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_002","8.8","5","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_003","6.73","4","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_003","4.45","5","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_003","4.13","4","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_003","2.93","5","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_003","4.85","4","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_003","3.55","5","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_004","7.00","4","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_004","7.00","5","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_004","-15.00","4","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_004","-15.00","5","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_004","-7","4","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_004","-7","5","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_005","2.00","4","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_005","2.00","5","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_005","-22.00","4","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_005","-22.00","5","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_005","-10.00","4","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_005","-10.00","5","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_008","4.98","4","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_008","4.52","5","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_008","8.10","4","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_008","7.75","5","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_009","3.71","4","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_009","2.55","5","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_009","2.96","4","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_009","2.19","5","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_047","0.90","4","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_047","0.90","5","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_047","0.90","4","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_047","0.90","5","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_010","8.71","4","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_010","8.15","5","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_010","3.02","4","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_010","2.70","5","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_010","5.13","4","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_010","4.77","5","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_011","3.59","4","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_011","2.52","5","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_011","4.70","4","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_011","3.32","5","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_011","4.66","4","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_011","3.55","5","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_048","0.90","4","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_048","0.90","5","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_048","0.90","4","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_048","0.90","5","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_048","0.90","4","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_048","0.90","5","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_012","5.94","4","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_012","5.97","5","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_012","2.67","4","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_012","2.44","5","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_012","3.22","4","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_012","3.06","5","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_013","5.93","4","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_013","3.91","5","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_013","6.63","4","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_013","4.85","5","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_013","6.62","4","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_013","4.64","5","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_049","0.90","4","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_049","0.90","5","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_049","0.90","4","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_049","0.90","5","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_049","0.90","4","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_049","0.90","5","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_014","3.43","4","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_014","3.04","5","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_014","3.37","4","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_014","2.92","5","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_014","3.39","4","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_014","3.06","5","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_015","9.22","4","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_015","6.05","5","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_015","8.92","4","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_015","6.29","5","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_015","9.24","4","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_015","6.31","5","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_050","0.90","4","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_050","0.90","5","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_050","0.90","4","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_050","0.90","5","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_050","0.90","4","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_050","0.90","5","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_016","5.91","4","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_016","5.91","5","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_016","6.64","4","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_016","5.91","5","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_016","8.10","4","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_016","7.75","5","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_017","1.99","4","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_017","1.99","5","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_017","2.58","4","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_017","1.99","5","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_017","2.96","4","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_017","2.19","5","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_018","8.71","4","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_018","8.15","5","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_018","5.36","4","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_018","2.84","5","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_018","8.07","4","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_018","6.27","5","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_019","3.59","4","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_019","2.52","5","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_019","1.95","4","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_019","1.17","5","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_019","2.73","4","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_019","1.77","5","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_022","65.00","4","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_022","65.00","5","1","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_022","65.00","4","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_022","65.00","5","2","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_022","65.00","4","3","0","2","0"
"MHA-V10WD2N8*-C-B+HB-A100C****GN8*-C","EN14825_022","65.00","5","3","0","2","0"
