"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","HPM-V180W/SR3","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","0","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","1","0","0","0","1","0"
"","warmerForHeating","1","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","3","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","17.92","4","10","0","2","0"
"","EN14511_2_001","17.91","5","10","0","2","0"
"","EN14511_2_002","3.78","4","10","0","2","0"
"","EN14511_2_002","5.63","5","10","0","2","0"
"","EN14511_2_003","4.75","4","10","0","2","0"
"","EN14511_2_003","3.18","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_002","55","4","1","0","2","0"
"","EN12102_1_002","55","5","1","0","2","0"
"","EN12102_1_002","55","4","2","0","2","0"
"","EN12102_1_002","55","5","2","0","2","0"
"","EN12102_1_002","55","4","3","0","2","0"
"","EN12102_1_002","55","5","3","0","2","0"
"","EN14825_001","283","4","1","0","2","0"
"","EN14825_001","190","5","1","0","2","0"
"","EN14825_001","168","4","2","0","2","0"
"","EN14825_001","134","5","2","0","2","0"
"","EN14825_001","200","4","3","0","2","0"
"","EN14825_001","154","5","3","0","2","0"
"","EN14825_002","18.00","4","1","0","2","0"
"","EN14825_002","18.00","5","1","0","2","0"
"","EN14825_002","18.00","4","2","0","2","0"
"","EN14825_002","18.00","5","2","0","2","0"
"","EN14825_002","18.00","4","3","0","2","0"
"","EN14825_002","18.00","5","3","0","2","0"
"","EN14825_003","7.15","4","1","0","2","0"
"","EN14825_003","4.83","5","1","0","2","0"
"","EN14825_003","4.28","4","2","0","2","0"
"","EN14825_003","3.43","5","2","0","2","0"
"","EN14825_003","5.09","4","3","0","2","0"
"","EN14825_003","3.93","5","3","0","2","0"
"","EN14825_004","2","4","1","0","2","0"
"","EN14825_004","2","5","1","0","2","0"
"","EN14825_004","-15","4","2","0","2","0"
"","EN14825_004","-15","5","2","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","2","4","1","0","2","0"
"","EN14825_005","2","5","1","0","2","0"
"","EN14825_005","-22","4","2","0","2","0"
"","EN14825_005","-22","5","2","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","10.66","4","2","0","2","0"
"","EN14825_008","10.69","5","2","0","2","0"
"","EN14825_008","16.20","4","3","0","2","0"
"","EN14825_008","16.03","5","3","0","2","0"
"","EN14825_009","3.77","4","2","0","2","0"
"","EN14825_009","2.91","5","2","0","2","0"
"","EN14825_009","3.31","4","3","0","2","0"
"","EN14825_009","2.38","5","3","0","2","0"
"","EN14825_047","0.994","4","2","0","2","0"
"","EN14825_047","0.995","5","2","0","2","0"
"","EN14825_047","0.996","4","3","0","2","0"
"","EN14825_047","0.997","5","3","0","2","0"
"","EN14825_010","18.23","4","1","0","2","0"
"","EN14825_010","18.42","5","1","0","2","0"
"","EN14825_010","6.80","4","2","0","2","0"
"","EN14825_010","6.69","5","2","0","2","0"
"","EN14825_010","9.27","4","3","0","2","0"
"","EN14825_010","9.14","5","3","0","2","0"
"","EN14825_011","3.36","4","1","0","2","0"
"","EN14825_011","2.45","5","1","0","2","0"
"","EN14825_011","4.63","4","2","0","2","0"
"","EN14825_011","3.92","5","2","0","2","0"
"","EN14825_011","4.73","4","3","0","2","0"
"","EN14825_011","3.76","5","3","0","2","0"
"","EN14825_048","0.997","4","1","0","2","0"
"","EN14825_048","0.998","5","1","0","2","0"
"","EN14825_048","0.988","4","2","0","2","0"
"","EN14825_048","0.989","5","2","0","2","0"
"","EN14825_048","0.991","4","3","0","2","0"
"","EN14825_048","0.993","5","3","0","2","0"
"","EN14825_012","11.41","4","1","0","2","0"
"","EN14825_012","11.17","5","1","0","2","0"
"","EN14825_012","4.43","4","2","0","2","0"
"","EN14825_012","4.20","5","2","0","2","0"
"","EN14825_012","5.94","4","3","0","2","0"
"","EN14825_012","5.89","5","3","0","2","0"
"","EN14825_013","6.12","4","1","0","2","0"
"","EN14825_013","4.02","5","1","0","2","0"
"","EN14825_013","7.93","4","2","0","2","0"
"","EN14825_013","5.93","5","2","0","2","0"
"","EN14825_013","7.08","4","3","0","2","0"
"","EN14825_013","5.40","5","3","0","2","0"
"","EN14825_049","0.990","4","1","0","2","0"
"","EN14825_049","0.994","5","1","0","2","0"
"","EN14825_049","0.968","4","2","0","2","0"
"","EN14825_049","0.975","5","2","0","2","0"
"","EN14825_049","0.979","4","3","0","2","0"
"","EN14825_049","0.984","5","3","0","2","0"
"","EN14825_014","4.93","4","1","0","2","0"
"","EN14825_014","4.89","5","1","0","2","0"
"","EN14825_014","4.97","4","2","0","2","0"
"","EN14825_014","4.78","5","2","0","2","0"
"","EN14825_014","4.87","4","3","0","2","0"
"","EN14825_014","4.74","5","3","0","2","0"
"","EN14825_015","9.34","4","1","0","2","0"
"","EN14825_015","6.38","5","1","0","2","0"
"","EN14825_015","9.05","4","2","0","2","0"
"","EN14825_015","7.47","5","2","0","2","0"
"","EN14825_015","8.89","4","3","0","2","0"
"","EN14825_015","7.02","5","3","0","2","0"
"","EN14825_050","0.966","4","1","0","2","0"
"","EN14825_050","0.977","5","1","0","2","0"
"","EN14825_050","0.967","4","2","0","2","0"
"","EN14825_050","0.972","5","2","0","2","0"
"","EN14825_050","0.967","4","3","0","2","0"
"","EN14825_050","0.973","5","3","0","2","0"
"","EN14825_016","18.23","4","1","0","2","0"
