"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"THML-4D/FBp-A","title","THML-4D/FBp-A","0","0","0","1","0"
"THML-4D/FBp-A","application","2","0","0","0","1","0"
"THML-4D/FBp-A","indoor","0","0","0","0","1","0"
"THML-4D/FBp-A","outdoor","1","0","0","0","1","0"
"THML-4D/FBp-A","coolingMode7c12c","0","0","0","0","1","0"
"THML-4D/FBp-A","coolingMode18c23c","0","0","0","0","1","0"
"THML-4D/FBp-A","colderClimate","1","0","0","0","1","0"
"THML-4D/FBp-A","warmerClimate","1","0","0","0","1","0"
"THML-4D/FBp-A","reversibility","1","0","0","0","1","0"
"THML-4D/FBp-A","colderForHeating","0","0","0","0","1","0"
"THML-4D/FBp-A","warmerForHeating","0","0","0","0","1","0"
"THML-4D/FBp-A","en145112Certification","0","0","0","0","1","0"
"THML-4D/FBp-A","heatSource","0","0","0","0","1","0"
"THML-4D/FBp-A","additionalOutdoorAir","0","0","0","0","1","0"
"THML-4D/FBp-A","additionalExhaustAir","0","0","0","0","1","0"
"THML-4D/FBp-A","additionalIndoorAir","0","0","0","0","1","0"
"THML-4D/FBp-A","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"THML-4D/FBp-A","powerSupply","1","0","0","0","1","0"
"THML-4D/FBp-A","offPeakProduct","0","0","0","0","1","0"
"THML-4D/FBp-A","EN14511_2_001","4.20","4","10","0","2","0"
"THML-4D/FBp-A","EN14511_2_001","4.40","5","10","0","2","0"
"THML-4D/FBp-A","EN14511_2_002","0.83","4","10","0","2","0"
"THML-4D/FBp-A","EN14511_2_002","1.40","5","10","0","2","0"
"THML-4D/FBp-A","EN14511_2_003","5.09","4","10","0","2","0"
"THML-4D/FBp-A","EN14511_2_003","3.15","5","10","0","2","0"
"THML-4D/FBp-A","EN14511_4_003","2","0","10","0","2","0"
"THML-4D/FBp-A","EN14511_4_004","2","0","10","0","2","0"
"THML-4D/FBp-A","EN14511_4_005","2","0","10","0","2","0"
"THML-4D/FBp-A","EN14511_4_006","2","0","10","0","2","0"
"THML-4D/FBp-A","EN12102_1_002","56","4","1","0","2","0"
"THML-4D/FBp-A","EN12102_1_002","56","5","1","0","2","0"
"THML-4D/FBp-A","EN12102_1_002","56","4","2","0","2","0"
"THML-4D/FBp-A","EN12102_1_002","56","5","2","0","2","0"
"THML-4D/FBp-A","EN12102_1_002","56","4","3","0","2","0"
"THML-4D/FBp-A","EN12102_1_002","56","5","3","0","2","0"
"THML-4D/FBp-A","EN14825_001","268","4","1","0","2","0"
"THML-4D/FBp-A","EN14825_001","187","5","1","0","2","0"
"THML-4D/FBp-A","EN14825_001","173","4","2","0","2","0"
"THML-4D/FBp-A","EN14825_001","126","5","2","0","2","0"
"THML-4D/FBp-A","EN14825_001","198","4","3","0","2","0"
"THML-4D/FBp-A","EN14825_001","149","5","3","0","2","0"
"THML-4D/FBp-A","EN14825_002","5.30","4","1","0","2","0"
"THML-4D/FBp-A","EN14825_002","5.00","5","1","0","2","0"
"THML-4D/FBp-A","EN14825_002","5.00","4","2","0","2","0"
"THML-4D/FBp-A","EN14825_002","4.00","5","2","0","2","0"
"THML-4D/FBp-A","EN14825_002","5.00","4","3","0","2","0"
"THML-4D/FBp-A","EN14825_002","4.90","5","3","0","2","0"
"THML-4D/FBp-A","EN14825_003","6.72","4","1","0","2","0"
"THML-4D/FBp-A","EN14825_003","4.74","5","1","0","2","0"
"THML-4D/FBp-A","EN14825_003","4.40","4","2","0","2","0"
"THML-4D/FBp-A","EN14825_003","3.23","5","2","0","2","0"
"THML-4D/FBp-A","EN14825_003","5.03","4","3","0","2","0"
"THML-4D/FBp-A","EN14825_003","3.80","5","3","0","2","0"
"THML-4D/FBp-A","EN14825_004","7","4","1","0","2","0"
"THML-4D/FBp-A","EN14825_004","7","5","1","0","2","0"
"THML-4D/FBp-A","EN14825_004","-15","4","2","0","2","0"
"THML-4D/FBp-A","EN14825_004","-15","5","2","0","2","0"
"THML-4D/FBp-A","EN14825_004","-7","4","3","0","2","0"
"THML-4D/FBp-A","EN14825_004","-7","5","3","0","2","0"
