"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"MEVOM0116M","title","MEVO MAGIS 116M","0","0","0","1","0"
"MEVOM0116M","application","1","0","0","0","1","0"
"MEVOM0116M","indoor","0","0","0","0","1","0"
"MEVOM0116M","outdoor","1","0","0","0","1","0"
"MEVOM0116M","coolingMode7c12c","0","0","0","0","1","0"
"MEVOM0116M","coolingMode18c23c","0","0","0","0","1","0"
"MEVOM0116M","colderClimate","0","0","0","0","1","0"
"MEVOM0116M","warmerClimate","0","0","0","0","1","0"
"MEVOM0116M","reversibility","1","0","0","0","1","0"
"MEVOM0116M","colderForHeating","1","0","0","0","1","0"
"MEVOM0116M","warmerForHeating","1","0","0","0","1","0"
"MEVOM0116M","en145112Certification","0","0","0","0","1","0"
"MEVOM0116M","heatSource","0","0","0","0","1","0"
"MEVOM0116M","additionalOutdoorAir","0","0","0","0","1","0"
"MEVOM0116M","additionalExhaustAir","0","0","0","0","1","0"
"MEVOM0116M","additionalIndoorAir","0","0","0","0","1","0"
"MEVOM0116M","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"MEVOM0116M","powerSupply","1","0","0","0","1","0"
"MEVOM0116M","offPeakProduct","0","0","0","0","1","0"
"MEVOM0116M","EN14511_2_001","13.10","4","10","0","2","0"
"MEVOM0116M","EN14511_2_002","2.46","4","10","0","2","0"
"MEVOM0116M","EN14511_2_003","5.30","4","10","0","2","0"
"MEVOM0116M","EN14511_4_003","2","0","10","0","2","0"
"MEVOM0116M","EN14511_4_004","2","0","10","0","2","0"
"MEVOM0116M","EN14511_4_005","2","0","10","0","2","0"
"MEVOM0116M","EN14511_4_006","2","0","10","0","2","0"
"MEVOM0116M","EN12102_1_002","56","4","1","0","2","0"
"MEVOM0116M","EN12102_1_002","58","4","2","0","2","0"
"MEVOM0116M","EN12102_1_002","57","4","3","0","2","0"
"MEVOM0116M","EN14825_001","220","4","1","0","2","0"
"MEVOM0116M","EN14825_001","192","4","2","0","2","0"
"MEVOM0116M","EN14825_001","192","4","3","0","2","0"
"MEVOM0116M","EN14825_002","10.80","4","1","0","2","0"
"MEVOM0116M","EN14825_002","10.10","4","2","0","2","0"
"MEVOM0116M","EN14825_002","11.80","4","3","0","2","0"
"MEVOM0116M","EN14825_003","6.12","4","1","0","2","0"
