"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"HPR2904","title","Grant Aerona HPR2904","0","0","0","1","0"
"HPR2904","application","4","0","0","0","1","0"
"HPR2904","indoor","0","0","0","0","1","0"
"HPR2904","outdoor","1","0","0","0","1","0"
"HPR2904","coolingMode7c12c","0","0","0","0","1","0"
"HPR2904","coolingMode18c23c","0","0","0","0","1","0"
"HPR2904","colderClimate","0","0","0","0","1","0"
"HPR2904","warmerClimate","0","0","0","0","1","0"
"HPR2904","reversibility","0","0","0","0","1","0"
"HPR2904","colderForHeating","0","0","0","0","1","0"
"HPR2904","warmerForHeating","0","0","0","0","1","0"
"HPR2904","en145112Certification","0","0","0","0","1","0"
"HPR2904","heatSource","0","0","0","0","1","0"
"HPR2904","additionalOutdoorAir","0","0","0","0","1","0"
"HPR2904","additionalExhaustAir","0","0","0","0","1","0"
"HPR2904","additionalIndoorAir","0","0","0","0","1","0"
"HPR2904","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"HPR2904","powerSupply","1","0","0","0","1","0"
"HPR2904","offPeakProduct","0","0","0","0","1","0"
"HPR2904","EN14511_2_001","4.09","4","10","0","2","0"
"HPR2904","EN14511_2_001","4.36","5","10","0","2","0"
"HPR2904","EN14511_2_002","0.82","4","10","0","2","0"
"HPR2904","EN14511_2_002","1.36","5","10","0","2","0"
"HPR2904","EN14511_2_003","4.99","4","10","0","2","0"
"HPR2904","EN14511_2_003","3.19","5","10","0","2","0"
"HPR2904","EN14511_4_003","2","0","10","0","2","0"
"HPR2904","EN14511_4_004","2","0","10","0","2","0"
"HPR2904","EN14511_4_005","2","0","10","0","2","0"
"HPR2904","EN14511_4_006","2","0","10","0","2","0"
"HPR2904","EN12102_1_001","32","4","3","0","2","0"
"HPR2904","EN12102_1_001","33","5","3","0","2","0"
"HPR2904","EN12102_1_002","47","4","3","0","2","0"
"HPR2904","EN12102_1_002","48","5","3","0","2","0"
"HPR2904","EN14825_043","4.09","4","3","0","2","0"
"HPR2904","EN14825_043","4.36","5","3","0","2","0"
"HPR2904","EN14825_001","200","4","3","0","2","0"
"HPR2904","EN14825_001","146","5","3","0","2","0"
"HPR2904","EN14825_002","4.09","4","3","0","2","0"
"HPR2904","EN14825_002","4.36","5","3","0","2","0"
