"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","GRS-CQ26Pd/NhA-M","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","0","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","1","0","0","0","1","0"
"","warmerForHeating","1","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","3","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","26.00","4","10","0","2","0"
"","EN14511_2_001","26.00","5","10","0","2","0"
"","EN14511_2_002","5.98","4","10","0","2","0"
"","EN14511_2_002","9.81","5","10","0","2","0"
"","EN14511_2_003","4.35","4","10","0","2","0"
"","EN14511_2_003","2.65","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_002","65","4","3","0","2","0"
"","EN12102_1_002","65","5","3","0","2","0"
"","EN14825_001","252","4","1","0","2","0"
"","EN14825_001","163","5","1","0","2","0"
"","EN14825_001","137","4","2","0","2","0"
"","EN14825_001","105","5","2","0","2","0"
"","EN14825_001","181","4","3","0","2","0"
"","EN14825_001","127","5","3","0","2","0"
"","EN14825_002","27.00","4","1","0","2","0"
"","EN14825_002","27.00","5","1","0","2","0"
"","EN14825_002","26.00","4","2","0","2","0"
"","EN14825_002","26.00","5","2","0","2","0"
"","EN14825_002","26.00","4","3","0","2","0"
"","EN14825_002","27.00","5","3","0","2","0"
"","EN14825_003","6.38","4","1","0","2","0"
"","EN14825_003","4.15","5","1","0","2","0"
"","EN14825_003","3.50","4","2","0","2","0"
"","EN14825_003","2.70","5","2","0","2","0"
"","EN14825_003","4.60","4","3","0","2","0"
"","EN14825_003","3.25","5","3","0","2","0"
