"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","THERMOR AUREA 2 DUO 9","0","0","0","1","0"
"","application","4","0","0","0","1","0"
"","indoor","1","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","1","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","1","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","12.29","4","10","0","2","0"
"","EN14511_2_001","12.97","5","10","0","2","0"
"","EN14511_2_002","2.71","4","10","0","2","0"
"","EN14511_2_002","4.47","5","10","0","2","0"
"","EN14511_2_003","4.53","4","10","0","2","0"
"","EN14511_2_003","2.90","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_001","36","4","1","0","2","0"
"","EN12102_1_001","36","5","1","0","2","0"
"","EN12102_1_001","36","4","3","0","2","0"
"","EN12102_1_001","36","5","3","0","2","0"
"","EN12102_1_002","56","4","1","0","2","0"
"","EN12102_1_002","56","5","1","0","2","0"
"","EN12102_1_002","56","4","3","0","2","0"
"","EN12102_1_002","56","5","3","0","2","0"
"","EN14825_001","236","4","1","0","2","0"
"","EN14825_001","159","5","1","0","2","0"
"","EN14825_001","184","4","3","0","2","0"
"","EN14825_001","135","5","3","0","2","0"
"","EN14825_002","11.30","4","1","0","2","0"
"","EN14825_002","10.40","5","1","0","2","0"
"","EN14825_002","11.90","4","3","0","2","0"
"","EN14825_002","10.10","5","3","0","2","0"
