"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","AMH-10R2","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","0","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","1","0","0","0","1","0"
"","coolingMode18c23c","1","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","1","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","1","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","1","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","9.99","4","10","0","2","0"
"","EN14511_2_001","9.53","5","10","0","2","0"
"","EN14511_2_002","2.70","6","4","0","2","0"
"","EN14511_2_002","2.11","7","4","0","2","0"
"","EN14511_2_002","2.11","4","10","0","2","0"
"","EN14511_2_002","3.01","5","10","0","2","0"
"","EN14511_2_003","4.73","4","10","0","2","0"
"","EN14511_2_003","3.16","5","10","0","2","0"
"","EN14511_2_005","8.58","6","4","0","2","0"
"","EN14511_2_005","10.02","7","4","0","2","0"
"","EN14511_2_007","3.18","6","4","0","2","0"
"","EN14511_2_007","4.75","7","4","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_002","59","4","1","0","2","0"
"","EN12102_1_002","59","5","1","0","2","0"
"","EN12102_1_002","59","4","3","0","2","0"
"","EN12102_1_002","59","5","3","0","2","0"
"","EN14825_001","265","4","1","0","2","0"
"","EN14825_001","189","5","1","0","2","0"
"","EN14825_001","195","4","3","0","2","0"
"","EN14825_001","153","5","3","0","2","0"
"","EN14825_002","8.60","4","1","0","2","0"
"","EN14825_002","8.87","5","1","0","2","0"
"","EN14825_002","9.26","4","3","0","2","0"
"","EN14825_002","8.40","5","3","0","2","0"
"","EN14825_003","6.71","4","1","0","2","0"
"","EN14825_003","4.79","5","1","0","2","0"
"","EN14825_003","4.95","4","3","0","2","0"
"","EN14825_003","3.90","5","3","0","2","0"
"","EN14825_004","2","4","1","0","2","0"
"","EN14825_004","2","5","1","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","2","4","1","0","2","0"
"","EN14825_005","2","5","1","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","8.19","4","3","0","2","0"
"","EN14825_008","7.43","5","3","0","2","0"
"","EN14825_009","2.79","4","3","0","2","0"
"","EN14825_009","2.25","5","3","0","2","0"
"","EN14825_047","0.900","4","3","0","2","0"
"","EN14825_047","0.900","5","3","0","2","0"
"","EN14825_010","8.60","4","1","0","2","0"
"","EN14825_010","8.87","5","1","0","2","0"
"","EN14825_010","5.01","4","3","0","2","0"
"","EN14825_010","4.67","5","3","0","2","0"
"","EN14825_011","3.54","4","1","0","2","0"
"","EN14825_011","2.46","5","1","0","2","0"
"","EN14825_011","4.90","4","3","0","2","0"
"","EN14825_011","3.93","5","3","0","2","0"
"","EN14825_048","0.900","4","1","0","2","0"
"","EN14825_048","0.900","5","1","0","2","0"
"","EN14825_048","0.900","4","3","0","2","0"
"","EN14825_048","0.900","5","3","0","2","0"
"","EN14825_012","5.71","4","1","0","2","0"
