"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","LWH-F50VSN9H","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","0","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","3","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","50.00","4","10","0","2","0"
"","EN14511_2_001","50.00","5","10","0","2","0"
"","EN14511_2_002","11.56","4","10","0","2","0"
"","EN14511_2_002","16.56","5","10","0","2","0"
"","EN14511_2_003","4.31","4","10","0","2","0"
"","EN14511_2_003","3.03","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_002","66","4","3","0","2","0"
"","EN12102_1_002","66","5","3","0","2","0"
"","EN14825_001","185","4","3","0","2","0"
"","EN14825_001","141","5","3","0","2","0"
"","EN14825_002","50.00","4","3","0","2","0"
"","EN14825_002","50.00","5","3","0","2","0"
"","EN14825_003","4.69","4","3","0","2","0"
"","EN14825_003","3.59","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","44.57","4","3","0","2","0"
"","EN14825_008","44.42","5","3","0","2","0"
"","EN14825_009","2.93","4","3","0","2","0"
"","EN14825_009","2.12","5","3","0","2","0"
"","EN14825_047","0.997","4","3","0","2","0"
"","EN14825_047","0.998","5","3","0","2","0"
"","EN14825_010","27.69","4","3","0","2","0"
"","EN14825_010","27.55","5","3","0","2","0"
"","EN14825_011","4.64","4","3","0","2","0"
"","EN14825_011","3.48","5","3","0","2","0"
"","EN14825_048","0.993","4","3","0","2","0"
"","EN14825_048","0.995","5","3","0","2","0"
"","EN14825_012","18.08","4","3","0","2","0"
"","EN14825_012","17.92","5","3","0","2","0"
"","EN14825_013","5.86","4","3","0","2","0"
"","EN14825_013","4.88","5","3","0","2","0"
"","EN14825_049","0.987","4","3","0","2","0"
"","EN14825_049","0.989","5","3","0","2","0"
"","EN14825_014","21.31","4","3","0","2","0"
"","EN14825_014","19.56","5","3","0","2","0"
"","EN14825_015","8.62","4","3","0","2","0"
"","EN14825_015","6.56","5","3","0","2","0"
"","EN14825_050","0.984","4","3","0","2","0"
"","EN14825_050","0.987","5","3","0","2","0"
"","EN14825_016","44.57","4","3","0","2","0"
"","EN14825_016","44.42","5","3","0","2","0"
"","EN14825_017","2.93","4","3","0","2","0"
"","EN14825_017","2.12","5","3","0","2","0"
"","EN14825_018","38.45","4","3","0","2","0"
"","EN14825_018","36.51","5","3","0","2","0"
"","EN14825_019","2.55","4","3","0","2","0"
"","EN14825_019","1.92","5","3","0","2","0"
"","EN14825_021","0.997","4","3","0","2","0"
"","EN14825_021","0.998","5","3","0","2","0"
"","EN14825_022","75","4","3","0","2","0"
"","EN14825_022","75","5","3","0","2","0"
"","EN14825_023","25","4","3","0","2","0"
"","EN14825_023","25","5","3","0","2","0"
"","EN14825_024","39","4","3","0","2","0"
"","EN14825_024","39","5","3","0","2","0"
"","EN14825_025","25","4","3","0","2","0"
"","EN14825_025","25","5","3","0","2","0"
"","EN14825_026","0","4","3","0","2","0"
"","EN14825_026","0","5","3","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","11.60","4","3","0","2","0"
"","EN14825_028","13.50","5","3","0","2","0"
"","EN14825_029","22028","4","3","0","2","0"
"","EN14825_029","28753","5","3","0","2","0"
"","Refrigerant","R290","0","0","0","0"
"","Mass of Refrigerant","4,000 kg","0","0","0","0"
"","Date","03.07.2025","0","0","0","0"
"","Manufacturer"," Guangdong Luckingstar New Energy CO., LTD.","0","0","0","0"
"","Modelname","Ultraheat series R290 50kW","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
