"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","EST40","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","0","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","1","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","11.75","4","10","0","2","0"
"","EN14511_2_001","11.98","5","10","0","2","0"
"","EN14511_2_002","2.56","4","10","0","2","0"
"","EN14511_2_002","3.79","5","10","0","2","0"
"","EN14511_2_003","4.59","4","10","0","2","0"
"","EN14511_2_003","3.16","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_002","54","4","3","0","2","0"
"","EN12102_1_002","56","5","3","0","2","0"
"","EN14825_001","190","4","3","0","2","0"
"","EN14825_001","151","5","3","0","2","0"
"","EN14825_002","12.21","4","3","0","2","0"
"","EN14825_002","12.09","5","3","0","2","0"
"","EN14825_003","4.82","4","3","0","2","0"
"","EN14825_003","3.85","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","10.80","4","3","0","2","0"
"","EN14825_008","10.70","5","3","0","2","0"
"","EN14825_009","2.81","4","3","0","2","0"
"","EN14825_009","2.29","5","3","0","2","0"
"","EN14825_047","0.900","4","3","0","2","0"
"","EN14825_047","0.900","5","3","0","2","0"
"","EN14825_010","6.66","4","3","0","2","0"
"","EN14825_010","6.82","5","3","0","2","0"
"","EN14825_011","4.73","4","3","0","2","0"
"","EN14825_011","3.79","5","3","0","2","0"
"","EN14825_048","0.900","4","3","0","2","0"
"","EN14825_048","0.900","5","3","0","2","0"
"","EN14825_012","4.24","4","3","0","2","0"
"","EN14825_012","4.23","5","3","0","2","0"
"","EN14825_013","6.53","4","3","0","2","0"
"","EN14825_013","4.96","5","3","0","2","0"
"","EN14825_049","0.900","4","3","0","2","0"
"","EN14825_049","0.900","5","3","0","2","0"
"","EN14825_014","4.34","4","3","0","2","0"
"","EN14825_014","4.22","5","3","0","2","0"
"","EN14825_015","8.87","4","3","0","2","0"
"","EN14825_015","7.45","5","3","0","2","0"
"","EN14825_050","0.900","4","3","0","2","0"
"","EN14825_050","0.900","5","3","0","2","0"
"","EN14825_016","10.80","4","3","0","2","0"
"","EN14825_016","10.70","5","3","0","2","0"
"","EN14825_017","2.81","4","3","0","2","0"
"","EN14825_017","2.29","5","3","0","2","0"
"","EN14825_018","12.40","4","3","0","2","0"
"","EN14825_018","12.13","5","3","0","2","0"
"","EN14825_019","2.29","4","3","0","2","0"
"","EN14825_019","2.00","5","3","0","2","0"
"","EN14825_021","0.900","4","3","0","2","0"
"","EN14825_021","0.900","5","3","0","2","0"
"","EN14825_022","80","4","3","0","2","0"
"","EN14825_022","80","5","3","0","2","0"
"","EN14825_023","8","4","3","0","2","0"
"","EN14825_023","8","5","3","0","2","0"
"","EN14825_024","8","4","3","0","2","0"
"","EN14825_024","8","5","3","0","2","0"
"","EN14825_025","8","4","3","0","2","0"
"","EN14825_025","8","5","3","0","2","0"
"","EN14825_026","41","4","3","0","2","0"
"","EN14825_026","41","5","3","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","0.00","4","3","0","2","0"
"","EN14825_028","0.00","5","3","0","2","0"
"","EN14825_029","5233","4","3","0","2","0"
"","EN14825_029","6489","5","3","0","2","0"
"","title","EST40S","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","0","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","3","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","11.80","4","10","0","2","0"
"","EN14511_2_001","11.99","5","10","0","2","0"
"","EN14511_2_002","2.44","4","10","0","2","0"
"","EN14511_2_002","3.65","5","10","0","2","0"
"","EN14511_2_003","4.83","4","10","0","2","0"
"","EN14511_2_003","3.28","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_002","54","4","3","0","2","0"
"","EN12102_1_002","55","5","3","0","2","0"
"","EN14825_001","190","4","3","0","2","0"
"","EN14825_001","152","5","3","0","2","0"
"","EN14825_002","12.03","4","3","0","2","0"
"","EN14825_002","12.22","5","3","0","2","0"
"","EN14825_003","4.83","4","3","0","2","0"
"","EN14825_003","3.86","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","10.64","4","3","0","2","0"
"","EN14825_008","10.81","5","3","0","2","0"
"","EN14825_009","2.96","4","3","0","2","0"
"","EN14825_009","2.20","5","3","0","2","0"
"","EN14825_047","0.900","4","3","0","2","0"
"","EN14825_047","0.900","5","3","0","2","0"
"","EN14825_010","6.72","4","3","0","2","0"
"","EN14825_010","6.81","5","3","0","2","0"
"","EN14825_011","4.78","4","3","0","2","0"
