"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","EST60S","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","0","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","3","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","16.89","4","10","0","2","0"
"","EN14511_2_001","17.10","5","10","0","2","0"
"","EN14511_2_002","3.46","4","10","0","2","0"
"","EN14511_2_002","5.06","5","10","0","2","0"
"","EN14511_2_003","4.88","4","10","0","2","0"
"","EN14511_2_003","3.38","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_002","58","4","3","0","2","0"
"","EN12102_1_002","57","5","3","0","2","0"
"","EN14825_001","203","4","3","0","2","0"
"","EN14825_001","157","5","3","0","2","0"
"","EN14825_002","17.35","4","3","0","2","0"
"","EN14825_002","17.22","5","3","0","2","0"
"","EN14825_003","5.15","4","3","0","2","0"
"","EN14825_003","4.01","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","15.34","4","3","0","2","0"
"","EN14825_008","15.23","5","3","0","2","0"
"","EN14825_009","3.32","4","3","0","2","0"
"","EN14825_009","2.56","5","3","0","2","0"
"","EN14825_047","0.900","4","3","0","2","0"
"","EN14825_047","0.900","5","3","0","2","0"
"","EN14825_010","9.44","4","3","0","2","0"
"","EN14825_010","9.29","5","3","0","2","0"
"","EN14825_011","5.02","4","3","0","2","0"
"","EN14825_011","3.88","5","3","0","2","0"
"","EN14825_048","0.900","4","3","0","2","0"
"","EN14825_048","0.900","5","3","0","2","0"
"","EN14825_012","6.17","4","3","0","2","0"
"","EN14825_012","6.01","5","3","0","2","0"
"","EN14825_013","6.59","4","3","0","2","0"
"","EN14825_013","5.15","5","3","0","2","0"
"","EN14825_049","0.900","4","3","0","2","0"
"","EN14825_049","0.900","5","3","0","2","0"
"","EN14825_014","5.57","4","3","0","2","0"
"","EN14825_014","5.24","5","3","0","2","0"
"","EN14825_015","9.07","4","3","0","2","0"
"","EN14825_015","7.21","5","3","0","2","0"
"","EN14825_050","0.900","4","3","0","2","0"
"","EN14825_050","0.900","5","3","0","2","0"
"","EN14825_016","15.34","4","3","0","2","0"
"","EN14825_016","15.23","5","3","0","2","0"
"","EN14825_017","3.32","4","3","0","2","0"
"","EN14825_017","2.56","5","3","0","2","0"
"","EN14825_018","16.02","4","3","0","2","0"
"","EN14825_018","16.13","5","3","0","2","0"
"","EN14825_019","2.94","4","3","0","2","0"
"","EN14825_019","2.32","5","3","0","2","0"
"","EN14825_021","0.900","4","3","0","2","0"
"","EN14825_021","0.900","5","3","0","2","0"
"","EN14825_022","80","4","3","0","2","0"
"","EN14825_022","80","5","3","0","2","0"
"","EN14825_023","16","4","3","0","2","0"
"","EN14825_023","16","5","3","0","2","0"
"","EN14825_024","16","4","3","0","2","0"
"","EN14825_024","16","5","3","0","2","0"
"","EN14825_025","16","4","3","0","2","0"
"","EN14825_025","16","5","3","0","2","0"
"","EN14825_026","45","4","3","0","2","0"
"","EN14825_026","45","5","3","0","2","0"
"","EN14825_027","1","4","3","0","2","0"
"","EN14825_027","1","5","3","0","2","0"
"","EN14825_028","1.32","4","3","0","2","0"
"","EN14825_028","1.09","5","3","0","2","0"
"","EN14825_029","6957","4","3","0","2","0"
"","EN14825_029","8870","5","3","0","2","0"
"","Refrigerant","R290","0","0","0","0"
"","Mass of Refrigerant","1,700 kg","0","0","0","0"
"","Date","14.07.2025","0","0","0","0"
"","Manufacturer"," Guangdong PHNIX Eco-Energy Solution Ltd.","0","0","0","0"
"","Modelname","Intelligent Inverter Heat Pump-R290-EST60S","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
