"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"KR10/80DN5W-M3","title","KR10/80DN5W-M3","0","0","0","1","0"
"KR10/80DN5W-M3","application","0","0","0","0","1","0"
"KR10/80DN5W-M3","indoor","1","0","0","0","1","0"
"KR10/80DN5W-M3","outdoor","0","0","0","0","1","0"
"KR10/80DN5W-M3","coolingMode7c12c","0","0","0","0","1","0"
"KR10/80DN5W-M3","coolingMode18c23c","0","0","0","0","1","0"
"KR10/80DN5W-M3","colderClimate","0","0","0","0","1","0"
"KR10/80DN5W-M3","warmerClimate","0","0","0","0","1","0"
"KR10/80DN5W-M3","reversibility","0","0","0","0","1","0"
"KR10/80DN5W-M3","colderForHeating","1","0","0","0","1","0"
"KR10/80DN5W-M3","warmerForHeating","1","0","0","0","1","0"
"KR10/80DN5W-M3","en145112Certification","0","0","0","0","1","0"
"KR10/80DN5W-M3","heatSource","1","0","0","0","1","0"
"KR10/80DN5W-M3","additionalOutdoorAir","0","0","0","0","1","0"
"KR10/80DN5W-M3","additionalExhaustAir","0","0","0","0","1","0"
"KR10/80DN5W-M3","additionalIndoorAir","0","0","0","0","1","0"
"KR10/80DN5W-M3","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"KR10/80DN5W-M3","powerSupply","1","0","0","0","1","0"
"KR10/80DN5W-M3","offPeakProduct","2","0","0","0","1","0"
"KR10/80DN5W-M3","EN12102_2_001","54","0","1","0","2","0"
"KR10/80DN5W-M3","EN12102_2_001","52","0","2","0","2","0"
"KR10/80DN5W-M3","EN12102_2_001","49","0","3","0","2","0"
"KR10/80DN5W-M3","EN16147_001","M","0","1","0","2","0"
"KR10/80DN5W-M3","EN16147_001","M","0","2","0","2","0"
"KR10/80DN5W-M3","EN16147_001","M","0","3","0","2","0"
"KR10/80DN5W-M3","EN16147_002","142","0","1","0","2","0"
"KR10/80DN5W-M3","EN16147_002","102","0","2","0","2","0"
"KR10/80DN5W-M3","EN16147_002","118","0","3","0","2","0"
"KR10/80DN5W-M3","EN16147_003","3.41","0","1","0","2","0"
"KR10/80DN5W-M3","EN16147_003","2.45","0","2","0","2","0"
"KR10/80DN5W-M3","EN16147_003","2.87","0","3","0","2","0"
"KR10/80DN5W-M3","EN16147_004","3：36","0","1","0","2","0"
"KR10/80DN5W-M3","EN16147_004","13：51","0","2","0","2","0"
"KR10/80DN5W-M3","EN16147_004","4：27","0","3","0","2","0"
"KR10/80DN5W-M3","EN16147_005","30.0","0","1","0","2","0"
"KR10/80DN5W-M3","EN16147_005","43.0","0","2","0","2","0"
"KR10/80DN5W-M3","EN16147_005","33.0","0","3","0","2","0"
"KR10/80DN5W-M3","EN16147_006","47.7","0","1","0","2","0"
"KR10/80DN5W-M3","EN16147_006","47.7","0","2","0","2","0"
"KR10/80DN5W-M3","EN16147_006","47.7","0","3","0","2","0"
"KR10/80DN5W-M3","EN16147_007","80","0","1","0","2","0"
"KR10/80DN5W-M3","EN16147_007","80","0","2","0","2","0"
"KR10/80DN5W-M3","EN16147_007","79","0","3","0","2","0"
"KR10/80DN5W-M3","EN16147_008","2","0","5","0","2","0"
"KR10/80DN5W-M3","EN16147_009","2","0","5","0","2","0"
"KR10/80DN5W-M3","EN16147_010","2","0","5","0","2","0"
"KR10/80DN5W-M32","title","KR10/80DN5W-M32","0","0","0","1","0"
"KR10/80DN5W-M32","application","0","0","0","0","1","0"
"KR10/80DN5W-M32","indoor","1","0","0","0","1","0"
"KR10/80DN5W-M32","outdoor","0","0","0","0","1","0"
"KR10/80DN5W-M32","coolingMode7c12c","0","0","0","0","1","0"
"KR10/80DN5W-M32","coolingMode18c23c","0","0","0","0","1","0"
"KR10/80DN5W-M32","colderClimate","0","0","0","0","1","0"
"KR10/80DN5W-M32","warmerClimate","0","0","0","0","1","0"
"KR10/80DN5W-M32","reversibility","0","0","0","0","1","0"
"KR10/80DN5W-M32","colderForHeating","1","0","0","0","1","0"
"KR10/80DN5W-M32","warmerForHeating","1","0","0","0","1","0"
"KR10/80DN5W-M32","en145112Certification","0","0","0","0","1","0"
"KR10/80DN5W-M32","heatSource","1","0","0","0","1","0"
"KR10/80DN5W-M32","additionalOutdoorAir","0","0","0","0","1","0"
"KR10/80DN5W-M32","additionalExhaustAir","0","0","0","0","1","0"
"KR10/80DN5W-M32","additionalIndoorAir","0","0","0","0","1","0"
"KR10/80DN5W-M32","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"KR10/80DN5W-M32","powerSupply","1","0","0","0","1","0"
"KR10/80DN5W-M32","offPeakProduct","2","0","0","0","1","0"
"KR10/80DN5W-M32","EN12102_2_001","54","0","1","0","2","0"
"KR10/80DN5W-M32","EN12102_2_001","52","0","2","0","2","0"
"KR10/80DN5W-M32","EN12102_2_001","49","0","3","0","2","0"
"KR10/80DN5W-M32","EN16147_001","M","0","1","0","2","0"
"KR10/80DN5W-M32","EN16147_001","M","0","2","0","2","0"
"KR10/80DN5W-M32","EN16147_001","M","0","3","0","2","0"
"KR10/80DN5W-M32","EN16147_002","142","0","1","0","2","0"
"KR10/80DN5W-M32","EN16147_002","102","0","2","0","2","0"
"KR10/80DN5W-M32","EN16147_002","118","0","3","0","2","0"
"KR10/80DN5W-M32","EN16147_003","3.41","0","1","0","2","0"
"KR10/80DN5W-M32","EN16147_003","2.45","0","2","0","2","0"
"KR10/80DN5W-M32","EN16147_003","2.87","0","3","0","2","0"
"KR10/80DN5W-M32","EN16147_004","3：36","0","1","0","2","0"
"KR10/80DN5W-M32","EN16147_004","13：51","0","2","0","2","0"
"KR10/80DN5W-M32","EN16147_004","4：27","0","3","0","2","0"
"KR10/80DN5W-M32","EN16147_005","30.0","0","1","0","2","0"
"KR10/80DN5W-M32","EN16147_005","43.0","0","2","0","2","0"
"KR10/80DN5W-M32","EN16147_005","33.0","0","3","0","2","0"
"KR10/80DN5W-M32","EN16147_006","47.7","0","1","0","2","0"
"KR10/80DN5W-M32","EN16147_006","47.7","0","2","0","2","0"
