"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","AH-100NH4GFB00","0","0","0","1","0"
"","application","0","0","0","0","1","0"
"","indoor","1","0","0","0","1","0"
"","outdoor","0","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","1","0","0","0","1","0"
"","warmerClimate","1","0","0","0","1","0"
"","reversibility","0","0","0","0","1","0"
"","colderForHeating","1","0","0","0","1","0"
"","warmerForHeating","1","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","1","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","1","0","0","0","1","0"
"","offPeakProduct","2","0","0","0","1","0"
"","EN12102_2_001","47","0","1","0","2","0"
"","EN12102_2_001","47","0","2","0","2","0"
"","EN12102_2_001","47","0","3","0","2","0"
"","EN16147_001"," M","0","1","0","2","0"
"","EN16147_001","M","0","2","0","2","0"
"","EN16147_001","M","0","3","0","2","0"
"","EN16147_002","143","0","1","0","2","0"
"","EN16147_002","100","0","2","0","2","0"
"","EN16147_002","115","0","3","0","2","0"
"","EN16147_003","3.40","0","1","0","2","0"
"","EN16147_003","2.38","0","2","0","2","0"
"","EN16147_003","2.75","0","3","0","2","0"
"","EN16147_004","5:28","0","1","0","2","0"
"","EN16147_004","7:23","0","2","0","2","0"
"","EN16147_004","6:32","0","3","0","2","0"
"","EN16147_005","16.0","0","1","0","2","0"
"","EN16147_005","20.0","0","2","0","2","0"
"","EN16147_005","19.0","0","3","0","2","0"
"","EN16147_006","47.7","0","1","0","2","0"
"","EN16147_006","47.7","0","2","0","2","0"
"","EN16147_006","47.8","0","3","0","2","0"
"","EN16147_007","114","0","1","0","2","0"
"","EN16147_007","106","0","2","0","2","0"
"","EN16147_007","110","0","3","0","2","0"
"","EN16147_008","2","0","5","0","2","0"
"","EN16147_009","2","0","5","0","2","0"
"","EN16147_010","2","0","5","0","2","0"
"","Refrigerant","R290","0","0","0","0"
"","Mass of Refrigerant","0,148 kg","0","0","0","0"
"","Date","11.08.2025","0","0","0","0"
"","Manufacturer"," Hisense Air Conditioning Co. Ltd.","0","0","0","0"
"","Modelname","AH-100NH4GFB00","0","0","0","0"
"","Type","Heat Pump for Domestic Hot Water (DHW)","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
