"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","AH-80NH4GEB00","0","0","0","1","0"
"","application","0","0","0","0","1","0"
"","indoor","1","0","0","0","1","0"
"","outdoor","0","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","1","0","0","0","1","0"
"","warmerClimate","1","0","0","0","1","0"
"","reversibility","0","0","0","0","1","0"
"","colderForHeating","1","0","0","0","1","0"
"","warmerForHeating","1","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","1","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","1","0","0","0","1","0"
"","offPeakProduct","2","0","0","0","1","0"
"","EN12102_2_001","47","0","1","0","2","0"
"","EN12102_2_001","47","0","2","0","2","0"
"","EN12102_2_001","47","0","3","0","2","0"
"","EN16147_001"," M","0","1","0","2","0"
"","EN16147_001","M","0","2","0","2","0"
"","EN16147_001","M","0","3","0","2","0"
"","EN16147_002","129","0","1","0","2","0"
"","EN16147_002","91","0","2","0","2","0"
"","EN16147_002","110","0","3","0","2","0"
"","EN16147_003","3.12","0","1","0","2","0"
"","EN16147_003","2.19","0","2","0","2","0"
"","EN16147_003","2.75","0","3","0","2","0"
"","EN16147_004","4:20","0","1","0","2","0"
"","EN16147_004","6:51","0","2","0","2","0"
"","EN16147_004","5:11","0","3","0","2","0"
"","EN16147_005","12.0","0","1","0","2","0"
"","EN16147_005","17.0","0","2","0","2","0"
"","EN16147_005","15.0","0","3","0","2","0"
"","EN16147_006","49.1","0","1","0","2","0"
"","EN16147_006","49.6","0","2","0","2","0"
"","EN16147_006","48.9","0","3","0","2","0"
"","EN16147_007","96","0","1","0","2","0"
"","EN16147_007","98","0","2","0","2","0"
"","EN16147_007","90","0","3","0","2","0"
"","EN16147_008","2","0","5","0","2","0"
"","EN16147_009","2","0","5","0","2","0"
"","EN16147_010","2","0","5","0","2","0"
"","Refrigerant","R290","0","0","0","0"
"","Mass of Refrigerant","0,148 kg","0","0","0","0"
"","Date","11.08.2025","0","0","0","0"
"","Manufacturer"," Hisense Air Conditioning Co. Ltd.","0","0","0","0"
"","Modelname","AH-80NH4GEB00","0","0","0","0"
"","Type","Heat Pump for Domestic Hot Water (DHW)","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
