"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","title","RASM-3.5VTW2E & ATW-CBX-01 - Heating Only","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","0","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","1","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","7.95","4","10","0","2","0"
"","EN14511_2_001","8.60","5","10","0","2","0"
"","EN14511_2_002","1.72","4","10","0","2","0"
"","EN14511_2_002","2.94","5","10","0","2","0"
"","EN14511_2_003","4.62","4","10","0","2","0"
"","EN14511_2_003","2.93","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_002","57","4","3","0","2","0"
"","EN12102_1_002","57","5","3","0","2","0"
"","EN14825_001","184","4","3","0","2","0"
"","EN14825_001","135","5","3","0","2","0"
"","EN14825_002","8.00","4","3","0","2","0"
"","EN14825_002","8.00","5","3","0","2","0"
"","EN14825_003","4.67","4","3","0","2","0"
"","EN14825_003","3.44","5","3","0","2","0"
"","EN14825_004","-7","4","3","0","2","0"
"","EN14825_004","-7","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","6.74","4","3","0","2","0"
"","EN14825_008","7.02","5","3","0","2","0"
"","EN14825_009","2.91","4","3","0","2","0"
"","EN14825_009","2.20","5","3","0","2","0"
"","EN14825_047","0.900","4","3","0","2","0"
"","EN14825_047","0.900","5","3","0","2","0"
"","EN14825_010","4.01","4","3","0","2","0"
"","EN14825_010","4.10","5","3","0","2","0"
"","EN14825_011","4.39","4","3","0","2","0"
"","EN14825_011","3.19","5","3","0","2","0"
"","EN14825_048","0.900","4","3","0","2","0"
"","EN14825_048","0.900","5","3","0","2","0"
"","EN14825_012","2.89","4","3","0","2","0"
"","EN14825_012","2.86","5","3","0","2","0"
"","EN14825_013","6.89","4","3","0","2","0"
"","EN14825_013","4.94","5","3","0","2","0"
"","EN14825_049","0.900","4","3","0","2","0"
"","EN14825_049","0.900","5","3","0","2","0"
"","EN14825_014","2.96","4","3","0","2","0"
"","EN14825_014","2.80","5","3","0","2","0"
"","EN14825_015","9.27","4","3","0","2","0"
"","EN14825_015","7.28","5","3","0","2","0"
"","EN14825_050","0.900","4","3","0","2","0"
"","EN14825_050","0.900","5","3","0","2","0"
"","EN14825_016","6.74","4","3","0","2","0"
"","EN14825_016","7.02","5","3","0","2","0"
"","EN14825_017","2.91","4","3","0","2","0"
"","EN14825_017","2.20","5","3","0","2","0"
"","EN14825_018","7.35","4","3","0","2","0"
"","EN14825_018","6.78","5","3","0","2","0"
"","EN14825_019","2.56","4","3","0","2","0"
"","EN14825_019","1.92","5","3","0","2","0"
"","EN14825_021","0.900","4","3","0","2","0"
"","EN14825_021","0.900","5","3","0","2","0"
"","EN14825_022","75","4","3","0","2","0"
"","EN14825_022","75","5","3","0","2","0"
"","EN14825_023","13","4","3","0","2","0"
"","EN14825_023","13","5","3","0","2","0"
"","EN14825_024","13","4","3","0","2","0"
"","EN14825_024","13","5","3","0","2","0"
