"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"AQ26I-1","title","AquaMaster Inverter AQ26I-1","0","0","0","1","0"
"AQ26I-1","application","2","0","0","0","1","0"
"AQ26I-1","indoor","1","0","0","0","1","0"
"AQ26I-1","outdoor","0","0","0","0","1","0"
"AQ26I-1","coolingMode7c12c","0","0","0","0","1","0"
"AQ26I-1","coolingMode18c23c","0","0","0","0","1","0"
"AQ26I-1","colderClimate","0","0","0","0","1","0"
"AQ26I-1","warmerClimate","0","0","0","0","1","0"
"AQ26I-1","reversibility","0","0","0","0","1","0"
"AQ26I-1","colderForHeating","0","0","0","0","1","0"
"AQ26I-1","warmerForHeating","0","0","0","0","1","0"
"AQ26I-1","en145112Certification","0","0","0","0","1","0"
"AQ26I-1","heatSource","0","0","0","0","1","0"
"AQ26I-1","additionalOutdoorAir","0","0","0","0","1","0"
"AQ26I-1","additionalExhaustAir","0","0","0","0","1","0"
"AQ26I-1","additionalIndoorAir","0","0","0","0","1","0"
"AQ26I-1","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"AQ26I-1","powerSupply","1","0","0","0","1","0"
"AQ26I-1","offPeakProduct","0","0","0","0","1","0"
"AQ26I-1","EN14511_2_001","7.62","4","10","0","2","0"
"AQ26I-1","EN14511_2_001","6.88","5","10","0","2","0"
"AQ26I-1","EN14511_2_002","1.70","4","10","0","2","0"
"AQ26I-1","EN14511_2_002","2.35","5","10","0","2","0"
"AQ26I-1","EN14511_2_003","4.49","4","10","0","2","0"
"AQ26I-1","EN14511_2_003","2.93","5","10","0","2","0"
"AQ26I-1","EN14511_4_003","2","0","10","0","2","0"
"AQ26I-1","EN14511_4_004","2","0","10","0","2","0"
"AQ26I-1","EN14511_4_006","2","0","10","0","2","0"
"AQ26I-1","EN12102_1_001","48","4","3","0","2","0"
"AQ26I-1","EN12102_1_001","48","5","3","0","2","0"
"AQ26I-1","EN14825_001","190","4","3","0","2","0"
"AQ26I-1","EN14825_001","144","5","3","0","2","0"
"AQ26I-1","EN14825_002","8.94","4","3","0","2","0"
"AQ26I-1","EN14825_002","7.99","5","3","0","2","0"
"AQ26I-1","EN14825_003","4.94","4","3","0","2","0"
"AQ26I-1","EN14825_003","3.81","5","3","0","2","0"
"AQ26I-1","EN14825_004","-10","4","3","0","2","0"
"AQ26I-1","EN14825_004","-10","5","3","0","2","0"
"AQ26I-1","EN14825_005","-10","4","3","0","2","0"
"AQ26I-1","EN14825_005","-10","5","3","0","2","0"
"AQ26I-1","EN14825_008","8.06","4","3","0","2","0"
"AQ26I-1","EN14825_008","7.17","5","3","0","2","0"
"AQ26I-1","EN14825_009","4.34","4","3","0","2","0"
"AQ26I-1","EN14825_009","3.04","5","3","0","2","0"
"AQ26I-1","EN14825_047","0.900","4","3","0","2","0"
"AQ26I-1","EN14825_047","0.900","5","3","0","2","0"
"AQ26I-1","EN14825_010","4.99","4","3","0","2","0"
"AQ26I-1","EN14825_010","4.35","5","3","0","2","0"
"AQ26I-1","EN14825_011","4.91","4","3","0","2","0"
"AQ26I-1","EN14825_011","3.77","5","3","0","2","0"
"AQ26I-1","EN14825_048","0.900","4","3","0","2","0"
"AQ26I-1","EN14825_048","0.900","5","3","0","2","0"
"AQ26I-1","EN14825_012","3.16","4","3","0","2","0"
"AQ26I-1","EN14825_012","2.77","5","3","0","2","0"
"AQ26I-1","EN14825_013","5.51","4","3","0","2","0"
"AQ26I-1","EN14825_013","4.42","5","3","0","2","0"
"AQ26I-1","EN14825_049","0.900","4","3","0","2","0"
"AQ26I-1","EN14825_049","0.900","5","3","0","2","0"
"AQ26I-1","EN14825_014","1.90","4","3","0","2","0"
"AQ26I-1","EN14825_014","1.83","5","3","0","2","0"
"AQ26I-1","EN14825_015","5.65","4","3","0","2","0"
"AQ26I-1","EN14825_015","4.64","5","3","0","2","0"
"AQ26I-1","EN14825_050","0.965","4","3","0","2","0"
"AQ26I-1","EN14825_050","0.970","5","3","0","2","0"
"AQ26I-1","EN14825_016","8.94","4","3","0","2","0"
"AQ26I-1","EN14825_016","7.99","5","3","0","2","0"
"AQ26I-1","EN14825_017","4.13","4","3","0","2","0"
"AQ26I-1","EN14825_017","2.86","5","3","0","2","0"
"AQ26I-1","EN14825_018","8.94","4","3","0","2","0"
"AQ26I-1","EN14825_018","7.99","5","3","0","2","0"
"AQ26I-1","EN14825_019","4.13","4","3","0","2","0"
"AQ26I-1","EN14825_019","2.86","5","3","0","2","0"
"AQ26I-1","EN14825_021","0.900","4","3","0","2","0"
"AQ26I-1","EN14825_021","0.900","5","3","0","2","0"
"AQ26I-1","EN14825_022","60","4","3","0","2","0"
"AQ26I-1","EN14825_022","60","5","3","0","2","0"
"AQ26I-1","EN14825_023","12","4","3","0","2","0"
"AQ26I-1","EN14825_023","12","5","3","0","2","0"
"AQ26I-1","EN14825_024","12","4","3","0","2","0"
"AQ26I-1","EN14825_024","12","5","3","0","2","0"
"AQ26I-1","EN14825_025","12","4","3","0","2","0"
"AQ26I-1","EN14825_025","12","5","3","0","2","0"
"AQ26I-1","EN14825_026","0","4","3","0","2","0"
"AQ26I-1","EN14825_026","0","5","3","0","2","0"
"AQ26I-1","EN14825_027","0","4","3","0","2","0"
"AQ26I-1","EN14825_027","0","5","3","0","2","0"
"AQ26I-1","EN14825_028","0.00","4","3","0","2","0"
"AQ26I-1","EN14825_028","0.00","5","3","0","2","0"
"AQ26I-1","EN14825_029","3735","4","3","0","2","0"
"AQ26I-1","EN14825_029","4333","5","3","0","2","0"
"","Refrigerant","R410A","0","0","0","0"
"","Mass of Refrigerant","1,300 kg","0","0","0","0"
"","Date","09.04.2025","0","0","0","0"
"","Manufacturer"," Master Therm tepelna cerpadla s.r.o.","0","0","0","0"
"","Modelname","AquaMaster Inverter AQ26I-1","0","0","0","0"
"","Type","Brine/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
