"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"AQ45IP","title","AquaMaster Inverter AQ45IP","0","0","0","1","0"
"AQ45IP","application","2","0","0","0","1","0"
"AQ45IP","indoor","1","0","0","0","1","0"
"AQ45IP","outdoor","0","0","0","0","1","0"
"AQ45IP","coolingMode7c12c","0","0","0","0","1","0"
"AQ45IP","coolingMode18c23c","0","0","0","0","1","0"
"AQ45IP","colderClimate","0","0","0","0","1","0"
"AQ45IP","warmerClimate","0","0","0","0","1","0"
"AQ45IP","reversibility","0","0","0","0","1","0"
"AQ45IP","colderForHeating","0","0","0","0","1","0"
"AQ45IP","warmerForHeating","0","0","0","0","1","0"
"AQ45IP","en145112Certification","0","0","0","0","1","0"
"AQ45IP","heatSource","0","0","0","0","1","0"
"AQ45IP","additionalOutdoorAir","0","0","0","0","1","0"
"AQ45IP","additionalExhaustAir","0","0","0","0","1","0"
"AQ45IP","additionalIndoorAir","0","0","0","0","1","0"
"AQ45IP","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"AQ45IP","powerSupply","3","0","0","0","1","0"
"AQ45IP","offPeakProduct","0","0","0","0","1","0"
"AQ45IP","EN14511_2_001","16.50","4","10","0","2","0"
"AQ45IP","EN14511_2_001","14.65","5","10","0","2","0"
"AQ45IP","EN14511_2_002","3.79","4","10","0","2","0"
"AQ45IP","EN14511_2_002","5.06","5","10","0","2","0"
"AQ45IP","EN14511_2_003","4.35","4","10","0","2","0"
"AQ45IP","EN14511_2_003","2.90","5","10","0","2","0"
"AQ45IP","EN14511_4_003","2","0","10","0","2","0"
"AQ45IP","EN14511_4_004","2","0","10","0","2","0"
"AQ45IP","EN14511_4_006","2","0","10","0","2","0"
"AQ45IP","EN12102_1_001","48","4","3","0","2","0"
"AQ45IP","EN12102_1_001","48","5","3","0","2","0"
"AQ45IP","EN14825_001","186","4","3","0","2","0"
"AQ45IP","EN14825_001","144","5","3","0","2","0"
"AQ45IP","EN14825_002","35.23","4","3","0","2","0"
"AQ45IP","EN14825_002","33.93","5","3","0","2","0"
"AQ45IP","EN14825_003","4.85","4","3","0","2","0"
"AQ45IP","EN14825_003","3.79","5","3","0","2","0"
"AQ45IP","EN14825_004","-10","4","3","0","2","0"
"AQ45IP","EN14825_004","-10","5","3","0","2","0"
"AQ45IP","EN14825_005","-10","4","3","0","2","0"
"AQ45IP","EN14825_005","-10","5","3","0","2","0"
"AQ45IP","EN14825_008","32.03","4","3","0","2","0"
"AQ45IP","EN14825_008","30.87","5","3","0","2","0"
"AQ45IP","EN14825_009","4.03","4","3","0","2","0"
"AQ45IP","EN14825_009","2.94","5","3","0","2","0"
"AQ45IP","EN14825_047","0.900","4","3","0","2","0"
"AQ45IP","EN14825_047","0.900","5","3","0","2","0"
"AQ45IP","EN14825_010","19.78","4","3","0","2","0"
"AQ45IP","EN14825_010","19.04","5","3","0","2","0"
"AQ45IP","EN14825_011","4.87","4","3","0","2","0"
"AQ45IP","EN14825_011","3.80","5","3","0","2","0"
"AQ45IP","EN14825_048","0.900","4","3","0","2","0"
"AQ45IP","EN14825_048","0.900","5","3","0","2","0"
"AQ45IP","EN14825_012","12.40","4","3","0","2","0"
"AQ45IP","EN14825_012","12.06","5","3","0","2","0"
"AQ45IP","EN14825_013","5.39","4","3","0","2","0"
"AQ45IP","EN14825_013","4.35","5","3","0","2","0"
"AQ45IP","EN14825_049","0.900","4","3","0","2","0"
"AQ45IP","EN14825_049","0.900","5","3","0","2","0"
"AQ45IP","EN14825_014","5.79","4","3","0","2","0"
"AQ45IP","EN14825_014","5.40","5","3","0","2","0"
"AQ45IP","EN14825_015","5.34","4","3","0","2","0"
"AQ45IP","EN14825_015","4.33","5","3","0","2","0"
"AQ45IP","EN14825_050","0.900","4","3","0","2","0"
"AQ45IP","EN14825_050","0.900","5","3","0","2","0"
"AQ45IP","EN14825_016","35.23","4","3","0","2","0"
"AQ45IP","EN14825_016","33.93","5","3","0","2","0"
"AQ45IP","EN14825_017","3.87","4","3","0","2","0"
"AQ45IP","EN14825_017","2.75","5","3","0","2","0"
"AQ45IP","EN14825_018","35.23","4","3","0","2","0"
"AQ45IP","EN14825_018","33.93","5","3","0","2","0"
