"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"BA22IP","title","BoxAir Inverter BA22IP","0","0","0","1","0"
"BA22IP","application","2","0","0","0","1","0"
"BA22IP","indoor","0","0","0","0","1","0"
"BA22IP","outdoor","1","0","0","0","1","0"
"BA22IP","coolingMode7c12c","0","0","0","0","1","0"
"BA22IP","coolingMode18c23c","0","0","0","0","1","0"
"BA22IP","colderClimate","0","0","0","0","1","0"
"BA22IP","warmerClimate","0","0","0","0","1","0"
"BA22IP","reversibility","0","0","0","0","1","0"
"BA22IP","colderForHeating","0","0","0","0","1","0"
"BA22IP","warmerForHeating","0","0","0","0","1","0"
"BA22IP","en145112Certification","0","0","0","0","1","0"
"BA22IP","heatSource","0","0","0","0","1","0"
"BA22IP","additionalOutdoorAir","0","0","0","0","1","0"
"BA22IP","additionalExhaustAir","0","0","0","0","1","0"
"BA22IP","additionalIndoorAir","0","0","0","0","1","0"
"BA22IP","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"BA22IP","powerSupply","1","0","0","0","1","0"
"BA22IP","offPeakProduct","0","0","0","0","1","0"
"BA22IP","EN14511_2_001","4.18","4","10","0","2","0"
"BA22IP","EN14511_2_001","3.78","5","10","0","2","0"
"BA22IP","EN14511_2_002","0.84","4","10","0","2","0"
"BA22IP","EN14511_2_002","1.12","5","10","0","2","0"
"BA22IP","EN14511_2_003","5.01","4","10","0","2","0"
"BA22IP","EN14511_2_003","3.36","5","10","0","2","0"
"BA22IP","EN14511_4_003","2","0","10","0","2","0"
"BA22IP","EN14511_4_004","2","0","10","0","2","0"
"BA22IP","EN14511_4_005","2","0","10","0","2","0"
"BA22IP","EN14511_4_006","2","0","10","0","2","0"
"BA22IP","EN12102_1_002","50","4","3","0","2","0"
"BA22IP","EN12102_1_002","50","5","3","0","2","0"
"BA22IP","EN14825_001","191","4","3","0","2","0"
"BA22IP","EN14825_001","147","5","3","0","2","0"
"BA22IP","EN14825_002","4.04","4","3","0","2","0"
"BA22IP","EN14825_002","3.63","5","3","0","2","0"
"BA22IP","EN14825_003","4.85","4","3","0","2","0"
"BA22IP","EN14825_003","3.76","5","3","0","2","0"
"BA22IP","EN14825_004","-10","4","3","0","2","0"
"BA22IP","EN14825_004","-10","5","3","0","2","0"
"BA22IP","EN14825_005","-10","4","3","0","2","0"
"BA22IP","EN14825_005","-10","5","3","0","2","0"
"BA22IP","EN14825_008","3.61","4","3","0","2","0"
"BA22IP","EN14825_008","3.33","5","3","0","2","0"
"BA22IP","EN14825_009","3.00","4","3","0","2","0"
"BA22IP","EN14825_009","2.28","5","3","0","2","0"
"BA22IP","EN14825_047","0.900","4","3","0","2","0"
"BA22IP","EN14825_047","0.900","5","3","0","2","0"
"BA22IP","EN14825_010","2.24","4","3","0","2","0"
"BA22IP","EN14825_010","2.09","5","3","0","2","0"
"BA22IP","EN14825_011","4.95","4","3","0","2","0"
"BA22IP","EN14825_011","3.79","5","3","0","2","0"
"BA22IP","EN14825_048","0.900","4","3","0","2","0"
"BA22IP","EN14825_048","0.900","5","3","0","2","0"
"BA22IP","EN14825_012","1.46","4","3","0","2","0"
"BA22IP","EN14825_012","1.35","5","3","0","2","0"
"BA22IP","EN14825_013","7.02","4","3","0","2","0"
"BA22IP","EN14825_013","5.47","5","3","0","2","0"
"BA22IP","EN14825_049","0.900","4","3","0","2","0"
"BA22IP","EN14825_049","0.900","5","3","0","2","0"
"BA22IP","EN14825_014","1.64","4","3","0","2","0"
"BA22IP","EN14825_014","1.51","5","3","0","2","0"
"BA22IP","EN14825_015","7.97","4","3","0","2","0"
"BA22IP","EN14825_015","6.29","5","3","0","2","0"
"BA22IP","EN14825_050","0.908","4","3","0","2","0"
"BA22IP","EN14825_050","0.921","5","3","0","2","0"
"BA22IP","EN14825_016","4.04","4","3","0","2","0"
"BA22IP","EN14825_016","3.63","5","3","0","2","0"
"BA22IP","EN14825_017","2.97","4","3","0","2","0"
"BA22IP","EN14825_017","2.20","5","3","0","2","0"
"BA22IP","EN14825_018","4.04","4","3","0","2","0"
"BA22IP","EN14825_018","3.63","5","3","0","2","0"
"BA22IP","EN14825_019","2.97","4","3","0","2","0"
"BA22IP","EN14825_019","2.20","5","3","0","2","0"
"BA22IP","EN14825_021","0.900","4","3","0","2","0"
"BA22IP","EN14825_021","0.900","5","3","0","2","0"
"BA22IP","EN14825_022","65","4","3","0","2","0"
"BA22IP","EN14825_022","65","5","3","0","2","0"
"BA22IP","EN14825_023","19","4","3","0","2","0"
"BA22IP","EN14825_023","19","5","3","0","2","0"
"BA22IP","EN14825_024","19","4","3","0","2","0"
"BA22IP","EN14825_024","19","5","3","0","2","0"
"BA22IP","EN14825_025","19","4","3","0","2","0"
"BA22IP","EN14825_025","19","5","3","0","2","0"
"BA22IP","EN14825_026","0","4","3","0","2","0"
"BA22IP","EN14825_026","0","5","3","0","2","0"
"BA22IP","EN14825_027","1","4","3","0","2","0"
"BA22IP","EN14825_027","1","5","3","0","2","0"
"BA22IP","EN14825_028","0.00","4","3","0","2","0"
"BA22IP","EN14825_028","0.00","5","3","0","2","0"
"BA22IP","EN14825_029","1722","4","3","0","2","0"
"BA22IP","EN14825_029","1996","5","3","0","2","0"
"","Refrigerant","R290","0","0","0","0"
"","Mass of Refrigerant","0,800 kg","0","0","0","0"
"","Date","25.03.2025","0","0","0","0"
"","Manufacturer"," Master Therm tepelna cerpadla s.r.o.","0","0","0","0"
