manufacturer_name,model_name,variant_name,dimension,violation_type,src_temp,dst_temp,src_cop,dst_cop,delta
CTC AB,CTC EcoAir 510M 1x230V,CTC EcoAir 510M 1x230V,5_3_0_0,monotonic -7->2,-7,2,7.95,3.14,-4.8100000000000005
Bosch Thermotechnik GmbH (Buderus),Buderus Logatherm WLW MB-10/12 AR,Logatherm WLW176i-12 AR E,4_2_0_0,monotonic 2->7,2,7,5.42,5.35,-0.07000000000000028
Bosch Thermotechnik GmbH (Buderus),Buderus Logatherm WLW MB-10/12 AR,Logatherm WLW176i-12 AR E (60°C),4_2_0_0,monotonic 2->7,2,7,5.42,5.35,-0.07000000000000028
Bosch Thermotechnik GmbH (Buderus),Buderus Logatherm WLW MB-10/12 AR,Logatherm WLW176i-12 AR T180,4_2_0_0,monotonic 2->7,2,7,5.38,5.3,-0.08000000000000007
Bosch Thermotechnik GmbH (Buderus),Buderus Logatherm WLW MB-10/12 AR,Logatherm WLW176i-12 AR T180 (60°C),4_2_0_0,monotonic 2->7,2,7,5.38,5.3,-0.08000000000000007
Bosch Thermotechnik GmbH (Buderus),Buderus Logatherm WLW MB-10/12 AR,Logatherm WLW176i-12 AR TP70 (60°C),4_2_0_0,monotonic 2->7,2,7,5.38,5.3,-0.08000000000000007
Bosch Thermotechnik GmbH (Buderus),Buderus Logatherm WPLS.11/13/15.2,Buderus Logatherm WPLS13.2 RB-S,4_2_0_0,monotonic 2->7,2,7,5.12,4.8,-0.3200000000000003
Bosch Thermotechnik GmbH,Bosch Compress 3000 AWS-11/13/15,Bosch Compress 3000 AWS-13 E-S,4_2_0_0,monotonic 2->7,2,7,5.12,4.8,-0.3200000000000003
Bosch Thermotechnik GmbH (Buderus),Buderus Logatherm WPLS.11/13/15.2,Buderus Logatherm WPLS15.2 RB-S,4_2_0_0,monotonic 2->7,2,7,5.12,4.8,-0.3200000000000003
Bosch Thermotechnik GmbH,Bosch Compress 3000 AWS-11/13/15,Bosch Compress 3000 AWS-15 MS-S,4_2_0_0,monotonic 2->7,2,7,5.12,4.8,-0.3200000000000003
Bosch Thermotechnik GmbH (Buderus),Buderus Logatherm WLW MB-10/12 AR,Logatherm WLW176i-12 AR TP70,4_2_0_0,monotonic 2->7,2,7,5.38,5.3,-0.08000000000000007
Bosch Thermotechnik GmbH,Bosch Compress 3000 AWS-11/13/15,Bosch Compress 3000 AWS-13 M-S,4_2_0_0,monotonic 2->7,2,7,5.12,4.8,-0.3200000000000003
Bosch Thermotechnik GmbH,Bosch Compress 3000 AWS-11/13/15,Bosch Compress 3000 AWS-13 MS-S,4_2_0_0,monotonic 2->7,2,7,5.12,4.8,-0.3200000000000003
Bosch Thermotechnik GmbH,Bosch Compress 3000 AWS-11/13/15,Bosch Compress 3000 AWS-15 E-S,4_2_0_0,monotonic 2->7,2,7,5.12,4.8,-0.3200000000000003
Bosch Thermotechnik GmbH,Bosch Compress 3000 AWS-11/13/15,Bosch Compress 3000 AWS-15 M-S,4_2_0_0,monotonic 2->7,2,7,5.12,4.8,-0.3200000000000003
Fonderie Sime S.p.A.,SHP M PRO 12 14 16 kW,SHP M PRO 012,4_2_0_0,monotonic 2->7,2,7,5.34,5.28,-0.05999999999999961
Fonderie Sime S.p.A.,SHP M PRO 12 14 16 kW,SHP M PRO 012T,4_2_0_0,monotonic 2->7,2,7,5.34,5.28,-0.05999999999999961
GLOBAL SYSTEM INTEGRATION SRL G.S.I. SRL,MEVO 116-120 STD PRO MAGIS,MEVO STD 116M,4_1_0_0,monotonic 2->7,2,7,5.58,5.16,-0.41999999999999993
