manufacturer_name,model_name,variant_name,dimension,match_temp,reference_col,cop_tbiv,ref_cop,delta
Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,AEROTOP MONO BUILT-IN 04M-CRX,5_3_0_0,-7,cop_m7,2.13,2.29,-0.16000000000000014
Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT COMPACT 40 M 2Z,5_3_0_0,-7,cop_m7,2.13,2.29,-0.16000000000000014
Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT COMPACT 40 M 2Z LINK,5_3_0_0,-7,cop_m7,2.13,2.29,-0.16000000000000014
Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ENERGION M COMPACT 4 2Z,5_3_0_0,-7,cop_m7,2.13,2.29,-0.16000000000000014
Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ENERGION M PLUS 4 2Z,5_3_0_0,-7,cop_m7,2.13,2.29,-0.16000000000000014
Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,NIMBUS FLEX 40 M NET,5_3_0_0,-7,cop_m7,2.13,2.29,-0.16000000000000014
Ariston Thermo Group,NIMBUS/ARIANEXT/AEROTOP/ENERGION 120/150 S - COMPACT,AEROTOP SPLIT 12.2 M-C2R,4_2_0_0,-7,cop_m7,3.5,3.6,-0.10000000000000009
Bosch Thermotechnik GmbH,Bosch CS5800i/6800iAW 4/5/7 OR,CSH5800iAW 4 O,5_3_0_0,-7,cop_m7,3.55,2.12,1.4299999999999997
Bosch Thermotechnik GmbH,Bosch CS5800i/6800iAW 4/5/7 OR,CS5800iAW 4 ORE-S,5_3_0_0,-7,cop_m7,3.55,2.12,1.4299999999999997
Bosch Thermotechnik GmbH,Bosch CS5800i/6800iAW 4/5/7 OR,CS5800iAW 4 ORE-S (60°C),5_3_0_0,-7,cop_m7,3.55,2.12,1.4299999999999997
Bosch Thermotechnik GmbH,Bosch CS5800i/6800iAW 4/5/7 OR,CS5800iAW 4 ORMB-S,5_3_0_0,-7,cop_m7,3.53,2.11,1.42
Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,AEROTOP HYBRID MINI EVO 04X,5_3_0_0,-7,cop_m7,2.13,2.29,-0.16000000000000014
Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,AEROTOP MONO 04M-CRX 1Z,5_3_0_0,-7,cop_m7,2.13,2.29,-0.16000000000000014
Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,AEROTOP MONO 04M-RX 1Z,5_3_0_0,-7,cop_m7,2.13,2.29,-0.16000000000000014
Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,AEROTOP MONO 04M-RX 2Z,5_3_0_0,-7,cop_m7,2.13,2.29,-0.16000000000000014
Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT COMPACT 40 M,5_3_0_0,-7,cop_m7,2.13,2.29,-0.16000000000000014
Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT M HYBRID FLEX 4 LINK,5_3_0_0,-7,cop_m7,2.13,2.29,-0.16000000000000014
Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT PLUS 40 M 2Z,5_3_0_0,-7,cop_m7,2.13,2.29,-0.16000000000000014
Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ATAG i ENERGION M HYBRIDzone 4,5_3_0_0,-7,cop_m7,2.13,2.29,-0.16000000000000014
Ariston Thermo Group,NIMBUS/ARIANEXT/AEROTOP/ENERGION 120/150 S - COMPACT,AEROTOP SPLIT 12.2 M-CR 2Z,4_2_0_0,-7,cop_m7,3.5,3.6,-0.10000000000000009
