manufacturer_name,model_name,variant_name,dimension,reported_scop,calculated_scop,delta_scop_pct,abs_delta_pct,delta_scop,cop_points,cop_lt_count,cop_ge_count,cop_lt_share,max_cop,min_cop
Acond a.s.,Acond Aconomis N,Acond Aconomis N,5_1_0_0,4.33,4.137346387906447,-4.449275106086667,4.449275106086667,-0.1926536120935527,5.0,4.0,1.0,0.8,5.3,2.47
Acond a.s.,Acond Aconomis R,Acond Aconomis R,5_1_0_0,4.3,4.189944174959237,-2.5594377916456477,2.5594377916456477,-0.11005582504076283,5.0,4.0,1.0,0.8,6.21,2.43
Acond a.s.,Acond Aconomis R,Acond Aconomis R-SP,5_1_0_0,4.3,4.189944174959237,-2.5594377916456477,2.5594377916456477,-0.11005582504076283,5.0,4.0,1.0,0.8,6.21,2.43
Acond a.s.,Acond Aconomis S,HP60-11-1-PHMB ; Assure HP55-11-1-PHMB,5_1_0_0,3.58,3.3898229065340493,-5.312209314691363,5.312209314691363,-0.1901770934659508,5.0,4.0,1.0,0.8,5.69,2.31
Acond a.s.,Acond PRO-R,Acond PRO-R SP,5_1_0_0,4.25,4.158226499605619,-2.1593764798677864,2.1593764798677864,-0.09177350039438092,5.0,4.0,1.0,0.8,5.41,2.37
Airwell Residential S.A.S.,WELLEA M DF HT 26 30 35 40 kW,BDHX-260R-04T35,5_1_0_0,4.94,4.935747448431684,-0.08608403984446353,0.08608403984446353,-0.004252551568316498,5.0,4.0,1.0,0.8,6.65,2.53
Airwell Residential S.A.S.,WELLEA M DF HT 26 30 35 40 kW,BDHX-300R-04T35,5_1_0_0,4.9,4.892076250163813,-0.1617091803303614,0.1617091803303614,-0.00792374983618771,5.0,4.0,1.0,0.8,6.7,2.44
Airwell Residential S.A.S.,WELLEA M DF HT 26 30 35 40 kW,BDHX-350R-04T35,5_1_0_0,4.75,4.760784135574252,0.22703443314215568,0.22703443314215568,0.010784135574252396,5.0,4.0,1.0,0.8,6.62,2.31
Airwell Residential S.A.S.,WELLEA M DF HT 26 30 35 40 kW,BDHX-400R-04T35,5_1_0_0,4.5,4.595525567020266,2.122790378228127,2.122790378228127,0.09552556702026571,5.0,4.0,1.0,0.8,6.37,2.15
Airwell Residential S.A.S.,Wellea A 12 14 16 kW,AW-WHPMA12-H91,5_1_0_0,4.43,4.349136450027052,-1.825362301872415,1.825362301872415,-0.08086354997294798,5.0,4.0,1.0,0.8,5.7,2.31
