manufacturer_name,model_name,variant_name,0_10_0_0__EN14511_4_001,0_10_0_0__EN14511_4_002,0_10_0_0__EN14511_4_003,0_10_0_0__EN14511_4_004,0_10_0_0__EN14511_4_005,4_10_0_0__EN14511_2_001,4_10_0_0__EN14511_2_002,4_10_0_0__EN14511_2_003,4_1_0_0__EN12102_1_001,4_1_0_0__EN12102_1_002,4_1_0_0__EN14825_001,4_1_0_0__EN14825_002,4_1_0_0__EN14825_003,4_1_0_0__EN14825_004,4_1_0_0__EN14825_005,4_1_0_0__EN14825_010,4_1_0_0__EN14825_011,4_1_0_0__EN14825_012,4_1_0_0__EN14825_013,4_1_0_0__EN14825_014,4_1_0_0__EN14825_015,4_1_0_0__EN14825_016,4_1_0_0__EN14825_017,4_1_0_0__EN14825_018,4_1_0_0__EN14825_019,4_1_0_0__EN14825_021,4_1_0_0__EN14825_022,4_1_0_0__EN14825_023,4_1_0_0__EN14825_024,4_1_0_0__EN14825_025,4_1_0_0__EN14825_026,4_1_0_0__EN14825_027,4_1_0_0__EN14825_028,4_1_0_0__EN14825_029,4_1_0_0__EN14825_043,4_2_0_0__EN12102_1_001,4_2_0_0__EN12102_1_002,4_2_0_0__EN14825_001,4_2_0_0__EN14825_002,4_2_0_0__EN14825_003,4_2_0_0__EN14825_004,4_2_0_0__EN14825_005,4_2_0_0__EN14825_008,4_2_0_0__EN14825_009,4_2_0_0__EN14825_010,4_2_0_0__EN14825_011,4_2_0_0__EN14825_012,4_2_0_0__EN14825_013,4_2_0_0__EN14825_014,4_2_0_0__EN14825_015,4_2_0_0__EN14825_016,4_2_0_0__EN14825_017,4_2_0_0__EN14825_018,4_2_0_0__EN14825_019,4_2_0_0__EN14825_021,4_2_0_0__EN14825_022,4_2_0_0__EN14825_023,4_2_0_0__EN14825_024,4_2_0_0__EN14825_025,4_2_0_0__EN14825_026,4_2_0_0__EN14825_027,4_2_0_0__EN14825_028,4_2_0_0__EN14825_029,4_2_0_0__EN14825_043,4_3_0_0__EN12102_1_001,4_3_0_0__EN12102_1_002,4_3_0_0__EN14825_001,4_3_0_0__EN14825_002,4_3_0_0__EN14825_003,4_3_0_0__EN14825_004,4_3_0_0__EN14825_005,4_3_0_0__EN14825_008,4_3_0_0__EN14825_009,4_3_0_0__EN14825_010,4_3_0_0__EN14825_011,4_3_0_0__EN14825_012,4_3_0_0__EN14825_013,4_3_0_0__EN14825_014,4_3_0_0__EN14825_015,4_3_0_0__EN14825_016,4_3_0_0__EN14825_017,4_3_0_0__EN14825_018,4_3_0_0__EN14825_019,4_3_0_0__EN14825_021,4_3_0_0__EN14825_022,4_3_0_0__EN14825_023,4_3_0_0__EN14825_024,4_3_0_0__EN14825_025,4_3_0_0__EN14825_026,4_3_0_0__EN14825_027,4_3_0_0__EN14825_028,4_3_0_0__EN14825_029,4_3_0_0__EN14825_043,5_10_0_0__EN14511_2_001,5_10_0_0__EN14511_2_002,5_10_0_0__EN14511_2_003,5_1_0_0__EN12102_1_001,5_1_0_0__EN12102_1_002,5_1_0_0__EN14825_001,5_1_0_0__EN14825_002,5_1_0_0__EN14825_003,5_1_0_0__EN14825_004,5_1_0_0__EN14825_005,5_1_0_0__EN14825_010,5_1_0_0__EN14825_011,5_1_0_0__EN14825_012,5_1_0_0__EN14825_013,5_1_0_0__EN14825_014,5_1_0_0__EN14825_015,5_1_0_0__EN14825_016,5_1_0_0__EN14825_017,5_1_0_0__EN14825_018,5_1_0_0__EN14825_019,5_1_0_0__EN14825_021,5_1_0_0__EN14825_022,5_1_0_0__EN14825_023,5_1_0_0__EN14825_024,5_1_0_0__EN14825_025,5_1_0_0__EN14825_026,5_1_0_0__EN14825_027,5_1_0_0__EN14825_028,5_1_0_0__EN14825_029,5_1_0_0__EN14825_043,5_2_0_0__EN12102_1_001,5_2_0_0__EN12102_1_002,5_2_0_0__EN14825_001,5_2_0_0__EN14825_002,5_2_0_0__EN14825_003,5_2_0_0__EN14825_004,5_2_0_0__EN14825_005,5_2_0_0__EN14825_008,5_2_0_0__EN14825_009,5_2_0_0__EN14825_010,5_2_0_0__EN14825_011,5_2_0_0__EN14825_012,5_2_0_0__EN14825_013,5_2_0_0__EN14825_014,5_2_0_0__EN14825_015,5_2_0_0__EN14825_016,5_2_0_0__EN14825_017,5_2_0_0__EN14825_018,5_2_0_0__EN14825_019,5_2_0_0__EN14825_021,5_2_0_0__EN14825_022,5_2_0_0__EN14825_023,5_2_0_0__EN14825_024,5_2_0_0__EN14825_025,5_2_0_0__EN14825_026,5_2_0_0__EN14825_027,5_2_0_0__EN14825_028,5_2_0_0__EN14825_029,5_2_0_0__EN14825_043,5_3_0_0__EN12102_1_001,5_3_0_0__EN12102_1_002,5_3_0_0__EN14825_001,5_3_0_0__EN14825_002,5_3_0_0__EN14825_003,5_3_0_0__EN14825_004,5_3_0_0__EN14825_005,5_3_0_0__EN14825_008,5_3_0_0__EN14825_009,5_3_0_0__EN14825_010,5_3_0_0__EN14825_011,5_3_0_0__EN14825_012,5_3_0_0__EN14825_013,5_3_0_0__EN14825_014,5_3_0_0__EN14825_015,5_3_0_0__EN14825_016,5_3_0_0__EN14825_017,5_3_0_0__EN14825_018,5_3_0_0__EN14825_019,5_3_0_0__EN14825_021,5_3_0_0__EN14825_022,5_3_0_0__EN14825_023,5_3_0_0__EN14825_024,5_3_0_0__EN14825_025,5_3_0_0__EN14825_026,5_3_0_0__EN14825_027,5_3_0_0__EN14825_028,5_3_0_0__EN14825_029,5_3_0_0__EN14825_043
Ariston Thermo Group,NIMBUS 70 M-T - ARIANEXT 70 M-T - AEROTOP MONO 07 - ENERGION M 7T,AEROTOP MONO 07M 1Z,2.0,2.0,2.0,2.0,2.0,6.4,1.28,5.0,15.0,61.0,223.0,4.85,5.64,2.0,2.0,4.85,3.96,3.12,4.99,2.73,7.46,4.85,3.96,4.85,3.96,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.0,1148.0,4.85,15.0,61.0,152.0,11.85,3.87,-7.0,-20.0,7.17,3.42,4.48,5.36,2.9,6.56,2.72,7.43,7.17,3.42,5.51,2.22,0.9,60.0,13.0,13.0,13.0,13.0,1.0,4.0,7544.0,11.85,15.0,61.0,178.0,7.89,4.53,-7.0,-10.0,6.98,3.1,4.31,4.59,2.76,5.3,2.6,6.87,6.98,3.1,2.73,2.77,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.32,3598.0,7.89,5.7,2.04,2.8,15.0,61.0,150.0,4.38,3.84,2.0,2.0,4.38,2.24,2.81,3.12,2.63,5.71,4.38,2.24,4.38,2.24,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.0,1524.0,4.38,15.0,61.0,118.0,11.06,3.03,-7.0,-20.0,6.7,2.62,4.13,3.95,2.76,5.13,2.68,6.26,6.7,2.62,4.9,1.51,0.9,60.0,13.0,13.0,13.0,13.0,1.0,4.0,9000.0,11.06,15.0,61.0,128.0,7.45,3.27,-7.0,-10.0,6.59,2.17,4.18,3.3,2.58,3.87,2.54,5.4,6.59,2.17,7.06,1.95,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.39,4706.0,7.45
Ariston Thermo Group,NIMBUS 70 M-T - ARIANEXT 70 M-T - AEROTOP MONO 07 - ENERGION M 7T,AEROTOP MONO 07M-R 1Z,2.0,2.0,2.0,2.0,2.0,6.4,1.28,5.0,15.0,61.0,223.0,4.85,5.64,2.0,2.0,4.85,3.96,3.12,4.99,2.73,7.46,4.85,3.96,4.85,3.96,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.0,1148.0,4.85,15.0,61.0,152.0,11.85,3.87,-7.0,-20.0,7.17,3.42,4.48,5.36,2.9,6.56,2.72,7.43,7.17,3.42,5.51,2.22,0.9,60.0,13.0,13.0,13.0,13.0,1.0,4.0,7544.0,11.85,15.0,61.0,178.0,7.89,4.53,-7.0,-10.0,6.98,3.1,4.31,4.59,2.76,5.3,2.6,6.87,6.98,3.1,2.73,2.77,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.32,3598.0,7.89,5.7,2.04,2.8,15.0,61.0,150.0,4.38,3.84,2.0,2.0,4.38,2.24,2.81,3.12,2.63,5.71,4.38,2.24,4.38,2.24,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.0,1524.0,4.38,15.0,61.0,118.0,11.06,3.03,-7.0,-20.0,6.7,2.62,4.13,3.95,2.76,5.13,2.68,6.26,6.7,2.62,4.9,1.51,0.9,60.0,13.0,13.0,13.0,13.0,1.0,4.0,9000.0,11.06,15.0,61.0,128.0,7.45,3.27,-7.0,-10.0,6.59,2.17,4.18,3.3,2.58,3.87,2.54,5.4,6.59,2.17,7.06,1.95,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.39,4706.0,7.45
Ariston Thermo Group,NIMBUS 70 M-T - ARIANEXT 70 M-T - AEROTOP MONO 07 - ENERGION M 7T,AEROTOP MONO 07M-RL,2.0,2.0,2.0,2.0,2.0,6.4,1.28,5.0,15.0,61.0,223.0,4.85,5.64,2.0,2.0,4.85,3.96,3.12,4.99,2.73,7.46,4.85,3.96,4.85,3.96,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.0,1148.0,4.85,15.0,61.0,152.0,11.85,3.87,-7.0,-20.0,7.17,3.42,4.48,5.36,2.9,6.56,2.72,7.43,7.17,3.42,5.51,2.22,0.9,60.0,13.0,13.0,13.0,13.0,1.0,4.0,7544.0,11.85,15.0,61.0,178.0,7.89,4.53,-7.0,-10.0,6.98,3.1,4.31,4.59,2.76,5.3,2.6,6.87,6.98,3.1,2.73,2.77,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.32,3598.0,7.89,5.7,2.04,2.8,15.0,61.0,150.0,4.38,3.84,2.0,2.0,4.38,2.24,2.81,3.12,2.63,5.71,4.38,2.24,4.38,2.24,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.0,1524.0,4.38,15.0,61.0,118.0,11.06,3.03,-7.0,-20.0,6.7,2.62,4.13,3.95,2.76,5.13,2.68,6.26,6.7,2.62,4.9,1.51,0.9,60.0,13.0,13.0,13.0,13.0,1.0,4.0,9000.0,11.06,15.0,61.0,128.0,7.45,3.27,-7.0,-10.0,6.59,2.17,4.18,3.3,2.58,3.87,2.54,5.4,6.59,2.17,7.06,1.95,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.39,4706.0,7.45
Ariston Thermo Group,NIMBUS 70 M - ARIANEXT 70 M - AEROTOP MONO 07X - ENERGION M 7,AEROTOP MONO 07M-RX 1Z,2.0,2.0,2.0,2.0,2.0,6.4,1.28,5.0,15.0,61.0,223.0,4.85,5.64,2.0,2.0,4.85,3.96,3.12,4.99,2.73,7.46,4.85,3.96,4.85,3.96,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.0,1148.0,4.85,15.0,61.0,152.0,11.85,3.87,-7.0,-20.0,7.17,3.42,4.48,5.36,2.9,6.56,2.72,7.43,7.17,3.42,5.51,2.22,0.9,60.0,13.0,13.0,13.0,13.0,1.0,4.0,7544.0,11.85,15.0,61.0,178.0,7.89,4.53,-7.0,-10.0,6.98,3.1,4.31,4.59,2.76,5.3,2.6,6.87,6.98,3.1,2.73,2.77,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.32,3598.0,7.89,5.7,2.04,2.8,15.0,61.0,150.0,4.38,3.84,2.0,2.0,4.38,2.24,2.81,3.12,2.63,5.71,4.38,2.24,4.38,2.24,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.0,1524.0,4.38,15.0,61.0,118.0,11.06,3.03,-7.0,-20.0,6.7,2.62,4.13,3.95,2.76,5.13,2.68,6.26,6.7,2.62,4.9,1.51,0.9,60.0,13.0,13.0,13.0,13.0,1.0,4.0,9000.0,11.06,15.0,61.0,128.0,7.45,3.27,-7.0,-10.0,6.59,2.17,4.18,3.3,2.58,3.87,2.54,5.4,6.59,2.17,7.06,1.95,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.39,4706.0,7.45
Ariston Thermo Group,NIMBUS 70 M - ARIANEXT 70 M - AEROTOP MONO 07X - ENERGION M 7,AEROTOP MONO 07M-RXL,2.0,2.0,2.0,2.0,2.0,6.4,1.28,5.0,15.0,61.0,223.0,4.85,5.64,2.0,2.0,4.85,3.96,3.12,4.99,2.73,7.46,4.85,3.96,4.85,3.96,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.0,1148.0,4.85,15.0,61.0,152.0,11.85,3.87,-7.0,-20.0,7.17,3.42,4.48,5.36,2.9,6.56,2.72,7.43,7.17,3.42,5.51,2.22,0.9,60.0,13.0,13.0,13.0,13.0,1.0,4.0,7544.0,11.85,15.0,61.0,178.0,7.89,4.53,-7.0,-10.0,6.98,3.1,4.31,4.59,2.76,5.3,2.6,6.87,6.98,3.1,2.73,2.77,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.32,3598.0,7.89,5.7,2.04,2.8,15.0,61.0,150.0,4.38,3.84,2.0,2.0,4.38,2.24,2.81,3.12,2.63,5.71,4.38,2.24,4.38,2.24,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.0,1524.0,4.38,15.0,61.0,118.0,11.06,3.03,-7.0,-20.0,6.7,2.62,4.13,3.95,2.76,5.13,2.68,6.26,6.7,2.62,4.9,1.51,0.9,60.0,13.0,13.0,13.0,13.0,1.0,4.0,9000.0,11.06,15.0,61.0,128.0,7.45,3.27,-7.0,-10.0,6.59,2.17,4.18,3.3,2.58,3.87,2.54,5.4,6.59,2.17,7.06,1.95,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.39,4706.0,7.45
Ariston Thermo Group,NIMBUS 70 M - ARIANEXT 70 M - AEROTOP MONO 07X - ENERGION M 7,AEROTOP MONO 07M-X 1Z,2.0,2.0,2.0,2.0,2.0,6.4,1.28,5.0,15.0,61.0,223.0,4.85,5.64,2.0,2.0,4.85,3.96,3.12,4.99,2.73,7.46,4.85,3.96,4.85,3.96,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.0,1148.0,4.85,15.0,61.0,152.0,11.85,3.87,-7.0,-20.0,7.17,3.42,4.48,5.36,2.9,6.56,2.72,7.43,7.17,3.42,5.51,2.22,0.9,60.0,13.0,13.0,13.0,13.0,1.0,4.0,7544.0,11.85,15.0,61.0,178.0,7.89,4.53,-7.0,-10.0,6.98,3.1,4.31,4.59,2.76,5.3,2.6,6.87,6.98,3.1,2.73,2.77,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.32,3598.0,7.89,5.7,2.04,2.8,15.0,61.0,150.0,4.38,3.84,2.0,2.0,4.38,2.24,2.81,3.12,2.63,5.71,4.38,2.24,4.38,2.24,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.0,1524.0,4.38,15.0,61.0,118.0,11.06,3.03,-7.0,-20.0,6.7,2.62,4.13,3.95,2.76,5.13,2.68,6.26,6.7,2.62,4.9,1.51,0.9,60.0,13.0,13.0,13.0,13.0,1.0,4.0,9000.0,11.06,15.0,61.0,128.0,7.45,3.27,-7.0,-10.0,6.59,2.17,4.18,3.3,2.58,3.87,2.54,5.4,6.59,2.17,7.06,1.95,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.39,4706.0,7.45
Ariston Thermo Group,NIMBUS 70 M - ARIANEXT 70 M - AEROTOP MONO 07X - ENERGION M 7,ARIANEXT LITE 70 M,2.0,2.0,2.0,2.0,2.0,6.4,1.28,5.0,15.0,61.0,223.0,4.85,5.64,2.0,2.0,4.85,3.96,3.12,4.99,2.73,7.46,4.85,3.96,4.85,3.96,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.0,1148.0,4.85,15.0,61.0,152.0,11.85,3.87,-7.0,-20.0,7.17,3.42,4.48,5.36,2.9,6.56,2.72,7.43,7.17,3.42,5.51,2.22,0.9,60.0,13.0,13.0,13.0,13.0,1.0,4.0,7544.0,11.85,15.0,61.0,178.0,7.89,4.53,-7.0,-10.0,6.98,3.1,4.31,4.59,2.76,5.3,2.6,6.87,6.98,3.1,2.73,2.77,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.32,3598.0,7.89,5.7,2.04,2.8,15.0,61.0,150.0,4.38,3.84,2.0,2.0,4.38,2.24,2.81,3.12,2.63,5.71,4.38,2.24,4.38,2.24,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.0,1524.0,4.38,15.0,61.0,118.0,11.06,3.03,-7.0,-20.0,6.7,2.62,4.13,3.95,2.76,5.13,2.68,6.26,6.7,2.62,4.9,1.51,0.9,60.0,13.0,13.0,13.0,13.0,1.0,4.0,9000.0,11.06,15.0,61.0,128.0,7.45,3.27,-7.0,-10.0,6.59,2.17,4.18,3.3,2.58,3.87,2.54,5.4,6.59,2.17,7.06,1.95,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.39,4706.0,7.45
Ariston Thermo Group,NIMBUS 70 M - ARIANEXT 70 M - AEROTOP MONO 07X - ENERGION M 7,ARIANEXT LITE 70 M LINK,2.0,2.0,2.0,2.0,2.0,6.4,1.28,5.0,15.0,61.0,223.0,4.85,5.64,2.0,2.0,4.85,3.96,3.12,4.99,2.73,7.46,4.85,3.96,4.85,3.96,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.0,1148.0,4.85,15.0,61.0,152.0,11.85,3.87,-7.0,-20.0,7.17,3.42,4.48,5.36,2.9,6.56,2.72,7.43,7.17,3.42,5.51,2.22,0.9,60.0,13.0,13.0,13.0,13.0,1.0,4.0,7544.0,11.85,15.0,61.0,178.0,7.89,4.53,-7.0,-10.0,6.98,3.1,4.31,4.59,2.76,5.3,2.6,6.87,6.98,3.1,2.73,2.77,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.32,3598.0,7.89,5.7,2.04,2.8,15.0,61.0,150.0,4.38,3.84,2.0,2.0,4.38,2.24,2.81,3.12,2.63,5.71,4.38,2.24,4.38,2.24,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.0,1524.0,4.38,15.0,61.0,118.0,11.06,3.03,-7.0,-20.0,6.7,2.62,4.13,3.95,2.76,5.13,2.68,6.26,6.7,2.62,4.9,1.51,0.9,60.0,13.0,13.0,13.0,13.0,1.0,4.0,9000.0,11.06,15.0,61.0,128.0,7.45,3.27,-7.0,-10.0,6.59,2.17,4.18,3.3,2.58,3.87,2.54,5.4,6.59,2.17,7.06,1.95,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.39,4706.0,7.45
Ariston Thermo Group,NIMBUS 70 M-T - ARIANEXT 70 M-T - AEROTOP MONO 07 - ENERGION M 7T,ARIANEXT LITE 70 M-T,2.0,2.0,2.0,2.0,2.0,6.4,1.28,5.0,15.0,61.0,223.0,4.85,5.64,2.0,2.0,4.85,3.96,3.12,4.99,2.73,7.46,4.85,3.96,4.85,3.96,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.0,1148.0,4.85,15.0,61.0,152.0,11.85,3.87,-7.0,-20.0,7.17,3.42,4.48,5.36,2.9,6.56,2.72,7.43,7.17,3.42,5.51,2.22,0.9,60.0,13.0,13.0,13.0,13.0,1.0,4.0,7544.0,11.85,15.0,61.0,178.0,7.89,4.53,-7.0,-10.0,6.98,3.1,4.31,4.59,2.76,5.3,2.6,6.87,6.98,3.1,2.73,2.77,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.32,3598.0,7.89,5.7,2.04,2.8,15.0,61.0,150.0,4.38,3.84,2.0,2.0,4.38,2.24,2.81,3.12,2.63,5.71,4.38,2.24,4.38,2.24,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.0,1524.0,4.38,15.0,61.0,118.0,11.06,3.03,-7.0,-20.0,6.7,2.62,4.13,3.95,2.76,5.13,2.68,6.26,6.7,2.62,4.9,1.51,0.9,60.0,13.0,13.0,13.0,13.0,1.0,4.0,9000.0,11.06,15.0,61.0,128.0,7.45,3.27,-7.0,-10.0,6.59,2.17,4.18,3.3,2.58,3.87,2.54,5.4,6.59,2.17,7.06,1.95,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.39,4706.0,7.45
Ariston Thermo Group,NIMBUS 70 M-T - ARIANEXT 70 M-T - AEROTOP MONO 07 - ENERGION M 7T,ARIANEXT LITE 70 M-T LINK,2.0,2.0,2.0,2.0,2.0,6.4,1.28,5.0,15.0,61.0,223.0,4.85,5.64,2.0,2.0,4.85,3.96,3.12,4.99,2.73,7.46,4.85,3.96,4.85,3.96,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.0,1148.0,4.85,15.0,61.0,152.0,11.85,3.87,-7.0,-20.0,7.17,3.42,4.48,5.36,2.9,6.56,2.72,7.43,7.17,3.42,5.51,2.22,0.9,60.0,13.0,13.0,13.0,13.0,1.0,4.0,7544.0,11.85,15.0,61.0,178.0,7.89,4.53,-7.0,-10.0,6.98,3.1,4.31,4.59,2.76,5.3,2.6,6.87,6.98,3.1,2.73,2.77,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.32,3598.0,7.89,5.7,2.04,2.8,15.0,61.0,150.0,4.38,3.84,2.0,2.0,4.38,2.24,2.81,3.12,2.63,5.71,4.38,2.24,4.38,2.24,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.0,1524.0,4.38,15.0,61.0,118.0,11.06,3.03,-7.0,-20.0,6.7,2.62,4.13,3.95,2.76,5.13,2.68,6.26,6.7,2.62,4.9,1.51,0.9,60.0,13.0,13.0,13.0,13.0,1.0,4.0,9000.0,11.06,15.0,61.0,128.0,7.45,3.27,-7.0,-10.0,6.59,2.17,4.18,3.3,2.58,3.87,2.54,5.4,6.59,2.17,7.06,1.95,0.9,60.0,13.0,13.0,13.0,13.0,1.0,0.39,4706.0,7.45
