manufacturer_name,model_name,variant_name,0_10_0_0__EN14511_4_003,0_10_0_0__EN14511_4_004,0_10_0_0__EN14511_4_005,0_10_0_0__EN14511_4_006,0_1_0_0__EN16147_002,0_1_0_0__EN16147_003,0_1_0_0__EN16147_004,0_1_0_0__EN16147_005,0_1_0_0__EN16147_006,0_1_0_0__EN16147_007,0_2_0_0__EN16147_002,0_2_0_0__EN16147_003,0_2_0_0__EN16147_004,0_2_0_0__EN16147_005,0_2_0_0__EN16147_006,0_2_0_0__EN16147_007,0_3_0_0__EN16147_002,0_3_0_0__EN16147_003,0_3_0_0__EN16147_004,0_3_0_0__EN16147_005,0_3_0_0__EN16147_006,0_3_0_0__EN16147_007,4_10_0_0__EN14511_2_001,4_10_0_0__EN14511_2_002,4_10_0_0__EN14511_2_003,4_1_0_0__EN12102_1_001,4_1_0_0__EN14825_001,4_1_0_0__EN14825_002,4_1_0_0__EN14825_003,4_1_0_0__EN14825_004,4_1_0_0__EN14825_005,4_1_0_0__EN14825_010,4_1_0_0__EN14825_011,4_1_0_0__EN14825_012,4_1_0_0__EN14825_013,4_1_0_0__EN14825_014,4_1_0_0__EN14825_015,4_1_0_0__EN14825_016,4_1_0_0__EN14825_017,4_1_0_0__EN14825_018,4_1_0_0__EN14825_019,4_1_0_0__EN14825_022,4_1_0_0__EN14825_023,4_1_0_0__EN14825_024,4_1_0_0__EN14825_025,4_1_0_0__EN14825_026,4_1_0_0__EN14825_027,4_1_0_0__EN14825_028,4_1_0_0__EN14825_029,4_1_0_0__EN14825_043,4_1_0_0__EN14825_048,4_1_0_0__EN14825_049,4_1_0_0__EN14825_050,4_2_0_0__EN12102_1_001,4_2_0_0__EN14825_001,4_2_0_0__EN14825_002,4_2_0_0__EN14825_003,4_2_0_0__EN14825_004,4_2_0_0__EN14825_005,4_2_0_0__EN14825_008,4_2_0_0__EN14825_009,4_2_0_0__EN14825_010,4_2_0_0__EN14825_011,4_2_0_0__EN14825_012,4_2_0_0__EN14825_013,4_2_0_0__EN14825_014,4_2_0_0__EN14825_015,4_2_0_0__EN14825_016,4_2_0_0__EN14825_017,4_2_0_0__EN14825_018,4_2_0_0__EN14825_019,4_2_0_0__EN14825_022,4_2_0_0__EN14825_023,4_2_0_0__EN14825_024,4_2_0_0__EN14825_025,4_2_0_0__EN14825_026,4_2_0_0__EN14825_027,4_2_0_0__EN14825_028,4_2_0_0__EN14825_029,4_2_0_0__EN14825_043,4_2_0_0__EN14825_047,4_2_0_0__EN14825_048,4_2_0_0__EN14825_049,4_2_0_0__EN14825_050,4_3_0_0__EN12102_1_001,4_3_0_0__EN14825_001,4_3_0_0__EN14825_002,4_3_0_0__EN14825_003,4_3_0_0__EN14825_004,4_3_0_0__EN14825_005,4_3_0_0__EN14825_008,4_3_0_0__EN14825_009,4_3_0_0__EN14825_010,4_3_0_0__EN14825_011,4_3_0_0__EN14825_012,4_3_0_0__EN14825_013,4_3_0_0__EN14825_014,4_3_0_0__EN14825_015,4_3_0_0__EN14825_016,4_3_0_0__EN14825_017,4_3_0_0__EN14825_018,4_3_0_0__EN14825_019,4_3_0_0__EN14825_022,4_3_0_0__EN14825_023,4_3_0_0__EN14825_024,4_3_0_0__EN14825_025,4_3_0_0__EN14825_026,4_3_0_0__EN14825_027,4_3_0_0__EN14825_028,4_3_0_0__EN14825_029,4_3_0_0__EN14825_043,4_3_0_0__EN14825_047,4_3_0_0__EN14825_048,4_3_0_0__EN14825_049,4_3_0_0__EN14825_050,5_10_0_0__EN14511_2_001,5_10_0_0__EN14511_2_002,5_10_0_0__EN14511_2_003,5_1_0_0__EN12102_1_001,5_1_0_0__EN14825_001,5_1_0_0__EN14825_002,5_1_0_0__EN14825_003,5_1_0_0__EN14825_004,5_1_0_0__EN14825_005,5_1_0_0__EN14825_010,5_1_0_0__EN14825_011,5_1_0_0__EN14825_012,5_1_0_0__EN14825_013,5_1_0_0__EN14825_014,5_1_0_0__EN14825_015,5_1_0_0__EN14825_016,5_1_0_0__EN14825_017,5_1_0_0__EN14825_018,5_1_0_0__EN14825_019,5_1_0_0__EN14825_022,5_1_0_0__EN14825_023,5_1_0_0__EN14825_024,5_1_0_0__EN14825_025,5_1_0_0__EN14825_026,5_1_0_0__EN14825_027,5_1_0_0__EN14825_028,5_1_0_0__EN14825_029,5_1_0_0__EN14825_043,5_1_0_0__EN14825_048,5_1_0_0__EN14825_049,5_1_0_0__EN14825_050,5_2_0_0__EN12102_1_001,5_2_0_0__EN14825_001,5_2_0_0__EN14825_002,5_2_0_0__EN14825_003,5_2_0_0__EN14825_004,5_2_0_0__EN14825_005,5_2_0_0__EN14825_008,5_2_0_0__EN14825_009,5_2_0_0__EN14825_010,5_2_0_0__EN14825_011,5_2_0_0__EN14825_012,5_2_0_0__EN14825_013,5_2_0_0__EN14825_014,5_2_0_0__EN14825_015,5_2_0_0__EN14825_016,5_2_0_0__EN14825_017,5_2_0_0__EN14825_018,5_2_0_0__EN14825_019,5_2_0_0__EN14825_022,5_2_0_0__EN14825_023,5_2_0_0__EN14825_024,5_2_0_0__EN14825_025,5_2_0_0__EN14825_026,5_2_0_0__EN14825_027,5_2_0_0__EN14825_028,5_2_0_0__EN14825_029,5_2_0_0__EN14825_043,5_2_0_0__EN14825_047,5_2_0_0__EN14825_048,5_2_0_0__EN14825_049,5_2_0_0__EN14825_050,5_3_0_0__EN12102_1_001,5_3_0_0__EN14825_001,5_3_0_0__EN14825_002,5_3_0_0__EN14825_003,5_3_0_0__EN14825_004,5_3_0_0__EN14825_005,5_3_0_0__EN14825_008,5_3_0_0__EN14825_009,5_3_0_0__EN14825_010,5_3_0_0__EN14825_011,5_3_0_0__EN14825_012,5_3_0_0__EN14825_013,5_3_0_0__EN14825_014,5_3_0_0__EN14825_015,5_3_0_0__EN14825_016,5_3_0_0__EN14825_017,5_3_0_0__EN14825_018,5_3_0_0__EN14825_019,5_3_0_0__EN14825_022,5_3_0_0__EN14825_023,5_3_0_0__EN14825_024,5_3_0_0__EN14825_025,5_3_0_0__EN14825_026,5_3_0_0__EN14825_027,5_3_0_0__EN14825_028,5_3_0_0__EN14825_029,5_3_0_0__EN14825_043,5_3_0_0__EN14825_047,5_3_0_0__EN14825_048,5_3_0_0__EN14825_049,5_3_0_0__EN14825_050
Ecoforest Geotermia S.L.,ecoGEO+ B/C1 2-10 PRO,ecoGEO+ C1 230 2-10 PRO,2.0,2.0,2.0,2.0,81.0,2.0,1.0,80.0,52.9,200.0,81.0,2.0,1.0,80.0,52.9,200.0,81.0,2.0,1.0,80.0,52.9,200.0,4.35,0.99,4.38,42.0,180.0,10.0,4.96,2.0,2.0,10.06,3.65,6.22,4.73,3.1,5.38,10.06,3.65,10.06,3.65,60.0,15.0,15.0,15.0,0.0,1.0,0.0,2850.0,10.0,0.9,0.9,0.9,42.0,189.0,10.0,4.98,-22.0,-22.0,5.81,4.89,3.41,5.33,3.84,5.37,2.8,5.43,10.06,3.65,10.06,3.65,60.0,15.0,15.0,15.0,0.0,1.0,0.0,5014.0,10.0,0.9,0.9,0.9,0.9,42.0,183.0,10.0,4.78,-10.0,-10.0,8.45,4.15,5.08,4.97,3.41,5.33,2.8,5.43,10.06,3.65,10.06,3.65,60.0,15.0,15.0,15.0,0.0,1.0,0.0,4326.0,10.0,0.9,0.9,0.9,0.9,4.27,1.54,2.78,42.0,141.0,9.0,3.8,2.0,2.0,8.97,2.69,5.72,3.35,2.8,4.46,8.97,2.69,8.97,2.69,60.0,15.0,15.0,15.0,0.0,1.0,0.0,3238.0,9.0,0.9,0.9,0.9,42.0,146.0,9.0,3.86,-22.0,-22.0,5.23,3.52,3.63,4.21,2.71,4.67,2.75,5.1,8.97,2.69,8.97,2.69,60.0,15.0,15.0,15.0,0.0,1.0,0.0,5778.0,9.0,0.9,0.9,0.9,0.9,42.0,140.0,9.0,3.75,-10.0,-10.0,7.51,2.9,4.74,3.71,3.32,4.3,2.73,4.9,8.97,2.69,8.97,2.69,60.0,15.0,15.0,15.0,0.0,1.0,0.0,5022.0,10.0,0.9,0.9,0.9,0.9
Ecoforest Geotermia S.L.,ecoGEO+ B/C1 2-10 PRO,ecoGEO+ C1 230 2-10 PRO EH,2.0,2.0,2.0,2.0,81.0,2.0,1.0,80.0,52.9,200.0,81.0,2.0,1.0,80.0,52.9,200.0,81.0,2.0,1.0,80.0,52.9,200.0,4.35,0.99,4.38,42.0,180.0,10.0,4.96,2.0,2.0,10.06,3.65,6.22,4.73,3.1,5.38,10.06,3.65,10.06,3.65,60.0,15.0,15.0,15.0,0.0,1.0,0.0,2850.0,10.0,0.9,0.9,0.9,42.0,189.0,10.0,4.98,-22.0,-22.0,5.81,4.89,3.41,5.33,3.84,5.37,2.8,5.43,10.06,3.65,10.06,3.65,60.0,15.0,15.0,15.0,0.0,1.0,0.0,5014.0,10.0,0.9,0.9,0.9,0.9,42.0,183.0,10.0,4.78,-10.0,-10.0,8.45,4.15,5.08,4.97,3.41,5.33,2.8,5.43,10.06,3.65,10.06,3.65,60.0,15.0,15.0,15.0,0.0,1.0,0.0,4326.0,10.0,0.9,0.9,0.9,0.9,4.27,1.54,2.78,42.0,141.0,9.0,3.8,2.0,2.0,8.97,2.69,5.72,3.35,2.8,4.46,8.97,2.69,8.97,2.69,60.0,15.0,15.0,15.0,0.0,1.0,0.0,3238.0,9.0,0.9,0.9,0.9,42.0,146.0,9.0,3.86,-22.0,-22.0,5.23,3.52,3.63,4.21,2.71,4.67,2.75,5.1,8.97,2.69,8.97,2.69,60.0,15.0,15.0,15.0,0.0,1.0,0.0,5778.0,9.0,0.9,0.9,0.9,0.9,42.0,140.0,9.0,3.75,-10.0,-10.0,7.51,2.9,4.74,3.71,3.32,4.3,2.73,4.9,8.97,2.69,8.97,2.69,60.0,15.0,15.0,15.0,0.0,1.0,0.0,5022.0,10.0,0.9,0.9,0.9,0.9
Ecoforest Geotermia S.L.,ecoGEO+ B/C1 2-10 PRO,ecoGEO+ C1 230 2-10 PRO HTR,2.0,2.0,2.0,2.0,81.0,2.0,1.0,80.0,52.9,200.0,81.0,2.0,1.0,80.0,52.9,200.0,81.0,2.0,1.0,80.0,52.9,200.0,4.35,0.99,4.38,42.0,180.0,10.0,4.96,2.0,2.0,10.06,3.65,6.22,4.73,3.1,5.38,10.06,3.65,10.06,3.65,60.0,15.0,15.0,15.0,0.0,1.0,0.0,2850.0,10.0,0.9,0.9,0.9,42.0,189.0,10.0,4.98,-22.0,-22.0,5.81,4.89,3.41,5.33,3.84,5.37,2.8,5.43,10.06,3.65,10.06,3.65,60.0,15.0,15.0,15.0,0.0,1.0,0.0,5014.0,10.0,0.9,0.9,0.9,0.9,42.0,183.0,10.0,4.78,-10.0,-10.0,8.45,4.15,5.08,4.97,3.41,5.33,2.8,5.43,10.06,3.65,10.06,3.65,60.0,15.0,15.0,15.0,0.0,1.0,0.0,4326.0,10.0,0.9,0.9,0.9,0.9,4.27,1.54,2.78,42.0,141.0,9.0,3.8,2.0,2.0,8.97,2.69,5.72,3.35,2.8,4.46,8.97,2.69,8.97,2.69,60.0,15.0,15.0,15.0,0.0,1.0,0.0,3238.0,9.0,0.9,0.9,0.9,42.0,146.0,9.0,3.86,-22.0,-22.0,5.23,3.52,3.63,4.21,2.71,4.67,2.75,5.1,8.97,2.69,8.97,2.69,60.0,15.0,15.0,15.0,0.0,1.0,0.0,5778.0,9.0,0.9,0.9,0.9,0.9,42.0,140.0,9.0,3.75,-10.0,-10.0,7.51,2.9,4.74,3.71,3.32,4.3,2.73,4.9,8.97,2.69,8.97,2.69,60.0,15.0,15.0,15.0,0.0,1.0,0.0,5022.0,10.0,0.9,0.9,0.9,0.9
Ecoforest Geotermia S.L.,ecoGEO+ B/C1 2-10 PRO,ecoGEO+ C1 230 2-10 PRO HTR EH,2.0,2.0,2.0,2.0,81.0,2.0,1.0,80.0,52.9,200.0,81.0,2.0,1.0,80.0,52.9,200.0,81.0,2.0,1.0,80.0,52.9,200.0,4.35,0.99,4.38,42.0,180.0,10.0,4.96,2.0,2.0,10.06,3.65,6.22,4.73,3.1,5.38,10.06,3.65,10.06,3.65,60.0,15.0,15.0,15.0,0.0,1.0,0.0,2850.0,10.0,0.9,0.9,0.9,42.0,189.0,10.0,4.98,-22.0,-22.0,5.81,4.89,3.41,5.33,3.84,5.37,2.8,5.43,10.06,3.65,10.06,3.65,60.0,15.0,15.0,15.0,0.0,1.0,0.0,5014.0,10.0,0.9,0.9,0.9,0.9,42.0,183.0,10.0,4.78,-10.0,-10.0,8.45,4.15,5.08,4.97,3.41,5.33,2.8,5.43,10.06,3.65,10.06,3.65,60.0,15.0,15.0,15.0,0.0,1.0,0.0,4326.0,10.0,0.9,0.9,0.9,0.9,4.27,1.54,2.78,42.0,141.0,9.0,3.8,2.0,2.0,8.97,2.69,5.72,3.35,2.8,4.46,8.97,2.69,8.97,2.69,60.0,15.0,15.0,15.0,0.0,1.0,0.0,3238.0,9.0,0.9,0.9,0.9,42.0,146.0,9.0,3.86,-22.0,-22.0,5.23,3.52,3.63,4.21,2.71,4.67,2.75,5.1,8.97,2.69,8.97,2.69,60.0,15.0,15.0,15.0,0.0,1.0,0.0,5778.0,9.0,0.9,0.9,0.9,0.9,42.0,140.0,9.0,3.75,-10.0,-10.0,7.51,2.9,4.74,3.71,3.32,4.3,2.73,4.9,8.97,2.69,8.97,2.69,60.0,15.0,15.0,15.0,0.0,1.0,0.0,5022.0,10.0,0.9,0.9,0.9,0.9
Ecoforest Geotermia S.L.,ecoGEO+ B/C1 2-10 PRO,ecoGEO+ C1 400 2-10 PRO,2.0,2.0,2.0,2.0,81.0,2.0,1.0,80.0,52.9,200.0,81.0,2.0,1.0,80.0,52.9,200.0,81.0,2.0,1.0,80.0,52.9,200.0,4.35,0.99,4.38,42.0,180.0,10.0,4.96,2.0,2.0,10.06,3.65,6.22,4.73,3.1,5.38,10.06,3.65,10.06,3.65,60.0,15.0,15.0,15.0,0.0,1.0,0.0,2850.0,10.0,0.9,0.9,0.9,42.0,189.0,10.0,4.98,-22.0,-22.0,5.81,4.89,3.41,5.33,3.84,5.37,2.8,5.43,10.06,3.65,10.06,3.65,60.0,15.0,15.0,15.0,0.0,1.0,0.0,5014.0,10.0,0.9,0.9,0.9,0.9,42.0,183.0,10.0,4.78,-10.0,-10.0,8.45,4.15,5.08,4.97,3.41,5.33,2.8,5.43,10.06,3.65,10.06,3.65,60.0,15.0,15.0,15.0,0.0,1.0,0.0,4326.0,10.0,0.9,0.9,0.9,0.9,4.27,1.54,2.78,42.0,141.0,9.0,3.8,2.0,2.0,8.97,2.69,5.72,3.35,2.8,4.46,8.97,2.69,8.97,2.69,60.0,15.0,15.0,15.0,0.0,1.0,0.0,3238.0,9.0,0.9,0.9,0.9,42.0,146.0,9.0,3.86,-22.0,-22.0,5.23,3.52,3.63,4.21,2.71,4.67,2.75,5.1,8.97,2.69,8.97,2.69,60.0,15.0,15.0,15.0,0.0,1.0,0.0,5778.0,9.0,0.9,0.9,0.9,0.9,42.0,140.0,9.0,3.75,-10.0,-10.0,7.51,2.9,4.74,3.71,3.32,4.3,2.73,4.9,8.97,2.69,8.97,2.69,60.0,15.0,15.0,15.0,0.0,1.0,0.0,5022.0,10.0,0.9,0.9,0.9,0.9
Ecoforest Geotermia S.L.,ecoGEO+ B/C1 2-10 PRO,ecoGEO+ C1 400 2-10 PRO EH,2.0,2.0,2.0,2.0,81.0,2.0,1.0,80.0,52.9,200.0,81.0,2.0,1.0,80.0,52.9,200.0,81.0,2.0,1.0,80.0,52.9,200.0,4.35,0.99,4.38,42.0,180.0,10.0,4.96,2.0,2.0,10.06,3.65,6.22,4.73,3.1,5.38,10.06,3.65,10.06,3.65,60.0,15.0,15.0,15.0,0.0,1.0,0.0,2850.0,10.0,0.9,0.9,0.9,42.0,189.0,10.0,4.98,-22.0,-22.0,5.81,4.89,3.41,5.33,3.84,5.37,2.8,5.43,10.06,3.65,10.06,3.65,60.0,15.0,15.0,15.0,0.0,1.0,0.0,5014.0,10.0,0.9,0.9,0.9,0.9,42.0,183.0,10.0,4.78,-10.0,-10.0,8.45,4.15,5.08,4.97,3.41,5.33,2.8,5.43,10.06,3.65,10.06,3.65,60.0,15.0,15.0,15.0,0.0,1.0,0.0,4326.0,10.0,0.9,0.9,0.9,0.9,4.27,1.54,2.78,42.0,141.0,9.0,3.8,2.0,2.0,8.97,2.69,5.72,3.35,2.8,4.46,8.97,2.69,8.97,2.69,60.0,15.0,15.0,15.0,0.0,1.0,0.0,3238.0,9.0,0.9,0.9,0.9,42.0,146.0,9.0,3.86,-22.0,-22.0,5.23,3.52,3.63,4.21,2.71,4.67,2.75,5.1,8.97,2.69,8.97,2.69,60.0,15.0,15.0,15.0,0.0,1.0,0.0,5778.0,9.0,0.9,0.9,0.9,0.9,42.0,140.0,9.0,3.75,-10.0,-10.0,7.51,2.9,4.74,3.71,3.32,4.3,2.73,4.9,8.97,2.69,8.97,2.69,60.0,15.0,15.0,15.0,0.0,1.0,0.0,5022.0,10.0,0.9,0.9,0.9,0.9
Ecoforest Geotermia S.L.,ecoGEO+ B/C1 2-10 PRO,ecoGEO+ C1 400 2-10 PRO HTR,2.0,2.0,2.0,2.0,81.0,2.0,1.0,80.0,52.9,200.0,81.0,2.0,1.0,80.0,52.9,200.0,81.0,2.0,1.0,80.0,52.9,200.0,4.35,0.99,4.38,42.0,180.0,10.0,4.96,2.0,2.0,10.06,3.65,6.22,4.73,3.1,5.38,10.06,3.65,10.06,3.65,60.0,15.0,15.0,15.0,0.0,1.0,0.0,2850.0,10.0,0.9,0.9,0.9,42.0,189.0,10.0,4.98,-22.0,-22.0,5.81,4.89,3.41,5.33,3.84,5.37,2.8,5.43,10.06,3.65,10.06,3.65,60.0,15.0,15.0,15.0,0.0,1.0,0.0,5014.0,10.0,0.9,0.9,0.9,0.9,42.0,183.0,10.0,4.78,-10.0,-10.0,8.45,4.15,5.08,4.97,3.41,5.33,2.8,5.43,10.06,3.65,10.06,3.65,60.0,15.0,15.0,15.0,0.0,1.0,0.0,4326.0,10.0,0.9,0.9,0.9,0.9,4.27,1.54,2.78,42.0,141.0,9.0,3.8,2.0,2.0,8.97,2.69,5.72,3.35,2.8,4.46,8.97,2.69,8.97,2.69,60.0,15.0,15.0,15.0,0.0,1.0,0.0,3238.0,9.0,0.9,0.9,0.9,42.0,146.0,9.0,3.86,-22.0,-22.0,5.23,3.52,3.63,4.21,2.71,4.67,2.75,5.1,8.97,2.69,8.97,2.69,60.0,15.0,15.0,15.0,0.0,1.0,0.0,5778.0,9.0,0.9,0.9,0.9,0.9,42.0,140.0,9.0,3.75,-10.0,-10.0,7.51,2.9,4.74,3.71,3.32,4.3,2.73,4.9,8.97,2.69,8.97,2.69,60.0,15.0,15.0,15.0,0.0,1.0,0.0,5022.0,10.0,0.9,0.9,0.9,0.9
Ecoforest Geotermia S.L.,ecoGEO+ B/C1 2-10 PRO,ecoGEO+ C1 400 2-10 PRO HTR EH,2.0,2.0,2.0,2.0,81.0,2.0,1.0,80.0,52.9,200.0,81.0,2.0,1.0,80.0,52.9,200.0,81.0,2.0,1.0,80.0,52.9,200.0,4.35,0.99,4.38,42.0,180.0,10.0,4.96,2.0,2.0,10.06,3.65,6.22,4.73,3.1,5.38,10.06,3.65,10.06,3.65,60.0,15.0,15.0,15.0,0.0,1.0,0.0,2850.0,10.0,0.9,0.9,0.9,42.0,189.0,10.0,4.98,-22.0,-22.0,5.81,4.89,3.41,5.33,3.84,5.37,2.8,5.43,10.06,3.65,10.06,3.65,60.0,15.0,15.0,15.0,0.0,1.0,0.0,5014.0,10.0,0.9,0.9,0.9,0.9,42.0,183.0,10.0,4.78,-10.0,-10.0,8.45,4.15,5.08,4.97,3.41,5.33,2.8,5.43,10.06,3.65,10.06,3.65,60.0,15.0,15.0,15.0,0.0,1.0,0.0,4326.0,10.0,0.9,0.9,0.9,0.9,4.27,1.54,2.78,42.0,141.0,9.0,3.8,2.0,2.0,8.97,2.69,5.72,3.35,2.8,4.46,8.97,2.69,8.97,2.69,60.0,15.0,15.0,15.0,0.0,1.0,0.0,3238.0,9.0,0.9,0.9,0.9,42.0,146.0,9.0,3.86,-22.0,-22.0,5.23,3.52,3.63,4.21,2.71,4.67,2.75,5.1,8.97,2.69,8.97,2.69,60.0,15.0,15.0,15.0,0.0,1.0,0.0,5778.0,9.0,0.9,0.9,0.9,0.9,42.0,140.0,9.0,3.75,-10.0,-10.0,7.51,2.9,4.74,3.71,3.32,4.3,2.73,4.9,8.97,2.69,8.97,2.69,60.0,15.0,15.0,15.0,0.0,1.0,0.0,5022.0,10.0,0.9,0.9,0.9,0.9
Ecoforest Geotermia S.L.,ecoGEO+ B/C1 2-10 PRO,ecoGEO+ C2 230 2-10 PRO,2.0,2.0,2.0,2.0,81.0,2.0,1.0,80.0,52.9,200.0,81.0,2.0,1.0,80.0,52.9,200.0,81.0,2.0,1.0,80.0,52.9,200.0,4.35,0.99,4.38,42.0,180.0,10.0,4.96,2.0,2.0,10.06,3.65,6.22,4.73,3.1,5.38,10.06,3.65,10.06,3.65,60.0,15.0,15.0,15.0,0.0,1.0,0.0,2850.0,10.0,0.9,0.9,0.9,42.0,189.0,10.0,4.98,-22.0,-22.0,5.81,4.89,3.41,5.33,3.84,5.37,2.8,5.43,10.06,3.65,10.06,3.65,60.0,15.0,15.0,15.0,0.0,1.0,0.0,5014.0,10.0,0.9,0.9,0.9,0.9,42.0,183.0,10.0,4.78,-10.0,-10.0,8.45,4.15,5.08,4.97,3.41,5.33,2.8,5.43,10.06,3.65,10.06,3.65,60.0,15.0,15.0,15.0,0.0,1.0,0.0,4326.0,10.0,0.9,0.9,0.9,0.9,4.27,1.54,2.78,42.0,141.0,9.0,3.8,2.0,2.0,8.97,2.69,5.72,3.35,2.8,4.46,8.97,2.69,8.97,2.69,60.0,15.0,15.0,15.0,0.0,1.0,0.0,3238.0,9.0,0.9,0.9,0.9,42.0,146.0,9.0,3.86,-22.0,-22.0,5.23,3.52,3.63,4.21,2.71,4.67,2.75,5.1,8.97,2.69,8.97,2.69,60.0,15.0,15.0,15.0,0.0,1.0,0.0,5778.0,9.0,0.9,0.9,0.9,0.9,42.0,140.0,9.0,3.75,-10.0,-10.0,7.51,2.9,4.74,3.71,3.32,4.3,2.73,4.9,8.97,2.69,8.97,2.69,60.0,15.0,15.0,15.0,0.0,1.0,0.0,5022.0,10.0,0.9,0.9,0.9,0.9
Ecoforest Geotermia S.L.,ecoGEO+ B/C1 2-10 PRO,ecoGEO+ C2 230 2-10 PRO EH,2.0,2.0,2.0,2.0,81.0,2.0,1.0,80.0,52.9,200.0,81.0,2.0,1.0,80.0,52.9,200.0,81.0,2.0,1.0,80.0,52.9,200.0,4.35,0.99,4.38,42.0,180.0,10.0,4.96,2.0,2.0,10.06,3.65,6.22,4.73,3.1,5.38,10.06,3.65,10.06,3.65,60.0,15.0,15.0,15.0,0.0,1.0,0.0,2850.0,10.0,0.9,0.9,0.9,42.0,189.0,10.0,4.98,-22.0,-22.0,5.81,4.89,3.41,5.33,3.84,5.37,2.8,5.43,10.06,3.65,10.06,3.65,60.0,15.0,15.0,15.0,0.0,1.0,0.0,5014.0,10.0,0.9,0.9,0.9,0.9,42.0,183.0,10.0,4.78,-10.0,-10.0,8.45,4.15,5.08,4.97,3.41,5.33,2.8,5.43,10.06,3.65,10.06,3.65,60.0,15.0,15.0,15.0,0.0,1.0,0.0,4326.0,10.0,0.9,0.9,0.9,0.9,4.27,1.54,2.78,42.0,141.0,9.0,3.8,2.0,2.0,8.97,2.69,5.72,3.35,2.8,4.46,8.97,2.69,8.97,2.69,60.0,15.0,15.0,15.0,0.0,1.0,0.0,3238.0,9.0,0.9,0.9,0.9,42.0,146.0,9.0,3.86,-22.0,-22.0,5.23,3.52,3.63,4.21,2.71,4.67,2.75,5.1,8.97,2.69,8.97,2.69,60.0,15.0,15.0,15.0,0.0,1.0,0.0,5778.0,9.0,0.9,0.9,0.9,0.9,42.0,140.0,9.0,3.75,-10.0,-10.0,7.51,2.9,4.74,3.71,3.32,4.3,2.73,4.9,8.97,2.69,8.97,2.69,60.0,15.0,15.0,15.0,0.0,1.0,0.0,5022.0,10.0,0.9,0.9,0.9,0.9
