manufacturer_name,model_name,variant_name,dimension,reported_scop,tbiv_c,tol_c,pdh_m7,cop_m7,pdh_p2,cop_p2,pdh_p7,cop_p7,pdh_p12,cop_p12,pdh_tbiv,cop_tbiv,pdh_tol,cop_tol
AERMEC S.p.A.,BHP 040 060 W,BHP 040 + BHP 060 W,5_10_0_0,,,,,,,,,,,,,,,
AERMEC S.p.A.,BHP 040 060 W,BHP 060 + BHP 060 W,5_3_0_0,3.27,-7.0,-10.0,4.02,2.03,2.64,3.27,2.4,4.2,2.78,6.0,4.02,2.03,3.8,1.38
AERMEC S.p.A.,BHP 040 060 W,BHP 060 + BHP 060 W,0_10_0_0,,,,,,,,,,,,,,,
AERMEC S.p.A.,BHP 040 060 W,BHP 060 + BHP 060 W,0_3_0_0,,,,,,,,,,,,,,,
AERMEC S.p.A.,BHP 080 100 W,BHP 080 + BHP 100 W,5_3_0_0,3.31,-7.0,-10.0,6.34,2.24,4.08,3.18,4.26,4.26,5.01,5.93,6.34,2.24,6.29,1.79
AERMEC S.p.A.,BHP 080 100 W,BHP 080 + BHP 100 W,0_10_0_0,,,,,,,,,,,,,,,
AERMEC S.p.A.,BHP 080 100 W,BHP 080 + BHP 100 W,0_3_0_0,,,,,,,,,,,,,,,
AERMEC S.p.A.,BHP 080 100 W,BHP 100 + BHP 100 W,0_10_0_0,,,,,,,,,,,,,,,
AERMEC S.p.A.,BHP 080 100 W,BHP 100 + BHP 100 W,5_3_0_0,3.25,-7.0,-10.0,6.91,2.12,4.22,3.09,4.27,4.34,4.91,5.91,6.91,2.12,6.85,1.75
AERMEC S.p.A.,BHP 080 100 W,BHP 100 + BHP 100 W,0_3_0_0,,,,,,,,,,,,,,,
AERMEC S.p.A.,HMI040 / DHWT300,HMI040 / DHWT300S,5_10_0_0,,,,,,,,,,,,,,,
AERMEC S.p.A.,HMI060 / DHWT300,HMI060 / DHWT300S,5_3_0_0,3.26,-7.0,-10.0,5.22,2.22,3.31,3.13,2.46,4.19,2.98,5.52,5.22,2.22,4.34,1.78
AERMEC S.p.A.,HMI060 / DHWT300,HMI060 / DHWT300S,0_10_0_0,,,,,,,,,,,,,,,
AERMEC S.p.A.,HMI060 / DHWT300,HMI060 / DHWT300S,0_3_0_0,,,,,,,,,,,,,,,
AERMEC S.p.A.,HMI080 / DHWT300,HMI080 / DHWT300S,0_10_0_0,,,,,,,,,,,,,,,
AERMEC S.p.A.,HMI080 / DHWT300,HMI080 / DHWT300S,5_3_0_0,3.27,-7.0,-10.0,6.2,2.22,4.0,3.13,2.43,4.26,2.98,5.52,6.2,2.22,4.34,1.78
AERMEC S.p.A.,HMI080 / DHWT300,HMI080 / DHWT300S,0_3_0_0,,,,,,,,,,,,,,,
AERMEC S.p.A.,HMI100 / DHWT300,HMI100 / DHWT300X,5_10_0_0,,,,,,,,,,,,,,,
AERMEC S.p.A.,HMI120 / DHWT300,HMI120 / DHWT300X,5_10_0_0,,,,,,,,,,,,,,,
AERMEC S.p.A.,HMI140 / DHWT300,HMI140 / DHWT300X,0_10_0_0,,,,,,,,,,,,,,,
AERMEC S.p.A.,HMI140 / DHWT300,HMI140 / DHWT300X,5_3_0_0,3.25,-7.0,-10.0,10.34,2.13,6.0,3.15,5.76,4.24,6.36,5.06,10.34,2.13,10.41,1.78
AERMEC S.p.A.,HMI140 / DHWT300,HMI140 / DHWT300X,0_3_0_0,,,,,,,,,,,,,,,
AERMEC S.p.A.,HMI160 / DHWT300,HMI160 / DHWT300X,5_10_0_0,,,,,,,,,,,,,,,
Acond a.s.,Acond Aconomis N,Acond Aconomis N,4_2_0_0,3.87,-7.0,-22.0,6.37,3.33,3.88,5.13,2.49,7.06,2.41,7.44,6.37,3.33,4.81,2.52
Acond a.s.,Acond Aconomis N,Acond Aconomis N,5_3_0_0,3.82,-7.0,-10.0,6.58,2.29,4.0,3.81,2.57,4.98,2.38,5.98,6.58,2.29,6.03,2.12
Acond a.s.,Acond Aconomis N,Acond Aconomis N,5_2_0_0,3.1,-7.0,-22.0,6.88,2.57,4.19,4.12,2.69,5.47,2.36,6.4,6.88,2.57,4.42,1.92
Acond a.s.,Acond Aconomis N,Acond Aconomis N,4_3_0_0,4.77,-7.0,-10.0,6.78,3.05,4.05,4.64,2.65,6.37,2.41,7.44,6.78,3.05,6.12,2.91
Acond a.s.,Acond Aconomis N,Acond Aconomis N,0_10_0_0,,,,,,,,,,,,,,,
Acond a.s.,Acond Aconomis R,Acond Aconomis R,4_2_0_0,3.85,-7.0,-22.0,13.17,3.25,7.74,5.21,5.06,7.52,4.45,8.62,13.17,3.25,8.7,2.54
Acond a.s.,Acond Aconomis R,Acond Aconomis R,5_2_0_0,3.07,-7.0,-22.0,12.68,2.46,7.54,3.96,5.01,6.0,4.39,6.94,12.68,2.46,8.31,1.78
Acond a.s.,Acond Aconomis R,Acond Aconomis R,0_10_0_0,,,,,,,,,,,,,,,
Acond a.s.,Acond Aconomis R,Acond Aconomis R,4_3_0_0,4.92,-7.0,-10.0,13.6,3.0,7.68,4.64,5.25,6.92,4.45,8.74,13.6,3.0,12.68,2.83
Acond a.s.,Acond Aconomis R,Acond Aconomis R,5_3_0_0,3.86,-7.0,-10.0,12.5,2.45,7.34,3.62,4.78,5.36,4.34,6.6,12.5,2.45,11.34,2.22
Acond a.s.,Acond Aconomis R,Acond Aconomis R-SP,4_2_0_0,2.85,-7.0,-22.0,13.17,3.25,7.74,5.21,5.06,7.52,4.45,8.62,13.17,3.25,8.7,2.54
