j,Tj,hj,pl(Tj),Ph(Tj),Pdh(Tj),COPd(Tj),Cdh,CR,CC,COPbin(Tj),elbu(Tj),Qelbu,QH,Eelec
33,2,3,1.0,8.866666666666667,7.0,2.52,0.9,1.2666666666666668,1.0,2.52,1.8666666666666671,5.600000000000001,26.6,13.933333333333334
34,3,22,0.9285714285714286,8.233333333333334,,,,,,2.6950000000000003,0.9333333333333345,20.53333333333336,181.13333333333335,80.12517006802723
35,4,63,0.8571428571428571,7.6,7.6,2.87,0.99,1.0,1.0,2.87,0.0,0.0,478.79999999999995,166.8292682926829
36,5,63,0.7857142857142857,6.966666666666667,,,,,,3.004958123953099,0.0,0.0,438.90000000000003,146.05860777274856
37,6,175,0.7142857142857143,6.333333333333334,,,,,,3.1399162479061977,0.0,0.0,1108.3333333333335,352.9818141080698
38,7,162,0.6428571428571429,5.700000000000001,8.4,3.43,0.9,0.6785714285714287,1.0473684210526315,3.2748743718592968,0.0,0.0,923.4000000000002,281.9650145772595
39,8,259,0.5714285714285714,5.066666666666666,,,,,,3.1238994974874372,0.0,0.0,1312.2666666666667,420.0732666726721
40,9,360,0.5,4.433333333333334,,,,,,2.972924623115578,0.0,0.0,1596.0,536.8450944199915
41,10,428,0.42857142857142855,3.8,,,,,,2.8219497487437186,0.0,0.0,1626.3999999999999,576.3391076414609
42,11,430,0.35714285714285715,3.166666666666667,,,,,,2.6709748743718595,0.0,0.0,1361.6666666666667,509.80137616865215
43,12,503,0.2857142857142857,2.533333333333333,11.2,2.52,1.0,0.2261904761904762,1.0,2.52,0.0,0.0,1274.2666666666667,505.66137566137564
44,13,444,0.21428571428571427,1.9,,,,,,2.3690251256281405,0.0,0.0,843.5999999999999,356.0958433382262
45,14,384,0.14285714285714285,1.2666666666666666,,,,,,2.2180502512562814,0.0,0.0,486.4,219.2916953637583
46,15,294,0.07142857142857142,0.6333333333333333,,,,,,2.067075376884422,0.0,0.0,186.2,90.07895990742632
TOTAL,,3590,,,,,,,,,,26.13333333333336,11843.966666666667,4256.079927325684
