j,Tj,hj,pl(Tj),Ph(Tj),Pdh(Tj),COPd(Tj),Cdh,CR,CC,COPbin(Tj),elbu(Tj),Qelbu,QH,Eelec
33,2,3,1.000,30.32,30.32,3.46,1.000,1.00,1.00,3.46,0.00,0,90,26
34,3,22,0.929,28.15,,,,,,3.56,0.00,0,619,173
35,4,63,0.857,25.99,,,,,,3.66,0.00,0,1637,446
36,5,63,0.786,23.82,,,,,,3.77,0.00,0,1500,398
37,6,175,0.714,21.66,,,,,,3.87,0.00,0,3790,979
38,7,162,0.643,19.49,40.08,4.39,0.900,0.49,1.11,3.97,0.00,0,3157,795
39,8,259,0.571,17.33,,,,,,4.19,0.00,0,4487,1070
40,9,360,0.500,15.16,,,,,,4.41,0.00,0,5457,1236
41,10,428,0.429,12.99,,,,,,4.64,0.00,0,5561,1199
42,11,430,0.357,10.83,,,,,,4.86,0.00,0,4656,958
43,12,503,0.286,8.66,44.45,5.08,1.000,0.19,1.00,5.08,0.00,0,4357,857
44,13,444,0.214,6.50,,,,,,5.30,0.00,0,2884,544
45,14,384,0.143,4.33,,,,,,5.52,0.00,0,1663,301
46,15,294,0.071,2.17,,,,,,5.75,0.00,0,636,110
TOTAL,,3590,,,,,,,,,,0,40501,9098
