j,Tj,hj,pl(Tj),Ph(Tj),Pdh(Tj),COPd(Tj),Cdh,CR,CC,COPbin(Tj),elbu(Tj),Qelbu,QH,Eelec
33,2,3,1.000,10.50,10.50,2.13,0.995,1.00,1.00,2.13,0.00,0,31,14
34,3,22,0.929,9.75,,,,,,2.39,0.00,0,214,89
35,4,63,0.857,9.00,,,,,,2.65,0.00,0,567,213
36,5,63,0.786,8.25,,,,,,2.91,0.00,0,519,178
37,6,175,0.714,7.50,,,,,,3.17,0.00,0,1312,413
38,7,162,0.643,6.75,6.85,3.44,0.900,0.99,1.00,3.43,0.00,0,1093,318
39,8,259,0.571,6.00,,,,,,3.78,0.00,0,1554,411
40,9,360,0.500,5.25,,,,,,4.12,0.00,0,1890,459
41,10,428,0.429,4.50,,,,,,4.46,0.00,0,1926,431
42,11,430,0.357,3.75,,,,,,4.80,0.00,0,1612,335
43,12,503,0.286,3.00,7.52,5.18,0.995,0.40,1.01,5.14,0.00,0,1509,293
44,13,444,0.214,2.25,,,,,,5.48,0.00,0,999,182
45,14,384,0.143,1.50,,,,,,5.82,0.00,0,576,98
46,15,294,0.071,0.75,,,,,,6.17,0.00,0,220,35
TOTAL,,3590,,,,,,,,,,0,14025,3477
