j,Tj,hj,pl(Tj),Ph(Tj),Pdh(Tj),COPd(Tj),Cdh,CR,CC,COPbin(Tj),elbu(Tj),Qelbu,QH,Eelec
33,2,3,1.000,10.56,10.56,2.98,0.990,1.00,1.00,2.98,0.00,0,31,10
34,3,22,0.929,9.81,,,,,,3.42,0.00,0,215,63
35,4,63,0.857,9.05,,,,,,3.86,0.00,0,570,147
36,5,63,0.786,8.30,,,,,,4.31,0.00,0,522,121
37,6,175,0.714,7.54,,,,,,4.75,0.00,0,1320,278
38,7,162,0.643,6.79,6.41,5.19,0.900,1.06,1.00,5.19,0.00,0,1099,211
39,8,259,0.571,6.03,,,,,,5.81,0.00,0,1562,268
40,9,360,0.500,5.28,,,,,,6.44,0.00,0,1900,295
41,10,428,0.429,4.53,,,,,,7.06,0.00,0,1937,274
42,11,430,0.357,3.77,,,,,,7.68,0.00,0,1621,211
43,12,503,0.286,3.02,3.10,8.31,0.990,0.97,1.00,8.31,0.00,0,1517,182
44,13,444,0.214,2.26,,,,,,8.93,0.00,0,1004,112
45,14,384,0.143,1.51,,,,,,9.55,0.00,0,579,60
46,15,294,0.071,0.75,,,,,,10.18,0.00,0,221,21
TOTAL,,3590,,,,,,,,,,0,14105,2259
