j,Tj,hj,pl(Tj),Ph(Tj),Pdh(Tj),COPd(Tj),Cdh,CR,CC,COPbin(Tj),elbu(Tj),Qelbu,QH,Eelec
33,2,3,1.000,5.91,5.91,2.14,0.990,1.00,1.00,2.14,0.00,0,17,8
34,3,22,0.929,5.49,,,,,,2.41,0.00,0,120,50
35,4,63,0.857,5.07,,,,,,2.68,0.00,0,319,119
36,5,63,0.786,4.64,,,,,,2.95,0.00,0,292,99
37,6,175,0.714,4.22,,,,,,3.22,0.00,0,738,229
38,7,162,0.643,3.80,3.83,3.49,0.900,0.99,1.00,3.49,0.00,0,615,176
39,8,259,0.571,3.38,,,,,,3.80,0.00,0,874,230
40,9,360,0.500,2.96,,,,,,4.12,0.00,0,1063,258
41,10,428,0.429,2.53,,,,,,4.43,0.00,0,1084,244
42,11,430,0.357,2.11,,,,,,4.74,0.00,0,907,191
43,12,503,0.286,1.69,1.78,5.06,0.990,0.95,1.00,5.06,0.00,0,849,167
44,13,444,0.214,1.27,,,,,,5.37,0.00,0,562,104
45,14,384,0.143,0.84,,,,,,5.69,0.00,0,324,57
46,15,294,0.071,0.42,,,,,,6.00,0.00,0,124,20
TOTAL,,3590,,,,,,,,,,0,7894,1957
