j,Tj,hj,pl(Tj),Ph(Tj),Pdh(Tj),COPd(Tj),Cdh,CR,CC,COPbin(Tj),elbu(Tj),Qelbu,QH,Eelec
33,2,3,1.000,3.92,3.92,2.12,0.990,1.00,1.00,2.12,0.00,0,11,5
34,3,22,0.929,3.64,,,,,,2.31,0.00,0,80,34
35,4,63,0.857,3.36,,,,,,2.51,0.00,0,211,84
36,5,63,0.786,3.08,,,,,,2.70,0.00,0,194,71
37,6,175,0.714,2.80,,,,,,2.90,0.00,0,489,169
38,7,162,0.643,2.52,2.41,3.09,0.900,1.05,1.00,3.09,0.00,0,408,132
39,8,259,0.571,2.24,,,,,,3.47,0.00,0,580,167
40,9,360,0.500,1.96,,,,,,3.85,0.00,0,705,183
41,10,428,0.429,1.68,,,,,,4.22,0.00,0,719,170
42,11,430,0.357,1.40,,,,,,4.60,0.00,0,602,130
43,12,503,0.286,1.12,1.79,5.01,0.990,0.63,1.01,4.98,0.00,0,563,113
44,13,444,0.214,0.84,,,,,,5.36,0.00,0,372,69
45,14,384,0.143,0.56,,,,,,5.74,0.00,0,215,37
46,15,294,0.071,0.28,,,,,,6.11,0.00,0,82,13
TOTAL,,3590,,,,,,,,,,0,5236,1383
